Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,68,1096
2002-07-01,2002,7,20,1290
2002-08-01,2002,8,13,925
2002-11-01,2002,11,5,1125
2003-01-01,2003,1,60,1350
2003-06-01,2003,6,26,850
2004-11-01,2004,11,15,1000
2011-08-01,2011,8,6,2500
2011-11-01,2011,11,1,1450
2011-12-01,2011,12,4,1438
2012-06-01,2012,6,2,1600
2012-07-01,2012,7,5,1900
2012-08-01,2012,8,1,1900
2012-11-01,2012,11,1,1920
2013-06-01,2013,6,7,2100
2013-07-01,2013,7,6,2100
2014-06-01,2014,6,2,2200
2014-07-01,2014,7,2,2300
2014-11-01,2014,11,3,2300
2014-12-01,2014,12,6,2300
2015-01-01,2015,1,81,2000
2015-06-01,2015,6,1,2300
2015-11-01,2015,11,1,2400
