Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-07-01,2003,7,10,720
2004-01-01,2004,1,1,800
2004-11-01,2004,11,1,1000
2004-12-01,2004,12,12,1094
2005-01-01,2005,1,7,997
2005-07-01,2005,7,2,900
2006-06-01,2006,6,14,1198
2006-07-01,2006,7,13,1116
2006-08-01,2006,8,17,1074
2006-11-01,2006,11,9,1252
2006-12-01,2006,12,11,1253
2007-01-01,2007,1,13,1239
2007-06-01,2007,6,12,1285
2007-07-01,2007,7,12,1272
2007-08-01,2007,8,12,1327
2007-11-01,2007,11,18,1286
2007-12-01,2007,12,9,1279
2008-01-01,2008,1,9,1278
2008-06-01,2008,6,12,1303
2008-07-01,2008,7,12,1269
2008-08-01,2008,8,15,1320
2008-11-01,2008,11,6,1330
2008-12-01,2008,12,9,1373
2009-01-01,2009,1,7,1266
2009-06-01,2009,6,13,1377
2009-07-01,2009,7,5,1333
2009-11-01,2009,11,10,1337
2009-12-01,2009,12,24,1392
2010-01-01,2010,1,14,1333
2010-06-01,2010,6,11,1333
2010-07-01,2010,7,12,1333
2010-08-01,2010,8,17,1423
2010-11-01,2010,11,5,1350
2010-12-01,2010,12,21,1528
2011-01-01,2011,1,8,1350
2011-06-01,2011,6,11,1333
2011-07-01,2011,7,11,1333
2011-08-01,2011,8,6,1333
2011-11-01,2011,11,8,1174
2011-12-01,2011,12,1,1332
2012-01-01,2012,1,3,1335
2012-06-01,2012,6,11,1337
2012-07-01,2012,7,13,1694
2012-08-01,2012,8,20,1289
2012-11-01,2012,11,2,1350
2012-12-01,2012,12,8,1333
2013-01-01,2013,1,31,1329
2013-06-01,2013,6,9,1342
2013-07-01,2013,7,4,1350
2013-08-01,2013,8,2,1350
2014-01-01,2014,1,14,1735
2014-06-01,2014,6,2,1333
2014-07-01,2014,7,2,1665
2014-08-01,2014,8,2,1665
2014-11-01,2014,11,2,1350
2015-01-01,2015,1,14,1665
2015-06-01,2015,6,5,1338
2015-07-01,2015,7,6,1498
2015-08-01,2015,8,10,1508
2015-11-01,2015,11,5,1350
2015-12-01,2015,12,10,1576
2016-01-01,2016,1,9,1441
2016-06-01,2016,6,8,2000
2016-07-01,2016,7,8,1831
2016-08-01,2016,8,8,1675
2016-11-01,2016,11,4,2488
2016-12-01,2016,12,5,2650
2017-01-01,2017,1,2,2650
2017-06-01,2017,6,4,2650
2017-07-01,2017,7,4,2650
2017-08-01,2017,8,4,2650
2017-11-01,2017,11,3,2650
2017-12-01,2017,12,4,2650
2018-01-01,2018,1,4,2650
2018-06-01,2018,6,4,2650
2018-07-01,2018,7,4,2650
2018-08-01,2018,8,5,2650
2018-11-01,2018,11,5,2650
2018-12-01,2018,12,3,2650
2019-01-01,2019,1,3,2650
2019-06-01,2019,6,3,2650
2019-07-01,2019,7,2,2650
2019-08-01,2019,8,5,2650
2019-11-01,2019,11,4,2650
2019-12-01,2019,12,4,2650
