Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,38,912
2002-07-01,2002,7,74,867
2002-08-01,2002,8,20,850
2002-11-01,2002,11,15,667
2002-12-01,2002,12,30,850
2003-01-01,2003,1,24,880
2003-06-01,2003,6,33,833
2003-07-01,2003,7,6,900
2004-06-01,2004,6,15,833
2004-07-01,2004,7,7,850
2004-08-01,2004,8,2,1100
2004-11-01,2004,11,2,900
2004-12-01,2004,12,44,1260
2005-01-01,2005,1,828,1085
2005-06-01,2005,6,153,950
2005-07-01,2005,7,59,875
2005-08-01,2005,8,36,1025
2005-11-01,2005,11,40,688
2005-12-01,2005,12,2,900
2006-06-01,2006,6,129,829
2006-07-01,2006,7,244,786
2006-08-01,2006,8,61,806
2006-11-01,2006,11,46,883
2006-12-01,2006,12,90,869
2007-01-01,2007,1,206,786
2007-06-01,2007,6,21,867
2007-07-01,2007,7,47,892
2007-08-01,2007,8,27,870
2007-11-01,2007,11,17,867
2007-12-01,2007,12,188,950
2008-01-01,2008,1,173,875
2008-06-01,2008,6,60,900
2008-07-01,2008,7,36,1143
2008-08-01,2008,8,45,1083
2008-11-01,2008,11,31,1175
2008-12-01,2008,12,167,1060
2009-01-01,2009,1,206,1004
2009-06-01,2009,6,78,1162
2009-07-01,2009,7,29,700
2009-08-01,2009,8,18,1500
2009-11-01,2009,11,27,1588
2009-12-01,2009,12,178,1322
2010-01-01,2010,1,166,1243
2010-06-01,2010,6,116,1491
2010-07-01,2010,7,130,1400
2010-08-01,2010,8,4,1525
2010-11-01,2010,11,21,1833
2010-12-01,2010,12,104,1517
2011-01-01,2011,1,146,1201
2011-06-01,2011,6,101,1266
2011-07-01,2011,7,286,1366
2011-08-01,2011,8,295,1180
2011-11-01,2011,11,79,1416
2011-12-01,2011,12,31,1543
2012-01-01,2012,1,96,1044
2012-06-01,2012,6,92,1590
2012-07-01,2012,7,58,1583
2012-08-01,2012,8,6,800
2012-11-01,2012,11,45,2027
2012-12-01,2012,12,111,1868
2013-01-01,2013,1,161,1615
2013-06-01,2013,6,184,1871
2013-07-01,2013,7,127,2196
2013-08-01,2013,8,26,2535
2013-11-01,2013,11,22,1950
2013-12-01,2013,12,9,1800
2014-01-01,2014,1,392,1457
2014-06-01,2014,6,265,1785
2014-07-01,2014,7,233,1816
2014-08-01,2014,8,157,1951
2014-11-01,2014,11,117,1693
2014-12-01,2014,12,265,1728
2015-01-01,2015,1,3093,1424
2015-06-01,2015,6,224,1659
2015-07-01,2015,7,169,1688
2015-08-01,2015,8,88,1887
2015-11-01,2015,11,40,1818
2015-12-01,2015,12,210,1705
2016-01-01,2016,1,196,1828
2016-06-01,2016,6,16,1750
2016-07-01,2016,7,1,2500
2016-08-01,2016,8,21,2106
2016-12-01,2016,12,171,3095
2017-01-01,2017,1,40,2455
2017-06-01,2017,6,15,2283
2017-07-01,2017,7,7,2250
2017-11-01,2017,11,10,2292
2017-12-01,2017,12,9,2385
2018-06-01,2018,6,53,2275
2018-12-01,2018,12,4,2100
2019-01-01,2019,1,49,1852
2019-06-01,2019,6,73,1950
2019-07-01,2019,7,136,2100
2019-08-01,2019,8,142,2309
2019-11-01,2019,11,16,2933
2019-12-01,2019,12,41,2375
