Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-06-01,2011,6,166,1838
2011-07-01,2011,7,40,1400
2011-08-01,2011,8,27,1335
2011-11-01,2011,11,13,1267
2012-01-01,2012,1,10,1700
2012-06-01,2012,6,10,1400
2012-07-01,2012,7,60,1450
2012-08-01,2012,8,30,1500
2012-11-01,2012,11,60,1398
2013-07-01,2013,7,94,1729
2013-08-01,2013,8,81,1700
2014-01-01,2014,1,500,1500
2014-06-01,2014,6,100,1500
2014-07-01,2014,7,300,1500
2014-11-01,2014,11,200,1500
2014-12-01,2014,12,222,1933
2015-06-01,2015,6,200,1500
2015-07-01,2015,7,100,1500
2015-11-01,2015,11,100,1400
2016-01-01,2016,1,100,1400
2016-06-01,2016,6,200,1500
2016-07-01,2016,7,300,1500
2016-08-01,2016,8,300,1500
2017-08-01,2017,8,50,1500
2018-11-01,2018,11,1200,1500
2018-12-01,2018,12,1000,1500
2019-08-01,2019,8,200,1600
