Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2013-06-01,2013,6,21,2450
2013-07-01,2013,7,1,4450
2013-08-01,2013,8,45,1900
2015-01-01,2015,1,341,1650
2015-06-01,2015,6,1,3163
2015-07-01,2015,7,19,1700
2015-08-01,2015,8,1,3500
2015-11-01,2015,11,3,2765
2016-01-01,2016,1,3,3490
2016-06-01,2016,6,1,3500
2016-08-01,2016,8,6,3342
2016-11-01,2016,11,2,2733
2016-12-01,2016,12,58,2517
2017-01-01,2017,1,2,3480
2017-06-01,2017,6,52,2993
2017-07-01,2017,7,13,2713
2017-08-01,2017,8,79,2592
2017-11-01,2017,11,27,3274
2017-12-01,2017,12,34,2285
2018-01-01,2018,1,9,3000
2019-07-01,2019,7,25,2700
2019-11-01,2019,11,8,1700
