Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2014-06-01,2014,6,61,3292
2015-01-01,2015,1,18,3650
2015-06-01,2015,6,32,3133
2015-07-01,2015,7,21,3856
2015-08-01,2015,8,7,4050
2015-11-01,2015,11,8,3800
2015-12-01,2015,12,23,4517
2016-06-01,2016,6,91,4192
2016-07-01,2016,7,14,3350
2016-08-01,2016,8,80,3170
2016-11-01,2016,11,30,4200
2017-01-01,2017,1,21,3050
2017-06-01,2017,6,45,3749
2017-07-01,2017,7,40,2905
2017-08-01,2017,8,56,3471
2017-11-01,2017,11,77,2630
2017-12-01,2017,12,178,1821
2018-01-01,2018,1,62,3761
2018-06-01,2018,6,213,1165
2018-07-01,2018,7,166,1592
2018-08-01,2018,8,115,3204
2018-11-01,2018,11,71,2699
2018-12-01,2018,12,48,2953
2019-01-01,2019,1,79,2650
2019-06-01,2019,6,47,2300
2019-07-01,2019,7,64,2609
2019-08-01,2019,8,112,2592
2019-11-01,2019,11,45,3154
2019-12-01,2019,12,32,2974
