Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-06-01,2003,6,10,700
2003-07-01,2003,7,10,700
2003-08-01,2003,8,10,750
2004-12-01,2004,12,33,788
2005-01-01,2005,1,73,701
2005-06-01,2005,6,10,700
2006-01-01,2006,1,25,774
2006-06-01,2006,6,34,950
2006-07-01,2006,7,70,896
2006-08-01,2006,8,215,836
2006-11-01,2006,11,10,900
2006-12-01,2006,12,10,900
2007-01-01,2007,1,52,864
2008-01-01,2008,1,20,900
2008-06-01,2008,6,50,1038
2008-07-01,2008,7,80,1050
2008-08-01,2008,8,51,1082
2008-11-01,2008,11,26,1412
2008-12-01,2008,12,8,1200
2009-01-01,2009,1,20,1300
2009-07-01,2009,7,10,1300
2009-08-01,2009,8,10,1300
2009-11-01,2009,11,10,1750
2009-12-01,2009,12,27,1306
2010-01-01,2010,1,50,1400
2010-06-01,2010,6,30,1570
2010-11-01,2010,11,3,1500
2010-12-01,2010,12,10,1496
2011-07-01,2011,7,31,1380
2011-08-01,2011,8,33,1381
2011-11-01,2011,11,25,1543
2011-12-01,2011,12,24,1433
2012-01-01,2012,1,1,1000
2012-06-01,2012,6,10,1400
2012-08-01,2012,8,16,1500
2013-01-01,2013,1,8,1650
2013-06-01,2013,6,7,2000
2013-12-01,2013,12,42,1400
2014-01-01,2014,1,111,1991
2014-06-01,2014,6,146,1875
2014-07-01,2014,7,64,1733
2014-08-01,2014,8,120,1894
2014-11-01,2014,11,127,1890
2014-12-01,2014,12,159,1989
2015-01-01,2015,1,880,1654
2015-06-01,2015,6,70,1900
2015-08-01,2015,8,12,2200
2015-11-01,2015,11,30,1900
2015-12-01,2015,12,20,1900
2016-01-01,2016,1,72,1963
2016-06-01,2016,6,62,1900
2016-11-01,2016,11,28,1600
2016-12-01,2016,12,13,2250
2017-06-01,2017,6,42,2200
2017-07-01,2017,7,51,2100
2017-11-01,2017,11,37,2100
2017-12-01,2017,12,37,2100
2018-01-01,2018,1,72,2562
2019-11-01,2019,11,8,2000
2019-12-01,2019,12,15,2000
