Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,620,750
2002-07-01,2002,7,864,748
2002-08-01,2002,8,408,1495
2002-11-01,2002,11,735,741
2002-12-01,2002,12,1732,734
2003-01-01,2003,1,1906,738
2003-06-01,2003,6,2529,708
2003-07-01,2003,7,2511,706
2003-08-01,2003,8,1156,711
2003-11-01,2003,11,669,796
2003-12-01,2003,12,289,861
2004-01-01,2004,1,1155,844
2004-06-01,2004,6,287,836
2004-07-01,2004,7,204,841
2004-08-01,2004,8,641,808
2004-11-01,2004,11,393,800
2004-12-01,2004,12,812,752
2005-01-01,2005,1,1147,783
2005-06-01,2005,6,372,763
2005-07-01,2005,7,429,811
2005-08-01,2005,8,320,764
2005-11-01,2005,11,94,1125
2005-12-01,2005,12,78,867
2006-01-01,2006,1,449,779
2006-07-01,2006,7,423,795
2006-08-01,2006,8,1211,864
2006-11-01,2006,11,1044,887
2006-12-01,2006,12,815,887
2007-01-01,2007,1,1009,860
2007-06-01,2007,6,663,823
2007-07-01,2007,7,441,824
2007-08-01,2007,8,91,841
2007-11-01,2007,11,315,891
2007-12-01,2007,12,433,901
2008-01-01,2008,1,1396,911
2008-06-01,2008,6,296,1027
2008-07-01,2008,7,347,1025
2008-08-01,2008,8,200,1077
2008-11-01,2008,11,80,1312
2008-12-01,2008,12,71,1063
2009-01-01,2009,1,170,1234
2009-06-01,2009,6,92,1246
2009-07-01,2009,7,29,1260
2009-11-01,2009,11,362,1332
2009-12-01,2009,12,968,1321
2010-01-01,2010,1,688,1404
2010-06-01,2010,6,415,1386
2010-07-01,2010,7,593,1356
2010-08-01,2010,8,239,1631
2010-11-01,2010,11,10,1585
2010-12-01,2010,12,312,1326
2011-01-01,2011,1,236,1384
2011-06-01,2011,6,682,1409
2011-07-01,2011,7,469,1335
2011-08-01,2011,8,462,1365
2011-11-01,2011,11,291,1374
2011-12-01,2011,12,673,1358
2012-01-01,2012,1,719,1382
2012-06-01,2012,6,712,1432
2012-07-01,2012,7,242,1514
2012-08-01,2012,8,378,1587
2012-11-01,2012,11,268,1459
2012-12-01,2012,12,322,1626
2013-01-01,2013,1,290,1577
2013-06-01,2013,6,410,1879
2013-07-01,2013,7,390,1752
2013-08-01,2013,8,399,1926
2013-11-01,2013,11,924,1901
2013-12-01,2013,12,1175,1966
2014-01-01,2014,1,1875,2150
2014-06-01,2014,6,1288,1917
2014-07-01,2014,7,1584,1906
2014-08-01,2014,8,392,1894
2014-11-01,2014,11,78,2072
2014-12-01,2014,12,94,1869
2015-01-01,2015,1,4442,1791
2015-06-01,2015,6,88,1712
2015-07-01,2015,7,35,1856
2015-08-01,2015,8,35,1895
2015-11-01,2015,11,153,1934
2015-12-01,2015,12,40,1678
2016-01-01,2016,1,112,1805
2016-06-01,2016,6,29,2077
2016-07-01,2016,7,12,2923
2016-08-01,2016,8,85,1748
2016-11-01,2016,11,46,2058
2016-12-01,2016,12,60,2287
2017-01-01,2017,1,3,1553
2017-06-01,2017,6,10,1938
2017-07-01,2017,7,6,2133
2017-08-01,2017,8,7,2150
2017-11-01,2017,11,49,1158
2017-12-01,2017,12,10,2138
2018-01-01,2018,1,6,1900
2018-06-01,2018,6,16,1798
2018-07-01,2018,7,14,1700
2018-08-01,2018,8,40,2102
2018-11-01,2018,11,141,1508
2018-12-01,2018,12,140,1442
2019-01-01,2019,1,218,1657
2019-06-01,2019,6,35,1400
2019-07-01,2019,7,41,1586
2019-08-01,2019,8,76,1576
2019-12-01,2019,12,4,1800
