Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,299,630
2002-07-01,2002,7,300,629
2002-08-01,2002,8,334,647
2002-11-01,2002,11,193,628
2002-12-01,2002,12,245,646
2003-01-01,2003,1,213,650
2003-06-01,2003,6,179,648
2003-07-01,2003,7,375,651
2003-08-01,2003,8,318,780
2003-11-01,2003,11,275,630
2003-12-01,2003,12,339,675
2004-01-01,2004,1,278,653
2004-06-01,2004,6,248,667
2004-07-01,2004,7,118,690
2004-08-01,2004,8,321,685
2004-11-01,2004,11,397,686
2004-12-01,2004,12,317,630
2005-01-01,2005,1,397,660
2005-06-01,2005,6,191,680
2005-07-01,2005,7,270,663
2007-06-01,2007,6,91,873
2009-07-01,2009,7,57,825
2010-08-01,2010,8,1,3845
2010-11-01,2010,11,10,2600
2010-12-01,2010,12,27,1889
2011-01-01,2011,1,8,1994
2011-06-01,2011,6,25,2204
2011-07-01,2011,7,14,2869
2011-08-01,2011,8,9,2464
2011-11-01,2011,11,35,2116
2011-12-01,2011,12,67,1195
2012-01-01,2012,1,30,2625
2012-06-01,2012,6,115,2842
2012-07-01,2012,7,55,3238
2012-08-01,2012,8,153,2358
2012-11-01,2012,11,37,3157
2012-12-01,2012,12,87,2747
2013-01-01,2013,1,64,3530
2013-06-01,2013,6,22,4690
2013-07-01,2013,7,18,4314
2013-08-01,2013,8,5,5463
2014-01-01,2014,1,52,3920
2014-06-01,2014,6,37,4360
2014-07-01,2014,7,26,4154
2014-08-01,2014,8,19,3844
2014-11-01,2014,11,114,4534
2015-01-01,2015,1,190,2400
2015-06-01,2015,6,456,4062
2015-07-01,2015,7,159,3701
2015-08-01,2015,8,200,3305
2015-11-01,2015,11,93,3645
2015-12-01,2015,12,153,2787
2016-01-01,2016,1,93,2476
2016-06-01,2016,6,348,2613
2016-07-01,2016,7,274,2961
2016-08-01,2016,8,123,3728
2016-11-01,2016,11,372,2804
2016-12-01,2016,12,260,3036
2017-01-01,2017,1,197,2432
2017-06-01,2017,6,145,2487
2017-07-01,2017,7,116,3379
2017-08-01,2017,8,170,3518
2017-11-01,2017,11,379,3899
2017-12-01,2017,12,227,3793
2018-01-01,2018,1,106,4073
2018-06-01,2018,6,331,3493
2018-07-01,2018,7,212,4599
2018-08-01,2018,8,158,4428
2018-11-01,2018,11,804,2786
2018-12-01,2018,12,345,2523
2019-01-01,2019,1,604,3159
2019-06-01,2019,6,138,3854
2019-07-01,2019,7,132,4242
2019-08-01,2019,8,134,5304
2019-11-01,2019,11,269,4617
2019-12-01,2019,12,147,5239
