Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,60,967
2002-07-01,2002,7,20,950
2002-08-01,2002,8,108,988
2002-12-01,2002,12,15,850
2003-01-01,2003,1,77,825
2003-06-01,2003,6,122,663
2003-07-01,2003,7,96,728
2003-08-01,2003,8,55,765
2005-01-01,2005,1,10,700
2005-06-01,2005,6,51,1000
2005-08-01,2005,8,54,950
2005-11-01,2005,11,30,950
2007-08-01,2007,8,26,960
2008-06-01,2008,6,6,850
2008-07-01,2008,7,45,2425
2009-06-01,2009,6,12,2500
2009-12-01,2009,12,3,1800
2011-11-01,2011,11,1,2500
2012-06-01,2012,6,5,2500
2012-08-01,2012,8,22,1700
2012-11-01,2012,11,144,1714
2012-12-01,2012,12,10,2000
2013-06-01,2013,6,1,2400
2016-11-01,2016,11,31,4300
