Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,798,929
2002-07-01,2002,7,1247,897
2002-08-01,2002,8,984,900
2002-11-01,2002,11,930,888
2002-12-01,2002,12,714,961
2003-01-01,2003,1,693,981
2003-06-01,2003,6,462,752
2003-07-01,2003,7,331,906
2003-08-01,2003,8,248,811
2003-11-01,2003,11,423,1041
2003-12-01,2003,12,432,853
2004-01-01,2004,1,657,839
2004-06-01,2004,6,378,786
2004-07-01,2004,7,15,650
2004-12-01,2004,12,68,822
2005-01-01,2005,1,147,710
2006-01-01,2006,1,13,960
2006-07-01,2006,7,190,835
2006-08-01,2006,8,214,972
2006-11-01,2006,11,91,927
2006-12-01,2006,12,40,918
2007-01-01,2007,1,22,882
2007-06-01,2007,6,17,675
2007-07-01,2007,7,83,800
2007-08-01,2007,8,10,1000
2008-01-01,2008,1,25,872
2008-06-01,2008,6,19,840
2008-07-01,2008,7,180,1376
2008-08-01,2008,8,24,808
2008-11-01,2008,11,88,1150
2008-12-01,2008,12,26,1200
2009-01-01,2009,1,108,1570
2009-06-01,2009,6,48,1084
2009-07-01,2009,7,58,1093
2009-08-01,2009,8,10,700
2009-11-01,2009,11,42,1175
2010-06-01,2010,6,23,687
2010-07-01,2010,7,19,1255
2010-08-01,2010,8,33,600
2010-12-01,2010,12,19,750
2011-08-01,2011,8,7,2100
2011-12-01,2011,12,7,1070
2012-08-01,2012,8,35,2025
2013-01-01,2013,1,16,2646
2013-07-01,2013,7,23,700
2015-12-01,2015,12,24,4627
2016-08-01,2016,8,20,1100
2016-11-01,2016,11,164,2416
2016-12-01,2016,12,107,1775
2017-06-01,2017,6,2,3666
2019-07-01,2019,7,5,1625
