Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-07-01,2003,7,17,1000
2003-08-01,2003,8,14,950
2003-11-01,2003,11,2,909
2003-12-01,2003,12,7,1100
2004-01-01,2004,1,57,521
2004-06-01,2004,6,16,1125
2004-07-01,2004,7,4,1050
2004-08-01,2004,8,8,1117
2004-11-01,2004,11,6,1189
2004-12-01,2004,12,5,1268
2005-11-01,2005,11,15,950
2006-01-01,2006,1,10,800
2006-06-01,2006,6,5,1025
2006-07-01,2006,7,8,1050
2006-08-01,2006,8,18,1050
2006-11-01,2006,11,12,1000
2006-12-01,2006,12,21,1050
2007-06-01,2007,6,20,1200
2007-07-01,2007,7,9,534
2007-08-01,2007,8,6,620
2007-11-01,2007,11,4,931
2008-06-01,2008,6,5,1400
2008-07-01,2008,7,1,1200
2008-08-01,2008,8,12,1467
2008-11-01,2008,11,2,1700
2009-01-01,2009,1,20,1250
2009-06-01,2009,6,26,1800
2009-07-01,2009,7,5,2186
2009-11-01,2009,11,2,1800
2009-12-01,2009,12,2,1800
2010-01-01,2010,1,6,1817
2010-06-01,2010,6,2,2375
2010-08-01,2010,8,6,2067
2010-12-01,2010,12,1,1920
2011-06-01,2011,6,10,2083
2011-07-01,2011,7,13,1693
2011-08-01,2011,8,4,1825
2011-11-01,2011,11,6,2368
2011-12-01,2011,12,3,1810
2012-01-01,2012,1,3,2046
2012-06-01,2012,6,6,2620
2012-07-01,2012,7,7,2551
2012-08-01,2012,8,3,3350
2012-11-01,2012,11,11,2083
2012-12-01,2012,12,3,2475
2013-01-01,2013,1,8,2700
2013-06-01,2013,6,7,2500
2013-07-01,2013,7,8,2500
2014-01-01,2014,1,17,2433
2014-06-01,2014,6,1,2875
2014-07-01,2014,7,2,3200
2014-08-01,2014,8,2,4000
2014-11-01,2014,11,12,2197
2014-12-01,2014,12,1,3500
2015-01-01,2015,1,240,2050
2015-06-01,2015,6,10,2015
2015-07-01,2015,7,11,2400
2015-08-01,2015,8,16,1893
2015-11-01,2015,11,22,1816
2015-12-01,2015,12,5,2680
2016-01-01,2016,1,6,2218
2016-06-01,2016,6,6,2183
2016-07-01,2016,7,12,2105
2016-08-01,2016,8,13,2492
2016-11-01,2016,11,15,1230
2016-12-01,2016,12,18,1110
2017-01-01,2017,1,8,1250
2017-06-01,2017,6,43,2425
2017-07-01,2017,7,17,1375
2017-08-01,2017,8,9,1110
2017-11-01,2017,11,9,1110
