Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,19,917
2002-07-01,2002,7,44,900
2002-08-01,2002,8,46,933
2002-11-01,2002,11,26,860
2002-12-01,2002,12,40,880
2003-01-01,2003,1,55,842
2003-06-01,2003,6,59,991
2003-07-01,2003,7,43,860
2003-08-01,2003,8,38,902
2003-11-01,2003,11,67,900
2003-12-01,2003,12,22,1064
2004-01-01,2004,1,1659,921
2004-06-01,2004,6,4,950
2004-08-01,2004,8,14,1279
2004-11-01,2004,11,35,1012
2004-12-01,2004,12,140,936
2005-01-01,2005,1,168,995
2005-06-01,2005,6,2,500
2005-07-01,2005,7,3,717
2005-08-01,2005,8,5,550
2005-11-01,2005,11,57,904
2005-12-01,2005,12,3,1300
2006-01-01,2006,1,39,950
2006-11-01,2006,11,5,700
2006-12-01,2006,12,10,1400
2007-01-01,2007,1,9,850
2007-06-01,2007,6,3,1017
2007-07-01,2007,7,10,850
2007-08-01,2007,8,5,900
2007-11-01,2007,11,3,1100
2007-12-01,2007,12,28,1100
2008-06-01,2008,6,14,1243
2008-07-01,2008,7,10,1875
2008-08-01,2008,8,111,1352
2008-11-01,2008,11,40,1667
2009-01-01,2009,1,135,1831
2009-06-01,2009,6,38,2010
2009-07-01,2009,7,118,1889
2009-08-01,2009,8,24,2100
2009-11-01,2009,11,49,1962
2009-12-01,2009,12,90,1822
2010-01-01,2010,1,67,1903
2010-06-01,2010,6,10,2340
2010-07-01,2010,7,15,2233
2010-11-01,2010,11,8,1720
2010-12-01,2010,12,8,2733
2011-01-01,2011,1,23,2717
2011-06-01,2011,6,12,1892
2011-07-01,2011,7,18,2284
2011-08-01,2011,8,16,2073
2011-11-01,2011,11,14,2165
2011-12-01,2011,12,9,2228
2012-01-01,2012,1,38,2127
2012-06-01,2012,6,15,2196
2012-07-01,2012,7,11,2067
2012-08-01,2012,8,8,2200
2012-11-01,2012,11,27,2507
2012-12-01,2012,12,13,2700
2013-01-01,2013,1,24,2938
2013-06-01,2013,6,18,3032
2013-07-01,2013,7,8,3243
2014-01-01,2014,1,4,3433
2014-06-01,2014,6,18,4220
2014-07-01,2014,7,16,5140
2014-08-01,2014,8,1,4000
2015-01-01,2015,1,159,4597
2015-06-01,2015,6,7,4420
2015-07-01,2015,7,1,4200
2015-08-01,2015,8,5,4217
2015-11-01,2015,11,7,4000
2015-12-01,2015,12,16,4317
2016-01-01,2016,1,28,4105
2016-06-01,2016,6,42,4301
2016-07-01,2016,7,7,3798
2016-08-01,2016,8,75,3474
2016-11-01,2016,11,26,3170
2016-12-01,2016,12,37,3756
2017-01-01,2017,1,1,3000
2017-06-01,2017,6,20,3956
2017-07-01,2017,7,32,3706
2017-08-01,2017,8,25,3963
2017-11-01,2017,11,18,3973
2017-12-01,2017,12,17,3965
2018-01-01,2018,1,28,3912
2018-06-01,2018,6,49,4187
2018-07-01,2018,7,86,3666
2018-08-01,2018,8,75,3529
2018-11-01,2018,11,11,4152
2018-12-01,2018,12,17,3812
2019-01-01,2019,1,29,3619
2019-06-01,2019,6,18,3653
2019-07-01,2019,7,14,3739
2019-08-01,2019,8,10,3390
2019-11-01,2019,11,34,3293
2019-12-01,2019,12,54,3464
