Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2007-08-01,2007,8,10,800
2007-12-01,2007,12,21,800
2008-01-01,2008,1,17,850
2008-06-01,2008,6,4,900
2008-07-01,2008,7,9,900
2008-08-01,2008,8,20,1275
2008-12-01,2008,12,5,1150
2009-07-01,2009,7,24,1090
2009-11-01,2009,11,21,1561
2009-12-01,2009,12,23,1130
2010-01-01,2010,1,22,1033
2010-06-01,2010,6,28,938
2010-07-01,2010,7,66,1065
2010-08-01,2010,8,145,1125
2010-11-01,2010,11,14,1138
2010-12-01,2010,12,39,1119
2011-01-01,2011,1,51,1087
2011-06-01,2011,6,17,1411
2011-07-01,2011,7,15,1238
2011-08-01,2011,8,18,1114
2011-11-01,2011,11,6,1020
2011-12-01,2011,12,25,1260
2012-01-01,2012,1,8,1300
2012-06-01,2012,6,41,1376
2012-07-01,2012,7,24,1158
2012-08-01,2012,8,21,1425
2012-11-01,2012,11,11,1614
2012-12-01,2012,12,3,1538
2013-01-01,2013,1,15,1669
2013-06-01,2013,6,1,1600
2013-07-01,2013,7,21,1668
2014-01-01,2014,1,2,1650
2014-06-01,2014,6,1,1665
2014-07-01,2014,7,1,5200
2014-11-01,2014,11,2,2060
2014-12-01,2014,12,17,2047
2015-01-01,2015,1,136,2112
2015-06-01,2015,6,2,3325
2015-07-01,2015,7,3,3883
2015-12-01,2015,12,4,3362
2016-01-01,2016,1,11,2180
2016-06-01,2016,6,33,1687
2016-07-01,2016,7,53,1729
2016-08-01,2016,8,51,1897
2016-11-01,2016,11,23,2597
2016-12-01,2016,12,65,2076
2017-01-01,2017,1,33,2179
2017-06-01,2017,6,57,3221
2017-07-01,2017,7,26,2996
2017-08-01,2017,8,3,2000
2017-11-01,2017,11,17,3914
2017-12-01,2017,12,16,3200
2018-01-01,2018,1,19,2768
2018-06-01,2018,6,12,3461
2018-07-01,2018,7,12,3708
2018-08-01,2018,8,5,4572
2018-11-01,2018,11,18,3951
2018-12-01,2018,12,8,4575
2019-01-01,2019,1,17,4715
2019-06-01,2019,6,7,5282
2019-07-01,2019,7,2,5400
2019-08-01,2019,8,18,5080
2019-11-01,2019,11,27,4025
2019-12-01,2019,12,19,4333
