Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-08-01,2003,8,19,700
2003-11-01,2003,11,69,943
2005-06-01,2005,6,23,873
2007-12-01,2007,12,3,500
2009-07-01,2009,7,2,500
2009-12-01,2009,12,20,1710
2010-07-01,2010,7,1,2000
2011-08-01,2011,8,5,1200
2015-08-01,2015,8,21,1590
2015-12-01,2015,12,21,2279
2016-01-01,2016,1,36,2289
2016-06-01,2016,6,42,2452
2016-08-01,2016,8,83,2285
2016-11-01,2016,11,63,2292
2016-12-01,2016,12,126,1899
2017-01-01,2017,1,163,2270
2017-06-01,2017,6,21,2250
2017-07-01,2017,7,118,2144
2017-08-01,2017,8,89,2460
2018-01-01,2018,1,7,2600
2019-07-01,2019,7,25,3130
2019-08-01,2019,8,157,2275
2019-11-01,2019,11,10,3500
2019-12-01,2019,12,15,2510
