Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,20,702
2002-07-01,2002,7,59,712
2002-08-01,2002,8,17,1000
2002-11-01,2002,11,20,705
2002-12-01,2002,12,26,800
2003-01-01,2003,1,20,793
2003-06-01,2003,6,115,817
2003-07-01,2003,7,114,1404
2003-08-01,2003,8,40,1201
2003-11-01,2003,11,374,826
2003-12-01,2003,12,10,800
2004-01-01,2004,1,70,793
2004-06-01,2004,6,74,975
2004-07-01,2004,7,20,792
2004-08-01,2004,8,20,800
2004-11-01,2004,11,41,872
2004-12-01,2004,12,60,800
2005-01-01,2005,1,124,812
2005-06-01,2005,6,213,902
2005-07-01,2005,7,319,968
2005-08-01,2005,8,211,950
2005-11-01,2005,11,41,972
2005-12-01,2005,12,24,1006
2006-01-01,2006,1,46,1039
2006-06-01,2006,6,102,889
2006-07-01,2006,7,274,920
2006-08-01,2006,8,628,873
2006-11-01,2006,11,44,1051
2006-12-01,2006,12,59,1006
2007-01-01,2007,1,234,932
2007-06-01,2007,6,21,650
2008-01-01,2008,1,10,900
2008-06-01,2008,6,34,1217
2008-07-01,2008,7,151,1206
2008-08-01,2008,8,40,1200
2008-11-01,2008,11,20,1300
2008-12-01,2008,12,20,1300
2009-01-01,2009,1,72,1300
2009-06-01,2009,6,30,1300
2009-07-01,2009,7,81,1300
2009-08-01,2009,8,20,1300
2009-11-01,2009,11,45,1300
2009-12-01,2009,12,44,1395
2010-01-01,2010,1,43,1380
2010-06-01,2010,6,32,1488
2010-08-01,2010,8,1,1950
2011-01-01,2011,1,4,1850
2011-06-01,2011,6,13,1630
2011-07-01,2011,7,9,1400
2011-08-01,2011,8,18,1400
2011-11-01,2011,11,19,1400
2011-12-01,2011,12,26,1475
2012-01-01,2012,1,9,1400
2012-06-01,2012,6,16,1450
2012-07-01,2012,7,60,1680
2012-08-01,2012,8,60,1653
2013-07-01,2013,7,16,1680
2013-08-01,2013,8,10,2400
2013-11-01,2013,11,34,2400
2014-01-01,2014,1,5,1400
2014-06-01,2014,6,16,2192
2015-06-01,2015,6,16,2000
2015-07-01,2015,7,36,2000
