Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2008-07-01,2008,7,16,840
2008-11-01,2008,11,15,1700
2009-06-01,2009,6,10,1548
2009-07-01,2009,7,26,1398
2009-11-01,2009,11,26,1750
2010-06-01,2010,6,14,1226
2010-07-01,2010,7,64,1006
2010-08-01,2010,8,30,1255
2010-11-01,2010,11,20,790
2010-12-01,2010,12,78,1017
2011-01-01,2011,1,15,888
2011-06-01,2011,6,64,975
2011-07-01,2011,7,62,914
2011-08-01,2011,8,78,1059
2011-11-01,2011,11,10,1513
2011-12-01,2011,12,21,1490
2012-01-01,2012,1,16,1430
2012-06-01,2012,6,13,1225
2012-07-01,2012,7,26,2040
2012-08-01,2012,8,32,2270
2012-12-01,2012,12,10,1390
2013-01-01,2013,1,9,3600
2013-07-01,2013,7,36,2525
2014-01-01,2014,1,6,1540
2014-07-01,2014,7,10,1200
2015-06-01,2015,6,14,2750
2015-07-01,2015,7,10,2350
2015-08-01,2015,8,30,2375
2016-12-01,2016,12,100,2400
2018-12-01,2018,12,20,1525
