Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-08-01,2005,8,14,1550
2009-07-01,2009,7,8,2200
2009-08-01,2009,8,5,2300
2009-11-01,2009,11,8,1350
2009-12-01,2009,12,16,2450
2010-01-01,2010,1,43,1595
2010-06-01,2010,6,29,1865
2010-07-01,2010,7,8,2000
2010-08-01,2010,8,29,2185
2010-11-01,2010,11,13,1976
2010-12-01,2010,12,4,1900
2011-01-01,2011,1,2,2075
2011-06-01,2011,6,17,1928
2011-07-01,2011,7,19,1787
2011-08-01,2011,8,26,1850
2011-11-01,2011,11,28,2650
2011-12-01,2011,12,48,1763
2012-01-01,2012,1,9,2342
2012-06-01,2012,6,16,1100
2012-07-01,2012,7,10,2931
2012-08-01,2012,8,20,2613
2012-11-01,2012,11,32,1875
2012-12-01,2012,12,6,3095
2013-01-01,2013,1,44,2819
2013-06-01,2013,6,34,2970
2013-08-01,2013,8,17,2130
2014-06-01,2014,6,21,2125
2015-01-01,2015,1,239,2699
2015-06-01,2015,6,80,2326
2015-07-01,2015,7,64,2279
2015-08-01,2015,8,29,2559
2015-11-01,2015,11,18,1954
2015-12-01,2015,12,24,2658
2016-01-01,2016,1,37,2454
2016-06-01,2016,6,24,2976
2016-07-01,2016,7,1,2500
2016-08-01,2016,8,7,2853
2016-11-01,2016,11,20,3424
2016-12-01,2016,12,34,2963
2017-01-01,2017,1,2,4120
2017-06-01,2017,6,12,4000
2017-07-01,2017,7,35,3096
2017-08-01,2017,8,52,3131
2017-11-01,2017,11,17,3000
2017-12-01,2017,12,47,3500
2018-01-01,2018,1,30,3830
2018-06-01,2018,6,2,3500
2018-07-01,2018,7,7,3800
2018-08-01,2018,8,60,2805
2018-11-01,2018,11,30,2890
2018-12-01,2018,12,7,3500
2019-01-01,2019,1,45,2600
2019-08-01,2019,8,48,2008
2019-11-01,2019,11,6,2750
2019-12-01,2019,12,10,3000
