Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1380,1086
2002-07-01,2002,7,689,994
2002-08-01,2002,8,769,1037
2002-11-01,2002,11,2001,949
2002-12-01,2002,12,1614,943
2003-01-01,2003,1,2271,987
2003-06-01,2003,6,2864,804
2003-07-01,2003,7,2323,939
2003-08-01,2003,8,2339,810
2003-11-01,2003,11,1390,851
2003-12-01,2003,12,354,855
2004-01-01,2004,1,946,861
2004-06-01,2004,6,598,883
2004-07-01,2004,7,204,1043
2004-08-01,2004,8,285,1132
2004-11-01,2004,11,262,1048
2004-12-01,2004,12,678,1051
2005-01-01,2005,1,636,1108
2005-06-01,2005,6,536,1158
2005-07-01,2005,7,357,1250
2005-08-01,2005,8,404,1162
2005-11-01,2005,11,206,885
2005-12-01,2005,12,332,1117
2006-01-01,2006,1,391,1115
2006-06-01,2006,6,209,1060
2006-07-01,2006,7,60,1257
2006-08-01,2006,8,168,1183
2006-11-01,2006,11,162,1267
2006-12-01,2006,12,145,1128
2007-01-01,2007,1,280,1100
2007-06-01,2007,6,168,1106
2007-07-01,2007,7,204,1112
2007-08-01,2007,8,313,1103
2007-11-01,2007,11,281,1038
2007-12-01,2007,12,133,1281
2008-01-01,2008,1,7,1400
2008-06-01,2008,6,192,1510
2008-07-01,2008,7,157,1500
2008-08-01,2008,8,81,1675
2008-11-01,2008,11,47,1450
2008-12-01,2008,12,3,2100
2009-01-01,2009,1,129,1600
2009-11-01,2009,11,20,1900
2011-01-01,2011,1,50,860
2012-11-01,2012,11,71,1898
2012-12-01,2012,12,64,1668
2013-01-01,2013,1,54,1505
2013-06-01,2013,6,17,1315
2013-07-01,2013,7,18,1305
2013-11-01,2013,11,56,1315
2013-12-01,2013,12,106,1275
2014-01-01,2014,1,17,1210
2014-06-01,2014,6,107,1400
2014-07-01,2014,7,20,1200
2014-11-01,2014,11,17,805
2014-12-01,2014,12,26,1520
2015-01-01,2015,1,163,1100
2015-06-01,2015,6,36,1225
2015-08-01,2015,8,10,1200
2015-11-01,2015,11,15,1300
2015-12-01,2015,12,31,2625
2016-01-01,2016,1,57,1820
2016-06-01,2016,6,12,1300
2016-08-01,2016,8,16,1350
2017-11-01,2017,11,20,1400
2017-12-01,2017,12,13,1400
2018-08-01,2018,8,37,1400
2018-11-01,2018,11,7,1680
2018-12-01,2018,12,6,1500
2019-01-01,2019,1,49,1736
2019-06-01,2019,6,3,2150
2019-12-01,2019,12,14,2151
