Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2008-06-01,2008,6,40,1400
2009-11-01,2009,11,17,1900
2009-12-01,2009,12,17,2020
2010-06-01,2010,6,3,2450
2011-01-01,2011,1,2,1825
2011-07-01,2011,7,4,2475
2011-11-01,2011,11,6,1950
2012-07-01,2012,7,2,1950
2012-08-01,2012,8,10,1950
2012-12-01,2012,12,10,2600
2014-06-01,2014,6,16,2350
2015-07-01,2015,7,5,3000
2016-07-01,2016,7,5,2950
2016-08-01,2016,8,37,2475
2016-11-01,2016,11,58,3100
2016-12-01,2016,12,5,3800
2017-01-01,2017,1,18,3325
2017-06-01,2017,6,5,3500
2017-08-01,2017,8,5,4034
2017-11-01,2017,11,462,2320
2017-12-01,2017,12,56,3002
2018-01-01,2018,1,36,3598
2018-06-01,2018,6,27,4978
2018-07-01,2018,7,42,2893
2018-11-01,2018,11,34,1872
2019-08-01,2019,8,15,4740
2019-11-01,2019,11,127,1649
2019-12-01,2019,12,939,3776
