Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,2,900
2002-07-01,2002,7,2,800
2003-01-01,2003,1,46,810
2003-07-01,2003,7,2,700
2005-08-01,2005,8,9,900
2005-11-01,2005,11,26,600
2006-07-01,2006,7,7,800
2006-08-01,2006,8,10,1000
2007-12-01,2007,12,5,1000
2009-01-01,2009,1,99,1300
2009-07-01,2009,7,51,1283
2009-08-01,2009,8,8,1565
2009-11-01,2009,11,3,1682
2009-12-01,2009,12,58,1316
2010-01-01,2010,1,205,1340
2010-06-01,2010,6,73,901
2010-07-01,2010,7,2,2000
2010-08-01,2010,8,46,1200
2010-12-01,2010,12,92,1750
2011-01-01,2011,1,10,850
2011-06-01,2011,6,109,3020
2011-07-01,2011,7,240,4793
2011-08-01,2011,8,258,1128
2011-11-01,2011,11,252,1350
2011-12-01,2011,12,140,1033
2012-01-01,2012,1,76,1100
2012-06-01,2012,6,69,995
2012-07-01,2012,7,197,1264
2012-08-01,2012,8,42,1130
2012-11-01,2012,11,24,1650
2012-12-01,2012,12,93,1234
2013-01-01,2013,1,125,1510
2013-06-01,2013,6,392,1750
2013-07-01,2013,7,10,1567
2013-08-01,2013,8,118,1950
2013-11-01,2013,11,44,1967
2013-12-01,2013,12,180,1660
2014-01-01,2014,1,766,1765
2014-06-01,2014,6,35,1700
2014-07-01,2014,7,570,1766
2014-08-01,2014,8,238,1767
2014-11-01,2014,11,156,1805
2014-12-01,2014,12,32,1650
2015-01-01,2015,1,1869,2016
2015-06-01,2015,6,140,1725
2015-07-01,2015,7,276,1800
2015-08-01,2015,8,147,1850
2015-11-01,2015,11,67,1330
2015-12-01,2015,12,32,1312
2016-01-01,2016,1,35,1450
2016-07-01,2016,7,8,3200
2016-08-01,2016,8,70,1925
2016-11-01,2016,11,66,2438
2016-12-01,2016,12,37,2308
2017-01-01,2017,1,21,2450
2017-06-01,2017,6,20,2255
2017-07-01,2017,7,60,2450
2017-08-01,2017,8,56,2332
2017-11-01,2017,11,9,2253
2017-12-01,2017,12,5,2065
2018-01-01,2018,1,744,2230
2018-06-01,2018,6,214,2010
2018-07-01,2018,7,155,1914
2018-08-01,2018,8,143,1460
2018-11-01,2018,11,149,1667
2018-12-01,2018,12,176,1817
2019-01-01,2019,1,476,1704
2019-06-01,2019,6,237,1820
2019-07-01,2019,7,61,2167
2019-08-01,2019,8,139,2079
2019-11-01,2019,11,122,1600
2019-12-01,2019,12,152,1842
