Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,203,550
2004-01-01,2004,1,48,1215
2004-06-01,2004,6,38,730
2005-06-01,2005,6,10,600
2005-07-01,2005,7,80,1000
2006-06-01,2006,6,60,600
2007-06-01,2007,6,89,820
2007-07-01,2007,7,234,707
2007-08-01,2007,8,170,500
2007-11-01,2007,11,37,600
2007-12-01,2007,12,50,575
2008-01-01,2008,1,90,982
2008-06-01,2008,6,593,710
2008-07-01,2008,7,649,887
2008-08-01,2008,8,671,922
2008-11-01,2008,11,825,1090
2008-12-01,2008,12,1024,903
2009-01-01,2009,1,361,924
2009-06-01,2009,6,141,1020
2009-07-01,2009,7,434,942
2010-07-01,2010,7,100,800
2010-08-01,2010,8,56,1600
2010-11-01,2010,11,380,845
2010-12-01,2010,12,1817,796
2011-01-01,2011,1,517,784
2011-06-01,2011,6,2727,814
2011-07-01,2011,7,4065,861
2011-08-01,2011,8,4763,863
2014-08-01,2014,8,10,2850
2018-06-01,2018,6,681,2400
