Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,67,673
2002-07-01,2002,7,85,671
2002-08-01,2002,8,60,633
2002-11-01,2002,11,82,633
2002-12-01,2002,12,89,635
2003-01-01,2003,1,189,650
2003-06-01,2003,6,77,680
2003-07-01,2003,7,119,631
2003-08-01,2003,8,57,609
2003-11-01,2003,11,18,1000
2004-01-01,2004,1,84,687
2004-06-01,2004,6,71,700
2004-07-01,2004,7,74,700
2004-08-01,2004,8,77,700
2004-11-01,2004,11,41,700
2004-12-01,2004,12,38,733
2005-01-01,2005,1,35,700
2005-06-01,2005,6,24,700
2005-07-01,2005,7,15,850
2005-08-01,2005,8,1,1000
2006-01-01,2006,1,6,700
2006-08-01,2006,8,13,786
2007-06-01,2007,6,26,800
2007-07-01,2007,7,14,800
2007-08-01,2007,8,18,700
2007-11-01,2007,11,17,1058
2007-12-01,2007,12,13,1121
2008-01-01,2008,1,34,850
2008-06-01,2008,6,21,800
2008-07-01,2008,7,22,1006
2008-08-01,2008,8,44,878
2008-11-01,2008,11,24,1025
2008-12-01,2008,12,17,1100
2009-01-01,2009,1,16,1356
2009-06-01,2009,6,3,1033
2009-07-01,2009,7,7,1750
2009-12-01,2009,12,8,1000
2010-01-01,2010,1,8,1400
2010-06-01,2010,6,7,1500
2010-07-01,2010,7,3,1300
2010-08-01,2010,8,6,1500
2010-11-01,2010,11,8,1600
2011-01-01,2011,1,3,1100
2011-06-01,2011,6,6,2000
2011-07-01,2011,7,9,1750
2011-08-01,2011,8,6,2467
2011-11-01,2011,11,16,2005
2011-12-01,2011,12,4,2317
2012-01-01,2012,1,8,2800
2012-06-01,2012,6,24,2500
2012-07-01,2012,7,11,3025
2012-08-01,2012,8,57,2180
2012-11-01,2012,11,49,2120
2012-12-01,2012,12,32,2475
2013-01-01,2013,1,33,2280
2014-12-01,2014,12,16,3275
2015-06-01,2015,6,15,1700
2015-07-01,2015,7,10,3530
2015-08-01,2015,8,10,3600
2015-11-01,2015,11,1,2750
2015-12-01,2015,12,18,3322
2016-01-01,2016,1,3,3020
2016-11-01,2016,11,5,3640
2016-12-01,2016,12,18,2739
2017-01-01,2017,1,15,3100
2018-07-01,2018,7,2,3600
2018-11-01,2018,11,2,3000
2019-06-01,2019,6,2,4300
