Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2006-06-01,2006,6,67,806
2006-07-01,2006,7,16,750
2006-08-01,2006,8,70,850
2006-11-01,2006,11,27,790
2006-12-01,2006,12,72,1062
2007-01-01,2007,1,6,1200
2007-07-01,2007,7,9,800
2007-08-01,2007,8,60,826
2007-12-01,2007,12,17,600
2008-01-01,2008,1,89,1230
2008-06-01,2008,6,159,1128
2008-07-01,2008,7,165,1053
2008-08-01,2008,8,133,1119
2008-11-01,2008,11,51,1320
2008-12-01,2008,12,27,1625
2009-01-01,2009,1,50,1358
2009-06-01,2009,6,41,1584
2009-07-01,2009,7,46,1343
2009-08-01,2009,8,10,913
2009-12-01,2009,12,51,1041
2010-06-01,2010,6,10,800
2010-07-01,2010,7,10,1200
2010-08-01,2010,8,20,1995
2010-11-01,2010,11,11,1990
2011-06-01,2011,6,2,1400
2011-07-01,2011,7,2,1300
2011-12-01,2011,12,18,1450
2012-06-01,2012,6,73,1480
2012-07-01,2012,7,13,1950
2013-07-01,2013,7,18,2000
2013-08-01,2013,8,14,1600
2013-11-01,2013,11,3,2000
2013-12-01,2013,12,10,2000
2014-01-01,2014,1,3,2000
2015-11-01,2015,11,231,2045
2016-06-01,2016,6,122,1911
2016-07-01,2016,7,96,1929
2016-08-01,2016,8,67,1998
2016-11-01,2016,11,87,2210
2016-12-01,2016,12,101,2087
2017-06-01,2017,6,119,1832
2017-11-01,2017,11,61,1997
2017-12-01,2017,12,177,1900
2018-01-01,2018,1,70,1850
2018-06-01,2018,6,136,1935
2018-07-01,2018,7,17,1800
2019-01-01,2019,1,150,1950
2019-08-01,2019,8,50,2175
2019-11-01,2019,11,28,3162
