Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2012-06-01,2012,6,28,1517
2012-07-01,2012,7,25,1452
2012-08-01,2012,8,13,850
2012-11-01,2012,11,8,1954
2012-12-01,2012,12,7,1915
2013-01-01,2013,1,11,1375
2013-06-01,2013,6,3,1200
2013-07-01,2013,7,8,1884
2013-08-01,2013,8,6,2100
2014-01-01,2014,1,5,1400
2014-06-01,2014,6,2,1300
2014-07-01,2014,7,11,2206
2014-11-01,2014,11,3,1400
2014-12-01,2014,12,7,2220
2015-01-01,2015,1,25,1400
2015-06-01,2015,6,13,1750
2015-07-01,2015,7,3,1000
2015-08-01,2015,8,4,2020
2015-11-01,2015,11,21,1133
2015-12-01,2015,12,4,2020
2016-01-01,2016,1,5,2296
2016-06-01,2016,6,2,2788
2018-12-01,2018,12,4,3500
2019-01-01,2019,1,6,4000
2019-11-01,2019,11,8,3500
