Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,217,1100
2002-07-01,2002,7,285,1095
2002-08-01,2002,8,168,1083
2002-11-01,2002,11,213,1152
2002-12-01,2002,12,334,1321
2003-01-01,2003,1,357,1162
2003-06-01,2003,6,407,1213
2003-07-01,2003,7,189,1245
2003-08-01,2003,8,132,1241
2003-11-01,2003,11,178,1178
2003-12-01,2003,12,120,1144
2004-01-01,2004,1,137,1144
2006-06-01,2006,6,20,1095
2007-11-01,2007,11,5,1340
2007-12-01,2007,12,6,1357
2008-01-01,2008,1,7,1360
2008-06-01,2008,6,26,1532
2008-07-01,2008,7,6,1883
2008-08-01,2008,8,20,1826
2008-11-01,2008,11,25,1874
2014-11-01,2014,11,46,3000
2015-01-01,2015,1,783,3004
2015-06-01,2015,6,62,2800
2015-07-01,2015,7,27,2811
2015-08-01,2015,8,144,2447
2015-11-01,2015,11,13,2650
2015-12-01,2015,12,33,2762
2016-01-01,2016,1,15,2650
2016-06-01,2016,6,8,2350
2016-07-01,2016,7,21,2470
2016-11-01,2016,11,22,2800
