Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,3554,254
2002-11-01,2002,11,10616,167
2002-12-01,2002,12,7393,163
2003-01-01,2003,1,4618,251
2003-11-01,2003,11,7600,174
2003-12-01,2003,12,3213,189
2004-01-01,2004,1,4227,184
2004-11-01,2004,11,6020,185
2004-12-01,2004,12,6323,193
2005-01-01,2005,1,3859,216
2006-06-01,2006,6,134,840
2006-12-01,2006,12,5358,373
2007-01-01,2007,1,3191,306
2007-11-01,2007,11,2178,305
2008-11-01,2008,11,5528,279
2008-12-01,2008,12,2151,325
2009-01-01,2009,1,273,600
2009-11-01,2009,11,6575,373
2009-12-01,2009,12,5923,353
2010-01-01,2010,1,3624,352
2010-11-01,2010,11,202,500
2010-12-01,2010,12,3966,300
2011-01-01,2011,1,2393,300
2011-11-01,2011,11,4455,389
2011-12-01,2011,12,5233,426
2012-01-01,2012,1,1548,647
2012-06-01,2012,6,13,500
2012-11-01,2012,11,8123,460
2012-12-01,2012,12,7005,459
2013-01-01,2013,1,3456,526
2014-01-01,2014,1,1233,812
2014-11-01,2014,11,2244,739
2014-12-01,2014,12,7931,776
2015-01-01,2015,1,37415,721
2015-11-01,2015,11,4265,490
2015-12-01,2015,12,3952,489
2016-01-01,2016,1,2445,528
2016-11-01,2016,11,9260,474
2016-12-01,2016,12,10296,370
2017-01-01,2017,1,4604,563
2017-11-01,2017,11,8167,709
2017-12-01,2017,12,9170,697
2018-01-01,2018,1,4799,711
2018-11-01,2018,11,11543,523
2018-12-01,2018,12,8860,422
2019-01-01,2019,1,5732,320
2019-11-01,2019,11,4777,889
2019-12-01,2019,12,7125,754
