Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-12-01,2002,12,18,196
2003-01-01,2003,1,6,216
2003-12-01,2003,12,1,200
2004-11-01,2004,11,3,177
2004-12-01,2004,12,12,238
2005-11-01,2005,11,8,273
2005-12-01,2005,12,8,246
2006-01-01,2006,1,2,300
2006-11-01,2006,11,22,266
2006-12-01,2006,12,2,300
2007-01-01,2007,1,1,330
2007-11-01,2007,11,2,400
2007-12-01,2007,12,5,260
2008-01-01,2008,1,4,235
2008-11-01,2008,11,12,387
2008-12-01,2008,12,7,400
2009-07-01,2009,7,5,400
2009-11-01,2009,11,5,450
2010-11-01,2010,11,12,342
2010-12-01,2010,12,51,400
2011-01-01,2011,1,35,417
2011-12-01,2011,12,1,300
2017-12-01,2017,12,1,1000
2018-07-01,2018,7,1,1000
2018-11-01,2018,11,5,824
2018-12-01,2018,12,1,1000
