Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,1,200
2002-12-01,2002,12,5,217
2003-01-01,2003,1,3,233
2003-11-01,2003,11,4,275
2003-12-01,2003,12,1,200
2004-01-01,2004,1,1,200
2004-11-01,2004,11,2,250
2004-12-01,2004,12,3,333
2005-01-01,2005,1,3,300
2005-06-01,2005,6,4,317
2005-11-01,2005,11,4,312
2005-12-01,2005,12,2,262
2006-01-01,2006,1,3,283
2006-12-01,2006,12,1,350
2014-11-01,2014,11,15,1650
2015-01-01,2015,1,34,1000
2015-06-01,2015,6,4,1000
2015-08-01,2015,8,8,800
2015-11-01,2015,11,38,1100
2015-12-01,2015,12,33,1033
2016-01-01,2016,1,32,1100
2016-08-01,2016,8,3,1000
2016-11-01,2016,11,2,2800
2016-12-01,2016,12,4,950
2017-01-01,2017,1,2,1200
2017-06-01,2017,6,1,1800
2017-11-01,2017,11,2,2325
2017-12-01,2017,12,1,2250
2018-06-01,2018,6,2,925
2018-07-01,2018,7,5,2038
2018-11-01,2018,11,5,1962
2018-12-01,2018,12,4,1667
2019-01-01,2019,1,4,1750
2019-07-01,2019,7,5,2500
2019-11-01,2019,11,3,2250
