Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-12-01,2003,12,1,250
2005-06-01,2005,6,2,150
2006-11-01,2006,11,10,225
2007-06-01,2007,6,21,450
2007-07-01,2007,7,5,350
2007-08-01,2007,8,14,450
2007-11-01,2007,11,3,262
2007-12-01,2007,12,1,325
2008-06-01,2008,6,7,550
2008-07-01,2008,7,4,542
2008-08-01,2008,8,2,450
2008-11-01,2008,11,6,521
2008-12-01,2008,12,3,400
2009-01-01,2009,1,3,300
2009-11-01,2009,11,6,692
2009-12-01,2009,12,8,630
2010-01-01,2010,1,5,675
2010-11-01,2010,11,8,461
2010-12-01,2010,12,29,393
2011-01-01,2011,1,50,499
2011-11-01,2011,11,1,500
2011-12-01,2011,12,13,763
2012-01-01,2012,1,8,588
2012-11-01,2012,11,70,1309
2012-12-01,2012,12,1,1139
2013-01-01,2013,1,45,613
2013-06-01,2013,6,2,1122
2013-07-01,2013,7,1,1148
2014-01-01,2014,1,4,856
2014-11-01,2014,11,1,750
2014-12-01,2014,12,1,500
2015-01-01,2015,1,5,600
2015-11-01,2015,11,5,624
2015-12-01,2015,12,15,601
2016-01-01,2016,1,20,350
2016-06-01,2016,6,41,800
2017-06-01,2017,6,3,353
2017-07-01,2017,7,4,600
2017-08-01,2017,8,5,925
2017-12-01,2017,12,5,700
2018-01-01,2018,1,8,200
2018-12-01,2018,12,3,1000
2019-07-01,2019,7,4,1000
2019-12-01,2019,12,23,733
