Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,48,188
2002-07-01,2002,7,160,244
2002-08-01,2002,8,93,228
2002-11-01,2002,11,18,233
2002-12-01,2002,12,1,280
2003-06-01,2003,6,125,222
2003-07-01,2003,7,204,225
2003-08-01,2003,8,122,188
2003-11-01,2003,11,6,180
2004-01-01,2004,1,73,184
2004-08-01,2004,8,7,150
2004-11-01,2004,11,305,160
2004-12-01,2004,12,393,161
2005-01-01,2005,1,145,168
2006-06-01,2006,6,59,700
2009-01-01,2009,1,40,1000
2009-06-01,2009,6,1174,228
2009-07-01,2009,7,521,203
2009-08-01,2009,8,169,194
2009-11-01,2009,11,167,202
2009-12-01,2009,12,218,199
2010-01-01,2010,1,438,197
2010-06-01,2010,6,418,209
2010-07-01,2010,7,1129,205
2010-08-01,2010,8,672,204
2010-11-01,2010,11,17,200
2010-12-01,2010,12,128,206
2011-01-01,2011,1,37,223
2011-06-01,2011,6,247,213
2011-07-01,2011,7,1290,205
2011-08-01,2011,8,940,198
2011-11-01,2011,11,252,305
2011-12-01,2011,12,250,298
2012-01-01,2012,1,677,266
2012-06-01,2012,6,1481,275
2012-07-01,2012,7,476,269
2012-08-01,2012,8,682,257
2012-11-01,2012,11,97,272
2012-12-01,2012,12,125,288
2013-01-01,2013,1,216,256
2013-06-01,2013,6,267,283
2013-07-01,2013,7,1450,261
2013-08-01,2013,8,330,265
2013-11-01,2013,11,215,281
2013-12-01,2013,12,233,282
2014-01-01,2014,1,198,283
2015-11-01,2015,11,39,273
2015-12-01,2015,12,17,213
2016-01-01,2016,1,77,190
2016-06-01,2016,6,70,233
2016-07-01,2016,7,502,250
2016-08-01,2016,8,187,292
2017-06-01,2017,6,341,259
2017-07-01,2017,7,409,258
2017-08-01,2017,8,172,217
2017-11-01,2017,11,31,247
2017-12-01,2017,12,21,279
2018-01-01,2018,1,47,179
2018-06-01,2018,6,99,198
2018-07-01,2018,7,650,196
2018-08-01,2018,8,77,196
2019-07-01,2019,7,11,444
2019-08-01,2019,8,6,383
