Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-07-01,2004,7,8,205
2004-08-01,2004,8,14,214
2004-11-01,2004,11,14,258
2004-12-01,2004,12,43,206
2005-01-01,2005,1,35,197
2005-06-01,2005,6,12,242
2006-01-01,2006,1,4,250
2006-11-01,2006,11,3,300
2006-12-01,2006,12,19,256
2007-01-01,2007,1,5,300
2007-11-01,2007,11,55,314
2007-12-01,2007,12,23,263
2008-01-01,2008,1,38,286
2008-06-01,2008,6,4,275
2008-07-01,2008,7,2,250
2008-08-01,2008,8,1,220
2008-11-01,2008,11,3,450
2008-12-01,2008,12,9,790
2009-01-01,2009,1,5,333
2010-06-01,2010,6,2,480
2010-07-01,2010,7,10,350
2010-08-01,2010,8,17,369
2010-11-01,2010,11,24,392
2010-12-01,2010,12,54,512
2011-01-01,2011,1,49,623
2011-06-01,2011,6,6,338
2011-07-01,2011,7,13,321
2011-08-01,2011,8,15,342
2011-11-01,2011,11,4,450
2011-12-01,2011,12,17,461
2012-01-01,2012,1,29,453
2012-06-01,2012,6,3,500
2012-12-01,2012,12,67,696
2013-01-01,2013,1,136,679
2013-06-01,2013,6,50,683
2013-07-01,2013,7,37,721
2014-01-01,2014,1,182,738
2014-06-01,2014,6,249,483
2014-07-01,2014,7,266,438
2014-08-01,2014,8,264,436
2014-11-01,2014,11,247,514
2014-12-01,2014,12,250,583
2015-01-01,2015,1,2031,661
2015-06-01,2015,6,119,575
2015-07-01,2015,7,80,671
2015-08-01,2015,8,22,792
2015-11-01,2015,11,44,795
2015-12-01,2015,12,134,832
2016-01-01,2016,1,121,962
2016-06-01,2016,6,59,673
2016-07-01,2016,7,68,754
2016-08-01,2016,8,34,850
2016-11-01,2016,11,53,1100
2016-12-01,2016,12,185,863
2017-01-01,2017,1,112,863
2017-06-01,2017,6,16,950
2018-12-01,2018,12,6,1300
2019-01-01,2019,1,28,925
2019-06-01,2019,6,34,1097
2019-07-01,2019,7,28,1258
2019-08-01,2019,8,32,1622
2019-11-01,2019,11,30,1472
2019-12-01,2019,12,38,1213
