Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2007-01-01,2007,1,1,400
2007-11-01,2007,11,3,300
2008-11-01,2008,11,10,250
2009-11-01,2009,11,39,267
2009-12-01,2009,12,28,217
2010-01-01,2010,1,47,229
2010-07-01,2010,7,6,280
2010-08-01,2010,8,4,344
2010-12-01,2010,12,6,310
2011-11-01,2011,11,4,375
2011-12-01,2011,12,6,333
2012-01-01,2012,1,2,165
2012-06-01,2012,6,2,500
2012-11-01,2012,11,13,314
2012-12-01,2012,12,8,421
2013-01-01,2013,1,56,555
2013-06-01,2013,6,2,500
2013-07-01,2013,7,6,498
2013-11-01,2013,11,15,724
2013-12-01,2013,12,57,575
2014-01-01,2014,1,5,578
2016-06-01,2016,6,10,500
2016-07-01,2016,7,71,792
2016-08-01,2016,8,14,1182
2016-11-01,2016,11,54,864
2016-12-01,2016,12,31,1000
2017-06-01,2017,6,41,740
2017-07-01,2017,7,143,851
2017-08-01,2017,8,136,803
2017-11-01,2017,11,237,901
2017-12-01,2017,12,244,883
2018-01-01,2018,1,305,771
2018-06-01,2018,6,52,562
2018-07-01,2018,7,278,601
2018-08-01,2018,8,198,561
2018-11-01,2018,11,316,683
2018-12-01,2018,12,234,696
2019-01-01,2019,1,256,626
2019-06-01,2019,6,17,550
2019-07-01,2019,7,158,648
2019-08-01,2019,8,131,677
2019-11-01,2019,11,204,950
2019-12-01,2019,12,441,865
