Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,35,780
2002-07-01,2002,7,149,748
2002-11-01,2002,11,1,825
2002-12-01,2002,12,25,800
2003-01-01,2003,1,3,800
2003-07-01,2003,7,66,780
2003-08-01,2003,8,140,670
2003-11-01,2003,11,23,750
2003-12-01,2003,12,28,840
2004-08-01,2004,8,36,861
2004-11-01,2004,11,16,750
2004-12-01,2004,12,78,700
2005-01-01,2005,1,128,670
2005-08-01,2005,8,225,853
2005-11-01,2005,11,14,830
2005-12-01,2005,12,36,850
2006-06-01,2006,6,146,990
2006-07-01,2006,7,20,1050
2006-08-01,2006,8,59,1045
2006-12-01,2006,12,45,1025
2007-01-01,2007,1,37,1125
2007-06-01,2007,6,156,1018
2007-07-01,2007,7,22,1115
2008-01-01,2008,1,15,1200
2008-07-01,2008,7,43,1130
2008-08-01,2008,8,45,950
2008-11-01,2008,11,18,1088
2009-06-01,2009,6,216,1225
2009-07-01,2009,7,37,1200
2009-11-01,2009,11,17,1500
2009-12-01,2009,12,17,1500
2010-06-01,2010,6,42,1312
2010-07-01,2010,7,78,1320
2011-01-01,2011,1,32,1350
2011-06-01,2011,6,108,1350
2011-07-01,2011,7,146,1303
2011-08-01,2011,8,101,1320
2011-11-01,2011,11,110,1175
2011-12-01,2011,12,58,1145
2012-01-01,2012,1,16,1200
2012-06-01,2012,6,56,1375
2012-07-01,2012,7,32,1455
2014-06-01,2014,6,107,1650
2014-07-01,2014,7,50,1733
2014-08-01,2014,8,37,1800
2014-12-01,2014,12,32,1588
2015-01-01,2015,1,191,1600
2015-06-01,2015,6,377,1600
2015-07-01,2015,7,83,1650
2015-08-01,2015,8,51,1650
2016-06-01,2016,6,28,1800
2018-06-01,2018,6,46,1733
2018-07-01,2018,7,37,1700
2018-08-01,2018,8,60,1900
2018-11-01,2018,11,93,1500
2019-06-01,2019,6,54,2200
2019-07-01,2019,7,74,2200
2019-08-01,2019,8,108,2200
