Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-11-01,2003,11,17,860
2006-06-01,2006,6,3,1000
2007-06-01,2007,6,3,1300
2007-12-01,2007,12,26,1400
2011-06-01,2011,6,40,1667
2011-07-01,2011,7,36,1579
2011-08-01,2011,8,20,1651
2011-11-01,2011,11,6,2082
2015-06-01,2015,6,9,2300
2015-07-01,2015,7,1,1400
2016-07-01,2016,7,1,2000
2017-06-01,2017,6,10,1700
2017-07-01,2017,7,4,1700
2017-08-01,2017,8,24,1705
2017-11-01,2017,11,1,1500
2017-12-01,2017,12,11,3500
2018-07-01,2018,7,8,1400
2018-08-01,2018,8,5,1400
2019-06-01,2019,6,3,3000
