Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,186,1100
2002-06-01,2002,6,1885,1200
2002-07-01,2002,7,2660,1184
2002-08-01,2002,8,2331,1176
2002-11-01,2002,11,2920,1150
2002-12-01,2002,12,2296,1150
2003-01-01,2003,1,2464,1150
2003-06-01,2003,6,2019,1100
2003-07-01,2003,7,2279,1100
2003-08-01,2003,8,2161,1100
2003-11-01,2003,11,2732,1100
2003-12-01,2003,12,1636,1232
2004-01-01,2004,1,2097,1350
2004-06-01,2004,6,1506,1063
2004-07-01,2004,7,1106,1021
2004-08-01,2004,8,1799,1000
2004-11-01,2004,11,2366,1002
2004-12-01,2004,12,1929,1000
2005-01-01,2005,1,2790,1021
2005-06-01,2005,6,2235,1059
2005-07-01,2005,7,570,1100
2005-08-01,2005,8,1524,1104
2005-11-01,2005,11,942,1326
2005-12-01,2005,12,780,1370
2006-01-01,2006,1,1692,1260
2006-06-01,2006,6,1243,1687
2006-07-01,2006,7,1758,1462
2006-08-01,2006,8,1866,1455
2006-11-01,2006,11,1695,1765
2006-12-01,2006,12,1266,1813
2007-01-01,2007,1,1195,1767
2007-06-01,2007,6,2093,1277
2007-07-01,2007,7,1615,1261
2007-08-01,2007,8,1782,1403
2007-11-01,2007,11,1771,1420
2007-12-01,2007,12,1552,1420
2008-01-01,2008,1,1662,1420
2008-06-01,2008,6,1823,1575
2008-07-01,2008,7,1516,1591
2008-08-01,2008,8,1495,1600
2008-11-01,2008,11,1570,1600
2008-12-01,2008,12,450,1590
2009-01-01,2009,1,688,1586
2009-06-01,2009,6,1859,1709
2009-07-01,2009,7,1528,1829
2009-08-01,2009,8,1040,1900
2009-11-01,2009,11,1687,1950
2009-12-01,2009,12,2131,1934
2010-01-01,2010,1,1839,1902
2010-06-01,2010,6,2016,1896
2010-07-01,2010,7,1974,1950
2010-08-01,2010,8,2256,2044
2010-11-01,2010,11,529,1850
2010-12-01,2010,12,1659,1886
2011-01-01,2011,1,1977,1945
2011-06-01,2011,6,2064,1957
2011-07-01,2011,7,1916,1929
2011-08-01,2011,8,1808,1922
2011-11-01,2011,11,2045,1675
2011-12-01,2011,12,2001,1727
2012-01-01,2012,1,1991,1637
2012-06-01,2012,6,2031,1986
2012-07-01,2012,7,2332,2028
2012-08-01,2012,8,1910,2118
2012-11-01,2012,11,1062,2000
2012-12-01,2012,12,1317,2269
2013-01-01,2013,1,2061,2230
2013-06-01,2013,6,1588,2324
2013-07-01,2013,7,2014,2294
2013-08-01,2013,8,815,2315
2014-01-01,2014,1,1708,2425
2014-06-01,2014,6,1952,2623
2014-07-01,2014,7,1805,2661
2014-08-01,2014,8,1508,2463
2014-11-01,2014,11,5228,2545
2014-12-01,2014,12,1940,2536
2015-01-01,2015,1,13993,2640
2015-06-01,2015,6,1785,2671
2015-07-01,2015,7,1128,2768
2015-08-01,2015,8,1547,2766
2015-11-01,2015,11,1675,2892
2015-12-01,2015,12,1864,2900
2016-01-01,2016,1,1520,2900
2016-06-01,2016,6,2003,2807
2016-07-01,2016,7,1395,2750
2016-08-01,2016,8,1952,2822
2016-11-01,2016,11,2132,3015
2016-12-01,2016,12,1815,2906
2017-01-01,2017,1,1783,3105
2017-06-01,2017,6,1959,2785
2017-07-01,2017,7,1986,2944
2017-08-01,2017,8,1365,3032
2017-11-01,2017,11,1798,2572
2017-12-01,2017,12,1705,2800
2018-01-01,2018,1,1727,2800
2018-06-01,2018,6,1910,2713
2018-07-01,2018,7,1864,2700
2018-08-01,2018,8,2292,2700
2018-11-01,2018,11,2234,2750
2018-12-01,2018,12,1984,2750
2019-01-01,2019,1,2299,2750
2019-06-01,2019,6,1476,2900
2019-07-01,2019,7,1540,2900
2019-08-01,2019,8,2104,2900
2019-11-01,2019,11,1810,3014
2019-12-01,2019,12,2432,2700
