Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,36,850
2002-07-01,2002,7,81,783
2002-08-01,2002,8,132,807
2002-11-01,2002,11,257,780
2002-12-01,2002,12,62,800
2003-01-01,2003,1,1206,733
2003-06-01,2003,6,121,733
2003-07-01,2003,7,305,750
2003-08-01,2003,8,216,769
2003-11-01,2003,11,85,880
2003-12-01,2003,12,14,800
2004-01-01,2004,1,2,800
2004-06-01,2004,6,24,800
2005-01-01,2005,1,11,850
2005-06-01,2005,6,35,967
2005-08-01,2005,8,19,950
2005-11-01,2005,11,16,950
2006-07-01,2006,7,13,800
2006-08-01,2006,8,13,900
2006-12-01,2006,12,10,900
2007-07-01,2007,7,32,1175
2007-11-01,2007,11,7,1000
2007-12-01,2007,12,16,1000
2008-01-01,2008,1,28,1000
2008-06-01,2008,6,37,1200
2008-11-01,2008,11,14,1200
2009-01-01,2009,1,11,1500
2010-06-01,2010,6,12,1600
2010-07-01,2010,7,30,1600
2010-12-01,2010,12,7,1800
2011-07-01,2011,7,15,1200
2011-08-01,2011,8,13,1240
2012-06-01,2012,6,33,1257
2012-07-01,2012,7,59,1253
2012-08-01,2012,8,13,1320
2012-12-01,2012,12,74,1600
2014-01-01,2014,1,8,2100
2016-07-01,2016,7,21,2150
