Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,28,688
2002-07-01,2002,7,18,692
2002-08-01,2002,8,13,720
2002-11-01,2002,11,12,818
2002-12-01,2002,12,2,820
2003-06-01,2003,6,7,897
2003-07-01,2003,7,8,890
2003-08-01,2003,8,10,890
2003-11-01,2003,11,1,1000
2004-06-01,2004,6,6,763
2004-07-01,2004,7,2,755
2004-08-01,2004,8,8,813
2004-11-01,2004,11,11,770
2004-12-01,2004,12,5,810
2005-01-01,2005,1,1,740
2005-06-01,2005,6,11,733
2005-07-01,2005,7,2,790
2005-08-01,2005,8,9,794
2005-11-01,2005,11,2,865
2006-01-01,2006,1,1,950
2006-06-01,2006,6,34,983
2006-07-01,2006,7,12,1035
2006-08-01,2006,8,19,1102
2006-11-01,2006,11,8,1200
2007-06-01,2007,6,4,1050
2007-07-01,2007,7,1,1100
2007-08-01,2007,8,3,1033
2007-11-01,2007,11,2,1016
2008-06-01,2008,6,35,1054
2008-07-01,2008,7,9,1178
2008-08-01,2008,8,24,1192
2008-11-01,2008,11,25,1086
2008-12-01,2008,12,5,1105
2009-01-01,2009,1,4,1175
2009-06-01,2009,6,18,1122
2009-07-01,2009,7,5,1159
2009-11-01,2009,11,11,1411
2009-12-01,2009,12,4,1432
2010-01-01,2010,1,8,1448
2010-06-01,2010,6,4,1282
2010-07-01,2010,7,2,1295
2010-08-01,2010,8,4,1317
2010-11-01,2010,11,8,1260
2010-12-01,2010,12,17,1294
2011-01-01,2011,1,3,1300
2011-06-01,2011,6,28,1192
2011-07-01,2011,7,10,1131
2011-08-01,2011,8,23,1096
2011-11-01,2011,11,48,2250
2011-12-01,2011,12,31,1056
2012-01-01,2012,1,16,1789
2012-06-01,2012,6,58,1787
2012-07-01,2012,7,62,2044
2012-08-01,2012,8,66,2364
2012-11-01,2012,11,20,1931
2013-11-01,2013,11,2,2300
2013-12-01,2013,12,1,2820
2014-06-01,2014,6,41,2011
2014-07-01,2014,7,17,2246
2014-08-01,2014,8,189,3100
2015-01-01,2015,1,429,2284
2015-06-01,2015,6,135,3154
2015-07-01,2015,7,56,3009
2015-08-01,2015,8,21,3499
2015-11-01,2015,11,10,3684
2015-12-01,2015,12,10,3920
2016-01-01,2016,1,3,2884
2016-06-01,2016,6,20,3647
2016-07-01,2016,7,14,3622
2016-08-01,2016,8,10,3252
2016-11-01,2016,11,5,2922
2016-12-01,2016,12,2,2350
2017-06-01,2017,6,36,1345
2017-07-01,2017,7,32,1335
2017-08-01,2017,8,38,1445
2017-11-01,2017,11,30,1290
2017-12-01,2017,12,35,1410
2018-01-01,2018,1,21,1213
2018-06-01,2018,6,66,1634
2018-07-01,2018,7,38,1607
2018-08-01,2018,8,36,1728
2018-11-01,2018,11,15,2781
2018-12-01,2018,12,11,2514
2019-01-01,2019,1,4,2212
2019-06-01,2019,6,20,3285
2019-07-01,2019,7,2,2748
2019-08-01,2019,8,6,3307
2019-11-01,2019,11,3,3050
2019-12-01,2019,12,3,3440
