Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,96,675
2002-07-01,2002,7,173,713
2002-08-01,2002,8,111,718
2002-11-01,2002,11,237,749
2002-12-01,2002,12,166,751
2003-01-01,2003,1,130,787
2003-06-01,2003,6,110,798
2003-07-01,2003,7,82,832
2003-08-01,2003,8,13,815
2003-11-01,2003,11,134,874
2003-12-01,2003,12,16,885
2004-01-01,2004,1,71,912
2004-11-01,2004,11,27,832
2004-12-01,2004,12,155,856
2005-01-01,2005,1,87,862
2005-06-01,2005,6,74,869
2005-08-01,2005,8,35,863
2005-11-01,2005,11,44,911
2005-12-01,2005,12,70,897
2006-01-01,2006,1,56,950
2006-06-01,2006,6,17,1000
2006-08-01,2006,8,18,988
2006-11-01,2006,11,119,988
2006-12-01,2006,12,48,775
2007-01-01,2007,1,36,1167
2011-07-01,2011,7,58,950
