Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,54,848
2002-07-01,2002,7,66,867
2002-08-01,2002,8,57,856
2002-11-01,2002,11,81,917
2002-12-01,2002,12,49,911
2003-01-01,2003,1,81,913
2003-06-01,2003,6,67,958
2003-07-01,2003,7,75,909
2003-08-01,2003,8,60,919
2003-11-01,2003,11,61,933
2003-12-01,2003,12,63,929
2004-01-01,2004,1,30,940
2004-06-01,2004,6,21,929
2004-07-01,2004,7,10,922
2004-08-01,2004,8,31,920
2004-11-01,2004,11,36,939
2004-12-01,2004,12,64,911
2005-01-01,2005,1,53,931
2005-06-01,2005,6,56,838
2005-07-01,2005,7,82,879
2005-08-01,2005,8,58,899
2005-11-01,2005,11,16,866
2005-12-01,2005,12,4,846
2006-01-01,2006,1,60,974
2006-06-01,2006,6,128,1085
2006-07-01,2006,7,34,994
2006-08-01,2006,8,20,1080
2006-11-01,2006,11,80,1047
2006-12-01,2006,12,39,1110
2007-01-01,2007,1,116,1062
2007-06-01,2007,6,174,1255
2007-07-01,2007,7,90,1210
2007-08-01,2007,8,30,1322
2007-11-01,2007,11,48,1261
2007-12-01,2007,12,67,1346
2008-01-01,2008,1,100,1283
2008-06-01,2008,6,89,1407
2008-07-01,2008,7,73,1452
2008-08-01,2008,8,50,1440
2008-11-01,2008,11,61,1420
2008-12-01,2008,12,26,1422
2009-01-01,2009,1,24,1444
2009-06-01,2009,6,38,1490
2009-07-01,2009,7,19,1496
2009-11-01,2009,11,57,1424
2009-12-01,2009,12,64,1426
2010-01-01,2010,1,60,1590
2010-06-01,2010,6,61,1578
2010-07-01,2010,7,69,1469
2010-08-01,2010,8,64,1448
2010-11-01,2010,11,28,1492
2010-12-01,2010,12,52,1412
2011-01-01,2011,1,14,1737
2011-06-01,2011,6,222,1828
2011-07-01,2011,7,107,1820
2011-08-01,2011,8,191,1756
2011-11-01,2011,11,227,1594
2011-12-01,2011,12,190,1611
2012-01-01,2012,1,208,1637
2012-06-01,2012,6,171,1484
2012-07-01,2012,7,166,1565
2012-08-01,2012,8,74,1721
2012-11-01,2012,11,65,1990
2012-12-01,2012,12,108,2033
2013-01-01,2013,1,132,2083
2013-06-01,2013,6,104,2245
2013-07-01,2013,7,101,2213
2013-08-01,2013,8,43,2326
2014-01-01,2014,1,104,2432
2014-06-01,2014,6,308,2338
2014-07-01,2014,7,55,2362
2014-08-01,2014,8,49,2355
2014-11-01,2014,11,44,2464
2014-12-01,2014,12,75,2426
2015-01-01,2015,1,695,2350
2015-06-01,2015,6,44,2222
2015-07-01,2015,7,37,2328
2015-08-01,2015,8,31,2365
2015-11-01,2015,11,56,2618
2015-12-01,2015,12,111,2411
2016-01-01,2016,1,63,2343
2016-06-01,2016,6,94,2261
2016-07-01,2016,7,100,2282
2016-08-01,2016,8,82,2213
2016-11-01,2016,11,83,2226
2016-12-01,2016,12,100,2177
2017-01-01,2017,1,84,2132
2017-06-01,2017,6,83,2200
2017-07-01,2017,7,75,2215
2017-08-01,2017,8,71,2209
2017-11-01,2017,11,145,2352
2017-12-01,2017,12,144,2313
2018-01-01,2018,1,131,2408
2018-06-01,2018,6,99,2023
2018-07-01,2018,7,91,2010
2018-08-01,2018,8,103,2014
2018-11-01,2018,11,87,2562
2018-12-01,2018,12,137,2558
2019-01-01,2019,1,109,2510
2019-06-01,2019,6,78,2594
2019-07-01,2019,7,64,2600
2019-08-01,2019,8,106,2595
2019-11-01,2019,11,124,2636
2019-12-01,2019,12,134,2643
