Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,440,753
2002-07-01,2002,7,398,744
2002-08-01,2002,8,265,749
2002-11-01,2002,11,436,812
2002-12-01,2002,12,326,860
2003-01-01,2003,1,162,847
2003-06-01,2003,6,630,906
2003-07-01,2003,7,266,917
2003-08-01,2003,8,228,927
2003-11-01,2003,11,328,920
2003-12-01,2003,12,197,968
2004-01-01,2004,1,236,1021
2004-06-01,2004,6,111,946
2004-07-01,2004,7,148,887
2004-08-01,2004,8,356,884
2004-11-01,2004,11,441,876
2004-12-01,2004,12,213,883
2005-01-01,2005,1,135,788
2005-06-01,2005,6,407,814
2005-07-01,2005,7,549,801
2005-08-01,2005,8,238,850
2005-11-01,2005,11,266,819
2005-12-01,2005,12,273,831
2006-01-01,2006,1,471,830
2006-06-01,2006,6,488,1017
2006-07-01,2006,7,312,1029
2006-08-01,2006,8,151,1037
2006-11-01,2006,11,393,1169
2006-12-01,2006,12,223,1192
2007-01-01,2007,1,128,1218
2007-06-01,2007,6,289,1182
2007-07-01,2007,7,342,1233
2007-08-01,2007,8,134,1201
2007-11-01,2007,11,421,1221
2007-12-01,2007,12,138,1210
2008-01-01,2008,1,113,1198
2008-06-01,2008,6,581,1260
2008-07-01,2008,7,353,1251
2008-08-01,2008,8,293,1250
2008-11-01,2008,11,243,1159
2008-12-01,2008,12,128,1155
2009-01-01,2009,1,274,1206
2009-06-01,2009,6,279,1290
2009-07-01,2009,7,127,1318
2009-11-01,2009,11,53,1428
2009-12-01,2009,12,28,1422
2010-06-01,2010,6,38,1462
2010-07-01,2010,7,6,1575
2010-08-01,2010,8,39,1450
2010-11-01,2010,11,3,1450
2010-12-01,2010,12,3,1190
2011-01-01,2011,1,12,1234
2011-06-01,2011,6,117,1465
2011-07-01,2011,7,163,1414
2011-08-01,2011,8,139,1405
2011-11-01,2011,11,143,1400
2011-12-01,2011,12,196,1392
2012-01-01,2012,1,211,1447
2012-06-01,2012,6,264,1471
2012-07-01,2012,7,2282,1642
2012-08-01,2012,8,655,1703
2012-11-01,2012,11,666,1672
2012-12-01,2012,12,716,1664
2013-01-01,2013,1,306,1642
2013-06-01,2013,6,506,1974
2013-07-01,2013,7,262,1900
2013-08-01,2013,8,78,1962
2014-01-01,2014,1,218,2308
2014-06-01,2014,6,833,2318
2014-07-01,2014,7,1049,2287
2014-08-01,2014,8,1137,2200
2014-11-01,2014,11,763,2171
2015-01-01,2015,1,4573,1959
2015-06-01,2015,6,711,1948
2015-07-01,2015,7,571,1900
2015-08-01,2015,8,175,2073
2015-11-01,2015,11,190,2379
2015-12-01,2015,12,94,2345
2016-01-01,2016,1,25,2300
2016-06-01,2016,6,78,2786
2016-07-01,2016,7,12,2940
2016-08-01,2016,8,19,2400
2016-11-01,2016,11,56,2808
2016-12-01,2016,12,128,2586
2017-01-01,2017,1,54,2644
2017-06-01,2017,6,154,2600
2017-07-01,2017,7,128,2593
2017-08-01,2017,8,12,2333
2017-11-01,2017,11,98,2200
2017-12-01,2017,12,21,2106
2018-01-01,2018,1,72,2036
2018-06-01,2018,6,113,1977
2018-07-01,2018,7,51,1914
2018-08-01,2018,8,61,2123
2018-11-01,2018,11,17,2550
2018-12-01,2018,12,15,2525
2019-01-01,2019,1,11,2436
2019-06-01,2019,6,5,3740
2019-07-01,2019,7,1,3000
2019-08-01,2019,8,33,4800
2019-11-01,2019,11,1,3200
2019-12-01,2019,12,9,3133
