Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,614,675
2002-07-01,2002,7,857,661
2002-08-01,2002,8,542,665
2002-11-01,2002,11,374,749
2002-12-01,2002,12,405,748
2003-01-01,2003,1,591,775
2003-06-01,2003,6,217,768
2003-07-01,2003,7,153,809
2003-08-01,2003,8,383,804
2003-11-01,2003,11,9,865
2003-12-01,2003,12,69,872
2004-01-01,2004,1,235,932
2005-06-01,2005,6,50,885
2005-07-01,2005,7,21,860
2005-08-01,2005,8,34,875
2005-12-01,2005,12,7,900
2006-01-01,2006,1,53,992
2006-06-01,2006,6,22,1030
