Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,1045,686
2002-12-01,2002,12,1892245,690
2003-01-01,2003,1,1883,700
2003-06-01,2003,6,764,768
2003-07-01,2003,7,1394,771
2003-08-01,2003,8,490,738
2003-11-01,2003,11,857,821
2003-12-01,2003,12,281,870
2004-01-01,2004,1,1080,860
2004-08-01,2004,8,750,800
2006-01-01,2006,1,5800,865
2007-01-01,2007,1,91,1290
2007-07-01,2007,7,100,1200
2007-08-01,2007,8,100,1150
2007-11-01,2007,11,123,1250
2007-12-01,2007,12,12,1200
2008-11-01,2008,11,719,1200
2009-11-01,2009,11,5,1200
2010-01-01,2010,1,16,1550
2010-07-01,2010,7,59,1475
2010-08-01,2010,8,206,1350
2010-12-01,2010,12,718,1483
2011-06-01,2011,6,20,1400
2011-12-01,2011,12,101,1390
2012-08-01,2012,8,161,1350
2019-08-01,2019,8,15,2475
