Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,328,855
2002-07-01,2002,7,260,808
2002-08-01,2002,8,148,822
2002-11-01,2002,11,160,925
2002-12-01,2002,12,52,880
2003-01-01,2003,1,52,982
2003-06-01,2003,6,168,930
2003-07-01,2003,7,113,992
2003-08-01,2003,8,44,944
2003-11-01,2003,11,45,1081
2003-12-01,2003,12,3,1015
2004-01-01,2004,1,6,1140
2004-06-01,2004,6,80,1145
2004-07-01,2004,7,44,1051
2004-08-01,2004,8,51,1036
2004-11-01,2004,11,57,1063
2004-12-01,2004,12,31,1009
2005-01-01,2005,1,62,956
2005-06-01,2005,6,192,880
2005-07-01,2005,7,109,878
2005-08-01,2005,8,125,858
2005-11-01,2005,11,34,915
2005-12-01,2005,12,59,890
2006-01-01,2006,1,86,898
2006-06-01,2006,6,172,991
2006-07-01,2006,7,91,1006
2006-08-01,2006,8,96,1082
2006-11-01,2006,11,118,1145
2006-12-01,2006,12,29,1129
2007-01-01,2007,1,32,1221
2007-06-01,2007,6,103,1077
2007-07-01,2007,7,96,1068
2007-08-01,2007,8,49,1057
2007-11-01,2007,11,28,1104
2007-12-01,2007,12,12,1050
2008-01-01,2008,1,17,1072
2008-06-01,2008,6,310,1394
2008-07-01,2008,7,202,1336
2008-08-01,2008,8,140,1239
2008-11-01,2008,11,184,1149
2008-12-01,2008,12,61,1262
2009-01-01,2009,1,80,1215
2009-06-01,2009,6,352,1171
2009-07-01,2009,7,181,1180
2009-08-01,2009,8,28,1200
2009-11-01,2009,11,273,1497
2009-12-01,2009,12,169,1454
2010-01-01,2010,1,123,1598
2010-06-01,2010,6,167,1322
2010-07-01,2010,7,125,1315
2010-08-01,2010,8,112,1302
2010-11-01,2010,11,42,1250
2010-12-01,2010,12,57,1259
2011-01-01,2011,1,35,1209
2011-06-01,2011,6,233,1854
2011-07-01,2011,7,184,1432
2011-08-01,2011,8,132,1535
2011-11-01,2011,11,84,1085
2011-12-01,2011,12,50,1168
2012-01-01,2012,1,78,1347
2012-06-01,2012,6,93,1847
2012-07-01,2012,7,46,1770
2012-08-01,2012,8,45,1732
2012-11-01,2012,11,33,1988
2012-12-01,2012,12,238,1793
2013-01-01,2013,1,170,1643
2013-06-01,2013,6,198,1691
2013-07-01,2013,7,76,1782
2013-08-01,2013,8,39,1775
2014-01-01,2014,1,112,1719
2014-06-01,2014,6,159,1780
2014-07-01,2014,7,207,1745
2014-08-01,2014,8,319,1649
2014-11-01,2014,11,551,1533
2014-12-01,2014,12,414,1520
2015-01-01,2015,1,4212,1657
2015-06-01,2015,6,593,1539
2015-07-01,2015,7,227,1584
2015-08-01,2015,8,275,1594
2015-11-01,2015,11,50,1650
2015-12-01,2015,12,75,1774
2016-01-01,2016,1,60,1746
2016-06-01,2016,6,272,2022
2016-07-01,2016,7,148,2232
2016-08-01,2016,8,136,2305
2016-11-01,2016,11,12,2236
2016-12-01,2016,12,29,2216
2017-01-01,2017,1,11,3139
2017-06-01,2017,6,43,2172
2017-07-01,2017,7,35,1931
2017-08-01,2017,8,11,2672
2017-11-01,2017,11,43,2428
2017-12-01,2017,12,46,1957
2018-01-01,2018,1,46,2117
2018-06-01,2018,6,224,1767
2018-07-01,2018,7,203,2038
2018-08-01,2018,8,198,2044
2018-11-01,2018,11,82,2111
2018-12-01,2018,12,132,2341
2019-01-01,2019,1,143,2229
2019-06-01,2019,6,73,2373
2019-07-01,2019,7,43,2448
2019-08-01,2019,8,80,2334
2019-11-01,2019,11,90,2386
2019-12-01,2019,12,68,2544
