Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-07-01,2003,7,2,600
2003-08-01,2003,8,6,700
2005-07-01,2005,7,4,600
2005-08-01,2005,8,2,600
2005-11-01,2005,11,1,501
2006-06-01,2006,6,10,909
2006-07-01,2006,7,4,833
2006-11-01,2006,11,1,1310
2008-06-01,2008,6,4,775
2009-11-01,2009,11,2,1100
2009-12-01,2009,12,1,1200
2010-11-01,2010,11,10,775
2011-06-01,2011,6,5,2375
2011-07-01,2011,7,5,2375
2011-11-01,2011,11,1,2300
2012-06-01,2012,6,3,1576
2012-07-01,2012,7,3,2258
2012-08-01,2012,8,1,2200
2013-06-01,2013,6,3,2000
2014-06-01,2014,6,38,2397
2014-07-01,2014,7,4,2300
2014-08-01,2014,8,3,2275
2015-01-01,2015,1,2,3075
2015-06-01,2015,6,26,3092
2015-07-01,2015,7,5,3067
2015-08-01,2015,8,1,3500
2015-11-01,2015,11,2,2600
2017-06-01,2017,6,47,1430
2017-07-01,2017,7,14,1432
