Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,10,820
2002-08-01,2002,8,31,804
2002-11-01,2002,11,10,990
2003-06-01,2003,6,11,785
2003-07-01,2003,7,25,705
2003-11-01,2003,11,3,827
2003-12-01,2003,12,1,820
2004-01-01,2004,1,2,941
2005-06-01,2005,6,29,767
2005-07-01,2005,7,25,733
2006-06-01,2006,6,39,910
2006-08-01,2006,8,20,1120
2006-11-01,2006,11,20,1194
2007-06-01,2007,6,6,1200
2007-07-01,2007,7,10,1240
2008-06-01,2008,6,1,1105
2008-07-01,2008,7,3,967
2008-12-01,2008,12,1,750
2010-01-01,2010,1,12,1500
2011-07-01,2011,7,10,1540
2015-07-01,2015,7,30,1450
2018-06-01,2018,6,21,2100
