Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,34,600
2002-07-01,2002,7,39,630
2002-08-01,2002,8,23,600
2002-11-01,2002,11,43,648
2002-12-01,2002,12,34,712
2003-01-01,2003,1,13,650
2003-06-01,2003,6,28,858
2003-07-01,2003,7,46,860
2003-08-01,2003,8,4,1000
2003-11-01,2003,11,7,950
2003-12-01,2003,12,1,1015
2004-06-01,2004,6,8,1000
2004-08-01,2004,8,13,900
2004-11-01,2004,11,38,725
2004-12-01,2004,12,49,736
2005-01-01,2005,1,4,700
2005-06-01,2005,6,68,638
2005-07-01,2005,7,113,666
2005-08-01,2005,8,44,631
2005-11-01,2005,11,86,668
2005-12-01,2005,12,132,680
2006-01-01,2006,1,193,635
2006-06-01,2006,6,22,1033
2006-07-01,2006,7,24,1043
2006-08-01,2006,8,82,1042
2006-11-01,2006,11,33,1060
2006-12-01,2006,12,27,1070
2007-01-01,2007,1,10,1000
2007-06-01,2007,6,36,1300
2007-07-01,2007,7,7,1292
2007-08-01,2007,8,15,1562
2007-11-01,2007,11,10,1800
2007-12-01,2007,12,2,1800
2008-01-01,2008,1,10,1050
2008-06-01,2008,6,149,1048
2008-07-01,2008,7,90,1095
2008-08-01,2008,8,62,1134
2008-11-01,2008,11,20,1017
2009-07-01,2009,7,30,1400
2009-11-01,2009,11,482,817
2010-06-01,2010,6,81,1542
2010-07-01,2010,7,12,1125
2010-08-01,2010,8,3,1310
2010-11-01,2010,11,6,1750
2010-12-01,2010,12,7,1440
2011-01-01,2011,1,4,1600
2011-06-01,2011,6,7,1750
2011-07-01,2011,7,10,1800
2011-08-01,2011,8,25,1821
2011-11-01,2011,11,34,1880
2011-12-01,2011,12,25,1878
2012-01-01,2012,1,8,1975
2012-06-01,2012,6,27,1650
2012-07-01,2012,7,55,1694
2012-08-01,2012,8,50,1840
2012-11-01,2012,11,40,1880
2013-06-01,2013,6,81,1988
2013-07-01,2013,7,31,1908
2014-01-01,2014,1,4,2500
2014-06-01,2014,6,85,2200
2014-07-01,2014,7,47,2443
2014-08-01,2014,8,57,2629
2014-11-01,2014,11,19,3167
2014-12-01,2014,12,9,3000
2015-01-01,2015,1,55,2333
2015-06-01,2015,6,28,2500
2015-07-01,2015,7,42,2480
2015-08-01,2015,8,20,2525
2015-11-01,2015,11,16,3267
2015-12-01,2015,12,13,2875
2016-06-01,2016,6,262,3310
2016-07-01,2016,7,171,3362
2016-08-01,2016,8,54,3475
2016-11-01,2016,11,338,2936
2016-12-01,2016,12,102,2703
2017-01-01,2017,1,45,2925
2017-06-01,2017,6,18,1900
2017-08-01,2017,8,22,1900
2017-11-01,2017,11,236,1615
2017-12-01,2017,12,246,1663
2018-01-01,2018,1,170,1602
2018-07-01,2018,7,128,1792
2018-08-01,2018,8,163,1742
2018-11-01,2018,11,29,2150
2019-01-01,2019,1,138,2341
2019-06-01,2019,6,33,3600
2019-07-01,2019,7,47,3600
2019-08-01,2019,8,137,3778
2019-11-01,2019,11,115,3948
