Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,498,701
2002-07-01,2002,7,722,698
2002-08-01,2002,8,595,693
2002-11-01,2002,11,589,752
2002-12-01,2002,12,1400,746
2003-01-01,2003,1,1633,784
2003-06-01,2003,6,490,792
2003-07-01,2003,7,112,815
2003-08-01,2003,8,550,798
2003-11-01,2003,11,672,870
2003-12-01,2003,12,277,883
2004-01-01,2004,1,107,917
2004-06-01,2004,6,122,800
2004-07-01,2004,7,48,760
2004-08-01,2004,8,109,816
2004-11-01,2004,11,304,847
2004-12-01,2004,12,271,861
2005-01-01,2005,1,509,885
2005-06-01,2005,6,856,886
2005-07-01,2005,7,343,893
2005-08-01,2005,8,440,891
2005-12-01,2005,12,165,948
2006-01-01,2006,1,380,956
2006-07-01,2006,7,53,1023
2006-08-01,2006,8,108,1000
2006-11-01,2006,11,221,1087
2006-12-01,2006,12,138,1158
2007-01-01,2007,1,176,1132
2007-06-01,2007,6,168,1041
2007-07-01,2007,7,16,1100
2007-08-01,2007,8,14,1071
2007-12-01,2007,12,2,1000
2008-01-01,2008,1,78,1150
2008-07-01,2008,7,22,1090
2010-01-01,2010,1,319,986
2010-06-01,2010,6,30,1015
2010-11-01,2010,11,100,1395
2010-12-01,2010,12,120,1070
2011-07-01,2011,7,69,1129
2012-01-01,2012,1,298,1004
2012-08-01,2012,8,17,1440
2014-06-01,2014,6,40,1790
2014-07-01,2014,7,70,1761
2014-08-01,2014,8,10,1770
2014-11-01,2014,11,70,1773
2017-01-01,2017,1,600,1971
2017-11-01,2017,11,63,1654
2017-12-01,2017,12,212,1586
