Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1001,698
2002-07-01,2002,7,1258,712
2002-08-01,2002,8,811,696
2002-11-01,2002,11,583,729
2002-12-01,2002,12,1118,718
2003-01-01,2003,1,166,725
2003-06-01,2003,6,834,730
2003-07-01,2003,7,1827,733
2003-08-01,2003,8,2675,738
2003-11-01,2003,11,139,802
2004-01-01,2004,1,25,850
2004-06-01,2004,6,112,790
2004-08-01,2004,8,27,765
2004-11-01,2004,11,108,850
2004-12-01,2004,12,171,838
2005-01-01,2005,1,223,850
2005-06-01,2005,6,80,850
2015-06-01,2015,6,5,1820
