Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-01-01,2005,1,5,650
2006-06-01,2006,6,29,1303
2006-07-01,2006,7,4,1200
2006-11-01,2006,11,4,1200
2008-01-01,2008,1,19,1400
2008-06-01,2008,6,66,979
2008-07-01,2008,7,77,908
2008-08-01,2008,8,28,1002
2008-11-01,2008,11,123,809
2008-12-01,2008,12,3,900
2009-01-01,2009,1,83,870
2009-06-01,2009,6,22,1100
2009-11-01,2009,11,29,1025
2009-12-01,2009,12,10,1292
2010-01-01,2010,1,46,1618
2010-06-01,2010,6,33,2302
2010-11-01,2010,11,16,1450
2011-11-01,2011,11,37,1050
2012-06-01,2012,6,20,2000
2012-07-01,2012,7,41,2267
2012-08-01,2012,8,15,2000
2012-11-01,2012,11,92,2100
2012-12-01,2012,12,65,2038
2013-01-01,2013,1,88,1862
2013-07-01,2013,7,3,2100
2015-12-01,2015,12,8,4100
2016-08-01,2016,8,49,3367
2016-12-01,2016,12,13,3500
2017-08-01,2017,8,252,1600
2017-11-01,2017,11,17,1600
2017-12-01,2017,12,30,1500
2018-07-01,2018,7,28,1600
2018-08-01,2018,8,310,1697
2019-01-01,2019,1,32,2049
2019-08-01,2019,8,144,3284
