Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,4,742
2002-07-01,2002,7,3,735
2002-08-01,2002,8,3,752
2002-11-01,2002,11,1,735
2003-11-01,2003,11,1,782
2006-06-01,2006,6,1,984
2006-07-01,2006,7,5,1008
2006-08-01,2006,8,2,1020
2006-11-01,2006,11,4,1199
2006-12-01,2006,12,111,1152
2007-06-01,2007,6,4,1024
2007-07-01,2007,7,1,880
2007-08-01,2007,8,2,1010
2007-11-01,2007,11,1,1345
2008-06-01,2008,6,15,994
2008-07-01,2008,7,11,1040
2008-08-01,2008,8,6,1074
2008-11-01,2008,11,5,1100
2008-12-01,2008,12,4,1106
2009-01-01,2009,1,106,1030
2009-06-01,2009,6,14,1094
2009-07-01,2009,7,10,1097
2009-08-01,2009,8,1,1156
2009-11-01,2009,11,8,1455
2009-12-01,2009,12,3,1349
2010-01-01,2010,1,4,1332
2010-06-01,2010,6,6,1287
2010-07-01,2010,7,2,1262
2010-08-01,2010,8,4,1276
2010-11-01,2010,11,1,1196
2010-12-01,2010,12,4,1233
2011-06-01,2011,6,2,1892
2011-07-01,2011,7,1,1169
2011-08-01,2011,8,1,1222
2011-12-01,2011,12,1,1109
2012-06-01,2012,6,1,1320
2013-06-01,2013,6,2,1660
2013-07-01,2013,7,3,1623
2014-01-01,2014,1,2,1535
2014-06-01,2014,6,21,1517
2014-07-01,2014,7,14,1587
2014-08-01,2014,8,16,1567
2014-11-01,2014,11,5,1536
2014-12-01,2014,12,18,1519
2015-01-01,2015,1,152,1458
2015-06-01,2015,6,7,1492
2015-07-01,2015,7,5,1566
2015-08-01,2015,8,9,1533
2015-11-01,2015,11,2,1610
2015-12-01,2015,12,5,1598
2016-01-01,2016,1,4,1698
2016-06-01,2016,6,21,1470
2016-07-01,2016,7,14,1528
2016-08-01,2016,8,23,1518
2016-11-01,2016,11,1,1433
2018-06-01,2018,6,7,1667
2018-07-01,2018,7,4,1779
2018-08-01,2018,8,6,1856
2018-11-01,2018,11,4,2020
2018-12-01,2018,12,2,2144
2019-01-01,2019,1,2,1984
2019-06-01,2019,6,3,2147
