Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-11-01,2009,11,121,1190
2009-12-01,2009,12,47,1237
2010-01-01,2010,1,52,1180
2010-06-01,2010,6,50,1180
2010-07-01,2010,7,127,1184
2010-12-01,2010,12,14,1220
2011-01-01,2011,1,33,1240
2011-06-01,2011,6,175,1205
2011-07-01,2011,7,209,1208
2011-08-01,2011,8,158,1199
2011-11-01,2011,11,112,1092
2011-12-01,2011,12,151,1167
2012-01-01,2012,1,113,1159
2012-07-01,2012,7,39,1212
2012-08-01,2012,8,106,1205
2012-11-01,2012,11,58,1314
2013-01-01,2013,1,105,1564
2013-06-01,2013,6,90,1551
2013-07-01,2013,7,25,1570
2013-08-01,2013,8,22,1540
2013-11-01,2013,11,147,1631
2013-12-01,2013,12,158,1588
2014-01-01,2014,1,289,1552
2014-06-01,2014,6,1001,1556
2014-07-01,2014,7,666,1620
2014-08-01,2014,8,628,1638
2014-11-01,2014,11,974,1540
2014-12-01,2014,12,554,1619
2015-01-01,2015,1,4210,1738
2015-06-01,2015,6,580,1537
2015-07-01,2015,7,689,1534
2015-08-01,2015,8,1736,1585
2015-11-01,2015,11,450,1711
2015-12-01,2015,12,156,1725
2016-01-01,2016,1,503,1478
2016-06-01,2016,6,854,1748
2016-07-01,2016,7,357,1819
2016-08-01,2016,8,573,1905
2016-11-01,2016,11,22,2000
2016-12-01,2016,12,123,1990
2017-01-01,2017,1,20,1840
2017-06-01,2017,6,47,1741
2017-07-01,2017,7,15,1455
2017-12-01,2017,12,123,1249
2018-01-01,2018,1,325,1744
2018-07-01,2018,7,34,1981
2018-08-01,2018,8,55,1557
2018-11-01,2018,11,25,1550
2018-12-01,2018,12,13,1950
2019-11-01,2019,11,17,2150
2019-12-01,2019,12,86,2160
