Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,240,997
2002-06-01,2002,6,499,982
2002-07-01,2002,7,1436,1003
2002-08-01,2002,8,610,996
2002-11-01,2002,11,333,1021
2002-12-01,2002,12,220,1075
2003-01-01,2003,1,1139,1031
2003-06-01,2003,6,299,981
2003-07-01,2003,7,300,1000
2003-08-01,2003,8,427,1060
2003-11-01,2003,11,572,1105
2003-12-01,2003,12,230,1145
2004-01-01,2004,1,290,1079
2004-07-01,2004,7,307,1133
2004-08-01,2004,8,456,1125
2004-11-01,2004,11,2808,1155
2004-12-01,2004,12,237,1127
2005-06-01,2005,6,353,1050
2005-07-01,2005,7,263,1141
2005-08-01,2005,8,259,1135
2005-11-01,2005,11,195,1103
2005-12-01,2005,12,33,1008
2006-01-01,2006,1,357,1232
2006-06-01,2006,6,131,1414
2006-07-01,2006,7,113,1435
2006-08-01,2006,8,408,1486
2006-11-01,2006,11,179,1619
2006-12-01,2006,12,120,1634
2007-01-01,2007,1,134,1653
2007-06-01,2007,6,224,1374
2007-07-01,2007,7,378,1410
2007-08-01,2007,8,212,1410
2007-11-01,2007,11,248,1442
2007-12-01,2007,12,216,1486
2008-01-01,2008,1,283,1523
2008-06-01,2008,6,418,1524
2008-07-01,2008,7,215,1537
2008-08-01,2008,8,227,1664
2008-11-01,2008,11,263,1641
2008-12-01,2008,12,110,1575
2009-01-01,2009,1,244,1611
2009-06-01,2009,6,278,1572
2009-07-01,2009,7,238,1650
2009-08-01,2009,8,250,1650
2009-11-01,2009,11,219,1622
2009-12-01,2009,12,47,1810
2010-01-01,2010,1,16,1900
2010-06-01,2010,6,227,1882
2010-07-01,2010,7,173,1906
2010-08-01,2010,8,173,1892
2010-11-01,2010,11,99,2007
2010-12-01,2010,12,176,1958
2011-01-01,2011,1,131,2050
2011-06-01,2011,6,198,1868
2011-07-01,2011,7,187,1838
2011-08-01,2011,8,125,1864
2011-11-01,2011,11,167,1900
2011-12-01,2011,12,153,1946
2012-01-01,2012,1,191,1967
2012-06-01,2012,6,260,1942
2012-07-01,2012,7,165,2068
2012-08-01,2012,8,79,2133
2012-11-01,2012,11,96,2261
2012-12-01,2012,12,50,2458
2013-01-01,2013,1,70,2279
2013-06-01,2013,6,80,2450
2013-07-01,2013,7,83,2494
2014-01-01,2014,1,111,2824
2014-06-01,2014,6,51,2675
2014-07-01,2014,7,113,2605
2014-08-01,2014,8,102,2625
2014-11-01,2014,11,154,2750
2014-12-01,2014,12,143,2723
2015-01-01,2015,1,850,2762
2015-06-01,2015,6,127,2633
2015-07-01,2015,7,108,2725
2015-08-01,2015,8,74,2750
2015-11-01,2015,11,48,2762
2015-12-01,2015,12,187,2833
2016-01-01,2016,1,84,2900
2016-06-01,2016,6,96,2778
2016-07-01,2016,7,44,2792
2016-08-01,2016,8,145,2832
2016-11-01,2016,11,304,2858
2016-12-01,2016,12,134,2927
2017-01-01,2017,1,45,2950
2017-06-01,2017,6,123,2623
2017-07-01,2017,7,198,2753
2017-08-01,2017,8,166,2859
2017-11-01,2017,11,241,2754
2017-12-01,2017,12,249,2643
2018-01-01,2018,1,248,2600
2018-06-01,2018,6,347,2715
2018-07-01,2018,7,317,2709
2018-08-01,2018,8,428,2989
2018-11-01,2018,11,363,2975
2018-12-01,2018,12,354,2947
2019-01-01,2019,1,261,2962
2019-06-01,2019,6,178,2768
2019-07-01,2019,7,158,2800
2019-08-01,2019,8,266,2857
2019-11-01,2019,11,194,2883
2019-12-01,2019,12,245,2825
