Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,108,612
2002-07-01,2002,7,249,624
2002-08-01,2002,8,148,671
2002-11-01,2002,11,184,624
2002-12-01,2002,12,122,640
2003-01-01,2003,1,171,685
2003-06-01,2003,6,175,696
2003-07-01,2003,7,168,723
2003-08-01,2003,8,214,715
2003-11-01,2003,11,42,749
2003-12-01,2003,12,20,770
2004-01-01,2004,1,34,770
2004-06-01,2004,6,15,628
2004-07-01,2004,7,1,678
2004-11-01,2004,11,1,670
2004-12-01,2004,12,1,680
2005-01-01,2005,1,3,730
2005-11-01,2005,11,58,830
2006-01-01,2006,1,145,899
2006-06-01,2006,6,22,902
2006-07-01,2006,7,9,998
2006-08-01,2006,8,41,880
2006-11-01,2006,11,30,1128
2006-12-01,2006,12,36,1132
2007-01-01,2007,1,41,1000
2007-06-01,2007,6,43,938
2007-07-01,2007,7,32,1060
2007-08-01,2007,8,19,1050
2007-11-01,2007,11,87,1116
2007-12-01,2007,12,39,1080
2008-01-01,2008,1,69,1100
2008-06-01,2008,6,41,1103
2008-07-01,2008,7,41,1143
2008-08-01,2008,8,41,1100
2008-11-01,2008,11,23,1082
2008-12-01,2008,12,14,1100
2009-01-01,2009,1,44,1123
2009-11-01,2009,11,43,1375
2010-12-01,2010,12,22,1322
2011-01-01,2011,1,27,1338
2012-11-01,2012,11,524,1539
2012-12-01,2012,12,126,1580
2013-01-01,2013,1,144,1609
2013-06-01,2013,6,69,1690
2013-07-01,2013,7,202,1695
2013-08-01,2013,8,46,1700
2013-11-01,2013,11,10,1650
2013-12-01,2013,12,38,1645
2014-01-01,2014,1,28,1638
2014-06-01,2014,6,160,1635
2014-07-01,2014,7,86,1700
2015-12-01,2015,12,1,1550
2016-06-01,2016,6,2,2300
2017-06-01,2017,6,2,3100
2017-11-01,2017,11,2,2125
2018-01-01,2018,1,3,2170
2018-08-01,2018,8,3,2450
2018-12-01,2018,12,26,2550
2019-01-01,2019,1,26,2400
2019-07-01,2019,7,12,2450
2019-08-01,2019,8,47,2512
2019-11-01,2019,11,34,2675
2019-12-01,2019,12,55,2750
