Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-08-01,2005,8,20,790
2006-01-01,2006,1,74,885
2006-06-01,2006,6,176,930
2006-07-01,2006,7,64,1011
2006-08-01,2006,8,118,969
2006-11-01,2006,11,19,1018
2006-12-01,2006,12,20,1012
2007-07-01,2007,7,76,975
2007-08-01,2007,8,25,955
2007-11-01,2007,11,10,1100
2008-01-01,2008,1,57,1160
2008-06-01,2008,6,131,1028
2008-07-01,2008,7,78,1108
2008-08-01,2008,8,57,1155
2008-11-01,2008,11,50,1133
2009-06-01,2009,6,13,1100
2009-07-01,2009,7,28,1158
2009-08-01,2009,8,15,1265
2009-11-01,2009,11,65,1212
2009-12-01,2009,12,54,1308
2010-01-01,2010,1,48,1350
2010-06-01,2010,6,100,1211
2010-07-01,2010,7,83,1160
2010-08-01,2010,8,103,1167
2010-11-01,2010,11,53,1267
2010-12-01,2010,12,109,1290
2011-01-01,2011,1,92,1338
2011-06-01,2011,6,246,1211
2011-07-01,2011,7,198,1177
2011-08-01,2011,8,247,1175
2011-11-01,2011,11,226,1155
2011-12-01,2011,12,278,1168
2012-01-01,2012,1,186,1159
2012-06-01,2012,6,224,1200
2012-07-01,2012,7,122,1200
2012-08-01,2012,8,141,1212
2012-11-01,2012,11,276,1386
2012-12-01,2012,12,332,1464
2013-01-01,2013,1,200,1378
2013-07-01,2013,7,76,1400
2013-08-01,2013,8,36,1475
2014-01-01,2014,1,117,1490
2014-06-01,2014,6,90,1592
2014-07-01,2014,7,171,1440
2014-08-01,2014,8,210,1500
2015-01-01,2015,1,776,1660
2015-06-01,2015,6,162,1575
2015-07-01,2015,7,274,1550
2015-08-01,2015,8,357,1490
2015-11-01,2015,11,235,1770
2015-12-01,2015,12,79,1575
2016-01-01,2016,1,130,1575
2016-06-01,2016,6,45,1875
2016-08-01,2016,8,188,1917
2016-11-01,2016,11,111,2017
2016-12-01,2016,12,105,1867
2017-01-01,2017,1,83,1983
2017-06-01,2017,6,94,1540
2017-07-01,2017,7,125,1759
2017-08-01,2017,8,64,1793
2017-11-01,2017,11,10,2031
2017-12-01,2017,12,18,2160
2018-01-01,2018,1,8,2188
2018-06-01,2018,6,13,1612
2018-07-01,2018,7,3,2345
2018-08-01,2018,8,12,2327
2018-11-01,2018,11,8,2465
2018-12-01,2018,12,9,2400
2019-01-01,2019,1,10,2445
2019-06-01,2019,6,4,2515
2019-07-01,2019,7,4,2435
2019-08-01,2019,8,25,2469
2019-11-01,2019,11,36,1119
