Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,840,744
2002-07-01,2002,7,1354,872
2002-08-01,2002,8,667,986
2002-11-01,2002,11,1167,891
2002-12-01,2002,12,1440,826
2003-01-01,2003,1,712,818
2003-06-01,2003,6,408,906
2003-07-01,2003,7,154,880
2003-08-01,2003,8,169,1037
2003-11-01,2003,11,515,953
2003-12-01,2003,12,294,1007
2004-01-01,2004,1,73,1111
2004-06-01,2004,6,145,1067
2004-07-01,2004,7,13,1050
2004-08-01,2004,8,25,983
2004-11-01,2004,11,114,956
2004-12-01,2004,12,224,987
2005-01-01,2005,1,31,1052
2005-06-01,2005,6,148,1057
2005-07-01,2005,7,433,1065
2005-08-01,2005,8,123,1070
2005-11-01,2005,11,104,1050
2005-12-01,2005,12,2,1210
2006-01-01,2006,1,290,1235
2006-06-01,2006,6,165,1395
2006-07-01,2006,7,220,1393
2006-08-01,2006,8,155,1494
2006-11-01,2006,11,575,1620
2006-12-01,2006,12,220,1608
2007-01-01,2007,1,127,1475
2007-06-01,2007,6,152,1433
2007-07-01,2007,7,108,1431
2007-08-01,2007,8,60,1400
2007-11-01,2007,11,67,1461
2007-12-01,2007,12,30,1533
2008-01-01,2008,1,39,1475
2008-06-01,2008,6,27,1660
2008-07-01,2008,7,29,1700
2008-08-01,2008,8,29,1670
2008-11-01,2008,11,36,1683
2008-12-01,2008,12,12,1675
2009-01-01,2009,1,27,1650
2009-06-01,2009,6,724,1654
2009-07-01,2009,7,70,1608
2009-11-01,2009,11,18,2000
2009-12-01,2009,12,141,2086
2010-01-01,2010,1,178,2011
2010-06-01,2010,6,17,1825
2010-07-01,2010,7,35,1850
2010-08-01,2010,8,6,1875
2010-11-01,2010,11,237,1980
2010-12-01,2010,12,836,2077
2011-01-01,2011,1,138,2020
2011-06-01,2011,6,218,2164
2011-07-01,2011,7,180,2120
2011-08-01,2011,8,69,1985
2011-11-01,2011,11,25,1733
2011-12-01,2011,12,62,1731
2012-01-01,2012,1,179,1896
2012-06-01,2012,6,75,1978
2012-07-01,2012,7,135,2048
2012-08-01,2012,8,108,2139
2012-11-01,2012,11,220,2135
2012-12-01,2012,12,39,2117
2013-01-01,2013,1,27,2205
2013-06-01,2013,6,46,2295
2013-07-01,2013,7,40,2319
2013-08-01,2013,8,22,2250
2014-01-01,2014,1,37,2700
2014-06-01,2014,6,4,2500
2014-07-01,2014,7,4,2500
2014-08-01,2014,8,4,2475
2015-01-01,2015,1,77,2500
2015-06-01,2015,6,6,2660
2015-07-01,2015,7,8,2700
2015-08-01,2015,8,8,2712
2015-11-01,2015,11,8,2700
2015-12-01,2015,12,27,2742
2016-01-01,2016,1,14,2717
2016-06-01,2016,6,37,2882
2016-07-01,2016,7,47,2840
2016-08-01,2016,8,34,2838
2016-11-01,2016,11,21,2950
2016-12-01,2016,12,34,3080
2017-01-01,2017,1,23,3108
2017-06-01,2017,6,54,2800
2017-07-01,2017,7,38,2787
2017-08-01,2017,8,30,2807
2017-11-01,2017,11,32,2844
2017-12-01,2017,12,35,2786
2018-01-01,2018,1,28,2800
2018-06-01,2018,6,45,2828
2018-07-01,2018,7,70,2906
2018-08-01,2018,8,84,2991
2018-11-01,2018,11,58,3067
2018-12-01,2018,12,96,3009
2019-01-01,2019,1,69,3046
2019-06-01,2019,6,14,2882
2019-07-01,2019,7,21,2910
2019-08-01,2019,8,64,2994
2019-11-01,2019,11,64,3010
2019-12-01,2019,12,62,3112
