Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Karnataka,,,,,
Arecanut,,,,,
 1.BANGALORE URBAN, 1997-98,Whole Year ,762,1066,1.3989501312336
, 1998-99,Whole Year ,81,546,6.74074074074074
, 2000-01,Whole Year ,81,113,1.39506172839506
, 2001-02,Whole Year ,81,113,1.39506172839506
, 2003-04,Whole Year ,216,302,1.39814814814815
, 2004-05,Whole Year ,233,326,1.39914163090129
, 2005-06,Whole Year ,274,1845,6.73357664233577
, 2006-07,Whole Year ,247,346,1.40080971659919
, 2007-08,Whole Year ,326,2196,6.73619631901841
, 2008-09,Whole Year ,315,2122,6.73650793650794
, 2009-10,Whole Year ,384,2586,6.734375
, 2010-11,Whole Year ,383,4141,10.8120104438642
, 2011-12,Whole Year ,401,3247,8.09725685785536
, 2012-13,Whole Year ,346,2777,8.02601156069364
, 2013-14,Whole Year ,464,5168,11.1379310344828
, 2014-15,Whole Year ,231,2137,9.25108225108225
, 2015-16,Whole Year ,222,2176,9.8018018018018
, 2016-17,Whole Year ,264,2682,10.1590909090909
, 2017-18,Whole Year ,297,3221,10.8451178451178
, 2018-19,Whole Year ,401,3580,8.92768079800499
Total - Arecanut,,,6009,40690,6.77150940256282
Arhar/Tur,,,,,
 1.BANGALORE URBAN, 1997-98,Kharif     ,6057,4131,0.682020802377415
, 1998-99,Kharif     ,936,436,0.465811965811966
, 1999-00,Kharif     ,1417,808,0.570218772053635
, 2000-01,Kharif     ,909,411,0.452145214521452
, 2001-02,Kharif     ,553,169,0.305605786618445
, 2002-03,Kharif     ,319,149,0.467084639498433
, 2003-04,Kharif     ,843,316,0.37485172004745
, 2004-05,Kharif     ,1008,522,0.517857142857143
, 2005-06,Kharif     ,849,577,0.67962308598351
, 2006-07,Kharif     ,586,258,0.440273037542662
, 2007-08,Kharif     ,630,417,0.661904761904762
, 2008-09,Kharif     ,714,376,0.526610644257703
, 2009-10,Kharif     ,617,285,0.461912479740681
, 2010-11,Kharif     ,737,432,0.586160108548168
, 2011-12,Kharif     ,1013,464,0.458045409674235
, 2012-13,Kharif     ,638,452,0.70846394984326
, 2013-14,Kharif     ,1011,929,0.9188921859545
, 2014-15,Kharif     ,2093,1362,0.650740563784042
, 2015-16,Kharif     ,463,170,0.367170626349892
, 2016-17,Kharif     ,821,820,0.99878197320341
, 2017-18,Kharif     ,600,569,0.948333333333333
, 2018-19,Kharif     ,461,279,0.605206073752712
Total - Arhar/Tur,,,23275,14332,0.615767991407089
Bajra,,,,,
 1.BANGALORE URBAN, 2012-13,Kharif     ,2,2,1
, 2013-14,Kharif     ,7,8,1.14285714285714
, 2017-18,Kharif     ,3,5,1.66666666666667
, 2018-19,Kharif     ,9,8,0.888888888888889
Total - Bajra,,,21,23,1.0952380952381
Banana,,,,,
 1.BANGALORE URBAN, 1999-00,Whole Year ,1191,27946,23.4643157010915
, 2000-01,Whole Year ,1359,24982,18.3826342899191
, 2002-03,Whole Year ,345,7631,22.1188405797101
, 2003-04,Whole Year ,314,6121,19.4936305732484
, 2004-05,Whole Year ,530,23206,43.7849056603774
, 2005-06,Whole Year ,490,5733,11.7
, 2006-07,Whole Year ,532,2808,5.2781954887218
, 2007-08,Whole Year ,415,15375,37.0481927710843
, 2008-09,Whole Year ,372,16495,44.3413978494624
, 2009-10,Whole Year ,408,13127,32.1740196078431
, 2010-11,Whole Year ,255,8548,33.521568627451
, 2011-12,Whole Year ,281,7021,24.9857651245552
Total - Banana,,,6492,158993,24.4906038200863
Black pepper,,,,,
 1.BANGALORE URBAN, 1997-98,Kharif     ,1,2,2
, 2009-10,Whole Year ,17,63,3.70588235294118
, 2010-11,Whole Year ,16,9.7,0.60625
, 2011-12,Whole Year ,15,4.2,0.28
, 2012-13,Whole Year ,2,6,3
, 2013-14,Whole Year ,2,5,2.5
, 2014-15,Whole Year ,2,1.2,0.6
, 2015-16,Whole Year ,11,8.4,0.763636363636364
, 2016-17,Whole Year ,2,1.2,0.6
, 2017-18,Whole Year ,1,0.7,0.7
Total - Black pepper,,,69,101.4,1.4695652173913
Cashewnut,,,,,
 1.BANGALORE URBAN, 2012-13,Whole Year ,3,2,0.666666666666667
, 2013-14,Whole Year ,3,3,1
, 2018-19,Whole Year ,4,5,1.25
Total - Cashewnut,,,10,10,1
Castor seed,,,,,
 1.BANGALORE URBAN, 1998-99,Kharif     ,351,299,0.851851851851852
, 1999-00,Kharif     ,508,392,0.771653543307087
, 2000-01,Kharif     ,585,749,1.28034188034188
, 2001-02,Kharif     ,465,344,0.739784946236559
, 2002-03,Kharif     ,308,284,0.922077922077922
, 2003-04,Kharif     ,399,358,0.897243107769424
, 2004-05,Kharif     ,457,396,0.866520787746171
, 2005-06,Kharif     ,512,533,1.041015625
, 2006-07,Kharif     ,248,198,0.798387096774194
, 2007-08,Kharif     ,277,186,0.671480144404332
, 2008-09,Kharif     ,288,273,0.947916666666667
, 2009-10,Kharif     ,235,152,0.646808510638298
, 2010-11,Kharif     ,265,222,0.837735849056604
, 2011-12,Kharif     ,288,242,0.840277777777778
, 2012-13,Kharif     ,99,62,0.626262626262626
, 2013-14,Kharif     ,57,51,0.894736842105263
, 2014-15,Kharif     ,52,32,0.615384615384615
, 2015-16,Kharif     ,113,59,0.52212389380531
, 2016-17,Kharif     ,95,47,0.494736842105263
, 2017-18,Kharif     ,65,42,0.646153846153846
, 2018-19,Kharif     ,5,3,0.6
Total - Castor seed,,,5672,4924,0.868124118476728
Coconut ,,,,Nuts*,Nuts/Hectare
 1.BANGALORE URBAN, 1998-99,Whole Year ,3347,15984000,4775.6199581715
, 1999-00,Whole Year ,4383,20932000,4775.72438968743
, 2000-01,Whole Year ,2959,13604000,4597.49915511997
, 2001-02,Whole Year ,1959,7017000,3581.92955589586
, 2002-03,Whole Year ,2008,7192000,3581.67330677291
, 2003-04,Whole Year ,2565,9187000,3581.67641325536
, 2004-05,Whole Year ,2498,8947000,3581.66533226581
, 2005-06,Whole Year ,2871,10283000,3581.67885754093
, 2006-07,Whole Year ,2385,8543000,3581.97064989518
, 2007-08,Whole Year ,2310,11762000,5091.77489177489
, 2008-09,Whole Year ,2313,15846000,6850.84306095979
, 2009-10,Whole Year ,2565,18238000,7110.33138401559
, 2010-11,Whole Year ,2311,22092000,9559.498052791
, 2011-12,Whole Year ,2264,22508000,9941.69611307421
, 2012-13,Whole Year ,2312,22763000,9845.58823529412
, 2013-14,Whole Year ,2116,16788000,7933.83742911153
, 2014-15,Whole Year ,1281,11431000,8923.49726775956
, 2015-16,Whole Year ,1495,12502000,8362.54180602007
, 2016-17,Whole Year ,1132,8850000,7818.02120141343
, 2017-18,Whole Year ,1162,9188000,7907.05679862306
, 2018-19,Whole Year ,1908,13513000,7082.28511530398
Total - Coconut ,,,48144,287170000,5964.81389165836
Coriander,,,,,
 1.BANGALORE URBAN, 1997-98,Whole Year ,154,17,0.11038961038961
, 1998-99,Whole Year ,12,2,0.166666666666667
, 1999-00,Whole Year ,19,3,0.157894736842105
, 2000-01,Whole Year ,24,4,0.166666666666667
, 2001-02,Whole Year ,29,5,0.172413793103448
, 2002-03,Whole Year ,24,4,0.166666666666667
, 2003-04,Whole Year ,33,5,0.151515151515152
, 2004-05,Whole Year ,32,5,0.15625
, 2005-06,Whole Year ,30,5,0.166666666666667
, 2006-07,Whole Year ,24,4,0.166666666666667
, 2007-08,Whole Year ,21,7,0.333333333333333
, 2008-09,Whole Year ,17,9,0.529411764705882
, 2009-10,Whole Year ,16,8,0.5
, 2010-11,Whole Year ,16,6,0.375
, 2011-12,Whole Year ,18,7,0.388888888888889
, 2012-13,Whole Year ,41,16,0.390243902439024
, 2013-14,Whole Year ,9,3,0.333333333333333
, 2014-15,Whole Year ,22,7,0.318181818181818
, 2015-16,Whole Year ,105,45,0.428571428571429
, 2017-18,Whole Year ,4,1,0.25
, 2018-19,Whole Year ,153,137,0.895424836601307
Total - Coriander,,,803,300,0.37359900373599
Cotton(lint),,,,Bales*,Bales/Hectare
 1.BANGALORE URBAN, 2018-19,Kharif     ,14,27,1.92857142857143
Total - Cotton(lint),,,14,27,1.92857142857143
Cowpea(Lobia),,,,,
 1.BANGALORE URBAN, 2010-11,Kharif     ,456,236,0.517543859649123
,,Rabi       ,40,11,0.275
,,Total,496,247,0.497983870967742
, 2011-12,Kharif     ,595,314,0.527731092436975
,,Rabi       ,73,26,0.356164383561644
,,Total,668,340,0.508982035928144
, 2012-13,Kharif     ,275,75,0.272727272727273
,,Rabi       ,15,5,0.333333333333333
,,Summer     ,32,12,0.375
,,Total,322,92,0.285714285714286
, 2013-14,Kharif     ,269,100,0.371747211895911
,,Rabi       ,27,11,0.407407407407407
,,Summer     ,22,9,0.409090909090909
,,Total,318,120,0.377358490566038
, 2014-15,Kharif     ,173,76,0.439306358381503
,,Rabi       ,30,11,0.366666666666667
,,Summer     ,1,,0
,,Total,204,87,0.426470588235294
, 2015-16,Kharif     ,315,130,0.412698412698413
,,Rabi       ,4,2,0.5
,,Summer     ,6,2,0.333333333333333
,,Total,325,134,0.412307692307692
, 2016-17,Kharif     ,236,181,0.766949152542373
,,Rabi       ,6,,0
,,Summer     ,3,1,0.333333333333333
,,Total,245,182,0.742857142857143
, 2017-18,Kharif     ,217,49,0.225806451612903
,,Rabi       ,11,4,0.363636363636364
,,Summer     ,5,1,0.2
,,Total,233,54,0.23175965665236
, 2018-19,Kharif     ,64,24,0.375
,,Rabi       ,1,,0
,,Summer     ,7,1,0.142857142857143
,,Total,72,25,0.347222222222222
Total - Cowpea(Lobia),,,2883,1281,0.444328824141519
Dry chillies,,,,,
 1.BANGALORE URBAN, 1997-98,Kharif     ,1284,1732,1.34890965732087
,,Rabi       ,186,304,1.63440860215054
,,Total,1470,2036,1.38503401360544
, 1998-99,Whole Year ,162,159,0.981481481481482
, 1999-00,Whole Year ,503,528,1.04970178926441
, 2000-01,Whole Year ,270,293,1.08518518518519
, 2001-02,Whole Year ,260,766,2.94615384615385
, 2002-03,Whole Year ,312,579,1.85576923076923
, 2003-04,Whole Year ,597,493,0.825795644891122
, 2004-05,Whole Year ,146,185,1.26712328767123
, 2005-06,Kharif     ,139,101,0.726618705035971
,,Rabi       ,21,34,1.61904761904762
,,Summer     ,48,127,2.64583333333333
,,Total,208,262,1.25961538461538
, 2006-07,Whole Year ,179,325,1.81564245810056
, 2007-08,Kharif     ,120,108,0.9
,,Rabi       ,19,33,1.73684210526316
,,Summer     ,26,88,3.38461538461538
,,Total,165,229,1.38787878787879
, 2008-09,Kharif     ,105,97,0.923809523809524
,,Rabi       ,23,39,1.69565217391304
,,Summer     ,23,75,3.26086956521739
,,Total,151,211,1.39735099337748
, 2009-10,Rabi       ,18,54,3
,,Summer     ,25,115,4.6
,,Total,43,169,3.93023255813953
, 2010-11,Kharif     ,74,61,0.824324324324324
,,Rabi       ,28,76,2.71428571428571
,,Summer     ,30,91,3.03333333333333
,,Total,132,228,1.72727272727273
, 2011-12,Kharif     ,118,95,0.805084745762712
,,Rabi       ,25,59,2.36
,,Summer     ,31,109,3.51612903225806
,,Total,174,263,1.51149425287356
, 2012-13,Kharif     ,58,53,0.913793103448276
,,Rabi       ,6,16,2.66666666666667
,,Summer     ,5,14,2.8
,,Total,69,83,1.20289855072464
, 2013-14,Kharif     ,84,93,1.10714285714286
,,Rabi       ,10,19,1.9
,,Summer     ,18,48,2.66666666666667
,,Total,112,160,1.42857142857143
, 2014-15,Kharif     ,46,52,1.1304347826087
,,Rabi       ,14,26,1.85714285714286
,,Summer     ,21,40,1.9047619047619
,,Total,81,118,1.45679012345679
, 2015-16,Kharif     ,61,53,0.868852459016393
,,Rabi       ,14,28,2
,,Summer     ,19,39,2.05263157894737
,,Total,94,120,1.27659574468085
, 2016-17,Kharif     ,120,242,2.01666666666667
,,Rabi       ,23,49,2.1304347826087
,,Summer     ,9,21,2.33333333333333
,,Total,152,312,2.05263157894737
, 2017-18,Kharif     ,61,115,1.88524590163934
,,Rabi       ,20,40,2
,,Summer     ,35,73,2.08571428571429
,,Total,116,228,1.96551724137931
Total - Dry chillies,,,5396,7747,1.43569310600445
Garlic,,,,,
 1.BANGALORE URBAN, 1997-98,Whole Year ,21,24,1.14285714285714
, 2002-03,Whole Year ,8,6,0.75
, 2003-04,Whole Year ,12,9,0.75
, 2004-05,Whole Year ,13,10,0.769230769230769
, 2005-06,Whole Year ,16,12,0.75
, 2006-07,Whole Year ,14,11,0.785714285714286
, 2007-08,Whole Year ,13,13,1
, 2008-09,Whole Year ,19,42,2.21052631578947
, 2009-10,Whole Year ,19,27,1.42105263157895
, 2010-11,Whole Year ,18,23,1.27777777777778
, 2011-12,Whole Year ,20,25,1.25
, 2012-13,Whole Year ,2,3,1.5
, 2013-14,Whole Year ,2,2,1
, 2018-19,Whole Year ,3,20,6.66666666666667
Total - Garlic,,,180,227,1.26111111111111
Ginger,,,,,
 1.BANGALORE URBAN, 1997-98,Kharif     ,36,42,1.16666666666667
, 1998-99,Kharif     ,8,93,11.625
, 1999-00,Kharif     ,10,117,11.7
, 2000-01,Kharif     ,4,47,11.75
, 2012-13,Whole Year ,5,159,31.8
, 2013-14,Whole Year ,4,111,27.75
, 2014-15,Whole Year ,11,320,29.0909090909091
, 2015-16,Whole Year ,14,523,37.3571428571429
, 2016-17,Whole Year ,4,101,25.25
, 2017-18,Whole Year ,6,155,25.8333333333333
, 2018-19,Whole Year ,11,169.3,15.3909090909091
Total - Ginger,,,113,1837.3,16.2592920353982
Gram,,,,,
 1.BANGALORE URBAN, 1999-00,Rabi       ,116,60,0.517241379310345
, 2002-03,Rabi       ,6,4,0.666666666666667
, 2003-04,Rabi       ,13,6,0.461538461538462
, 2004-05,Rabi       ,25,13,0.52
, 2006-07,Kharif     ,23,3,0.130434782608696
, 2009-10,Kharif     ,611,322,0.527004909983633
,,Rabi       ,302,146,0.483443708609272
,,Total,913,468,0.512595837897043
, 2010-11,Rabi       ,5,4,0.8
, 2011-12,Rabi       ,2,1,0.5
, 2013-14,Rabi       ,2,2,1
, 2014-15,Rabi       ,33,24,0.727272727272727
, 2015-16,Rabi       ,9,3,0.333333333333333
, 2018-19,Rabi       ,12,6,0.5
Total - Gram,,,1159,594,0.51251078515962
Groundnut,,,,,
