Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Karnataka,,,,,
Arecanut,,,,,
 1.BELGAUM, 2003-04,Whole Year ,2,3,1.5
, 2004-05,Whole Year ,8,11,1.375
, 2005-06,Whole Year ,9,58,6.44444444444444
, 2006-07,Whole Year ,9,12,1.33333333333333
, 2007-08,Whole Year ,7,45,6.42857142857143
, 2008-09,Whole Year ,7,45,6.42857142857143
, 2009-10,Whole Year ,7,45,6.42857142857143
, 2010-11,Whole Year ,1,11,11
, 2011-12,Whole Year ,4,32,8
, 2013-14,Whole Year ,2,22,11
, 2014-15,Whole Year ,7,65,9.28571428571429
, 2015-16,Whole Year ,4,39,9.75
, 2016-17,Whole Year ,3,30,10
, 2018-19,Whole Year ,12,107,8.91666666666667
Total - Arecanut,,,82,525,6.40243902439024
Arhar/Tur,,,,,
 1.BELGAUM, 1997-98,Kharif     ,11268,1820,0.161519346822861
, 1998-99,Kharif     ,8602,3645,0.423738665426645
, 1999-00,Kharif     ,8564,4491,0.524404483886035
, 2000-01,Kharif     ,10227,3818,0.373325510902513
, 2001-02,Kharif     ,3813,779,0.204301075268817
, 2002-03,Kharif     ,5200,1245,0.239423076923077
, 2003-04,Kharif     ,2346,283,0.120630861040068
, 2004-05,Kharif     ,5517,1730,0.313576218959579
, 2005-06,Kharif     ,6100,1727,0.283114754098361
, 2006-07,Kharif     ,5658,1666,0.294450335807706
, 2007-08,Kharif     ,5702,2346,0.411434584356366
, 2008-09,Kharif     ,4237,1715,0.404767524191645
, 2009-10,Kharif     ,4671,1424,0.304859773067866
, 2010-11,Kharif     ,5623,1955,0.347679174817713
, 2011-12,Kharif     ,4160,1636,0.393269230769231
, 2012-13,Kharif     ,2314,1167,0.504321521175454
, 2013-14,Kharif     ,3834,1650,0.430359937402191
, 2014-15,Kharif     ,2869,2322,0.809341233879401
, 2015-16,Kharif     ,5075,1143,0.225221674876847
, 2016-17,Kharif     ,9895,7295,0.737241030823648
, 2017-18,Kharif     ,6278,4276,0.681108633322714
, 2018-19,Kharif     ,14881,7719,0.518715140111552
Total - Arhar/Tur,,,136834,55852,0.408173407194118
Bajra,,,,,
 1.BELGAUM, 1997-98,Kharif     ,34917,5666,0.162270527250336
, 1998-99,Kharif     ,30894,8901,0.288114196931443
, 1999-00,Kharif     ,40295,14078,0.349373371386028
, 2000-01,Kharif     ,42290,18187,0.430054386379759
, 2001-02,Kharif     ,11314,3171,0.280272229096694
, 2002-03,Kharif     ,20990,2820,0.134349690328728
, 2003-04,Kharif     ,5925,1062,0.179240506329114
, 2004-05,Kharif     ,40727,20505,0.503474353622904
, 2005-06,Kharif     ,27553,10729,0.389394984212245
, 2006-07,Kharif     ,30036,9567,0.318517778665601
, 2007-08,Kharif     ,36172,17343,0.479459250248811
, 2008-09,Kharif     ,14131,5753,0.407119099851391
, 2009-10,Kharif     ,24305,6290,0.258794486731125
, 2010-11,Kharif     ,19149,11639,0.60781241840305
, 2011-12,Kharif     ,12459,6619,0.531262541134923
, 2012-13,Kharif     ,7579,2657,0.350573954347539
, 2013-14,Kharif     ,12444,8204,0.659273545483767
, 2014-15,Kharif     ,9256,6146,0.66400172860847
, 2015-16,Kharif     ,4433,1579,0.356192194901872
,,Summer     ,102,113,1.1078431372549
,,Total,4535,1692,0.373098125689085
, 2016-17,Kharif     ,10150,6133,0.60423645320197
,,Summer     ,51,57,1.11764705882353
,,Total,10201,6190,0.606803254582884
, 2017-18,Kharif     ,7782,9419,1.21035723464405
, 2018-19,Kharif     ,9033,9920,1.0981955053692
Total - Bajra,,,451987,186558,0.41275080920469
Banana,,,,,
 1.BELGAUM, 1999-00,Whole Year ,1455,30167,20.7333333333333
, 2000-01,Whole Year ,1466,30141,20.5600272851296
, 2002-03,Whole Year ,1198,17373,14.5016694490818
, 2003-04,Whole Year ,662,14299,21.5996978851964
, 2004-05,Whole Year ,828,19154,23.1328502415459
, 2005-06,Whole Year ,1382,49684,35.9507959479016
, 2006-07,Whole Year ,1050,47233,44.9838095238095
, 2007-08,Whole Year ,1863,89815,48.2098765432099
, 2008-09,Whole Year ,1950,76538,39.2502564102564
, 2009-10,Whole Year ,2285,97158,42.5199124726477
, 2010-11,Whole Year ,2404,105423,43.8531613976705
, 2011-12,Whole Year ,2156,103046,47.7949907235622
Total - Banana,,,18699,680031,36.3672388897802
Black pepper,,,,,
 1.BELGAUM, 2012-13,Whole Year ,5,14,2.8
, 2013-14,Whole Year ,5,12,2.4
, 2015-16,Whole Year ,3,2.3,0.766666666666667
, 2016-17,Whole Year ,6,3.6,0.6
Total - Black pepper,,,19,31.9,1.67894736842105
Cashewnut,,,,,
 1.BELGAUM, 2008-09,Whole Year ,634,389.77686,0.61479
, 2009-10,Whole Year ,773,586,0.758085381630013
, 2010-11,Whole Year ,896,657,0.733258928571429
, 2011-12,Whole Year ,796,638,0.801507537688442
, 2012-13,Whole Year ,1392,1120,0.804597701149425
, 2013-14,Whole Year ,1544,1377,0.891839378238342
, 2014-15,Whole Year ,1638,3016,1.84126984126984
, 2015-16,Whole Year ,1674,3397,2.02927120669056
, 2016-17,Whole Year ,1674,5053,3.01851851851852
, 2017-18,Whole Year ,1735,5139,2.96195965417867
, 2018-19,Whole Year ,5175,7572,1.4631884057971
Total - Cashewnut,,,17931,28944.77686,1.6142310445597
Castor seed,,,,,
 1.BELGAUM, 1998-99,Kharif     ,323,276,0.854489164086687
, 1999-00,Kharif     ,373,288,0.772117962466488
, 2000-01,Kharif     ,1066,1365,1.28048780487805
, 2001-02,Kharif     ,347,257,0.740634005763689
, 2002-03,Kharif     ,295,139,0.471186440677966
, 2003-04,Kharif     ,121,109,0.900826446280992
, 2004-05,Kharif     ,205,178,0.868292682926829
, 2005-06,Kharif     ,127,132,1.03937007874016
, 2006-07,Kharif     ,270,216,0.8
, 2007-08,Kharif     ,197,132,0.67005076142132
, 2008-09,Kharif     ,131,124,0.946564885496183
, 2009-10,Kharif     ,129,83,0.643410852713178
, 2010-11,Kharif     ,374,313,0.836898395721925
, 2011-12,Kharif     ,140,117,0.835714285714286
, 2012-13,Kharif     ,100,62,0.62
, 2013-14,Kharif     ,531,475,0.894538606403013
, 2014-15,Kharif     ,81,49,0.604938271604938
, 2015-16,Kharif     ,23,12,0.521739130434783
, 2016-17,Kharif     ,23,11,0.478260869565217
, 2017-18,Kharif     ,4,3,0.75
, 2018-19,Kharif     ,1,1,1
Total - Castor seed,,,4861,4342,0.893231845299321
Coconut ,,,,Nuts*,Nuts/Hectare
 1.BELGAUM, 1998-99,Whole Year ,207,890000,4299.51690821256
, 1999-00,Whole Year ,252,1087000,4313.49206349206
, 2000-01,Whole Year ,183,789000,4311.47540983607
, 2001-02,Whole Year ,200,861000,4305
, 2002-03,Whole Year ,216,930000,4305.55555555556
, 2003-04,Whole Year ,584,2516000,4308.21917808219
, 2004-05,Whole Year ,599,2580000,4307.17863105175
, 2005-06,Whole Year ,611,2632000,4307.69230769231
, 2006-07,Whole Year ,632,2722000,4306.96202531646
, 2007-08,Whole Year ,318,1619000,5091.19496855346
, 2008-09,Whole Year ,323,2213000,6851.39318885449
, 2009-10,Whole Year ,344,2446000,7110.46511627907
, 2010-11,Whole Year ,336,3212000,9559.52380952381
, 2011-12,Whole Year ,307,3052000,9941.3680781759
, 2012-13,Whole Year ,132,1300000,9848.48484848485
, 2013-14,Whole Year ,106,841000,7933.96226415094
, 2014-15,Whole Year ,131,1169000,8923.66412213741
, 2015-16,Whole Year ,88,736000,8363.63636363636
, 2016-17,Whole Year ,86,672000,7813.95348837209
, 2017-18,Whole Year ,654,5171000,7906.72782874618
, 2018-19,Whole Year ,371,2628000,7083.55795148248
Total - Coconut ,,,6680,40066000,5997.90419161677
Coriander,,,,,
 1.BELGAUM, 1997-98,Whole Year ,215,26,0.12093023255814
, 1998-99,Whole Year ,465,55,0.118279569892473
, 1999-00,Whole Year ,488,58,0.118852459016393
, 2000-01,Whole Year ,389,46,0.118251928020566
, 2001-02,Whole Year ,184,22,0.119565217391304
, 2002-03,Whole Year ,274,33,0.12043795620438
, 2003-04,Whole Year ,278,33,0.118705035971223
, 2004-05,Whole Year ,354,42,0.11864406779661
, 2005-06,Whole Year ,522,62,0.118773946360153
, 2006-07,Whole Year ,365,43,0.117808219178082
, 2007-08,Whole Year ,461,161,0.349240780911063
, 2008-09,Whole Year ,612,330,0.53921568627451
, 2009-10,Whole Year ,612,300,0.490196078431373
, 2012-13,Whole Year ,11,4,0.363636363636364
, 2013-14,Whole Year ,348,108,0.310344827586207
, 2014-15,Whole Year ,215,87,0.404651162790698
, 2015-16,Whole Year ,197,126,0.639593908629442
, 2016-17,Whole Year ,234,140,0.598290598290598
, 2018-19,Whole Year ,242,216,0.892561983471074
Total - Coriander,,,6466,1892,0.292607485307764
Cotton(lint),,,,Bales*,Bales/Hectare
 1.BELGAUM, 1998-99,Kharif     ,65829,98969,1.50342554193441
, 1999-00,Kharif     ,49070,86693,1.7667210108009
, 2000-01,Kharif     ,49186,94627,1.92386044809499
, 2001-02,Kharif     ,40767,50651,1.24245100203596
, 2002-03,Kharif     ,29028,31313,1.07871710073033
, 2003-04,Kharif     ,18749,13700,0.730705637634007
, 2004-05,Kharif     ,37659,62440,1.65803659151863
, 2005-06,Whole Year ,28359,41840,1.47536937127543
, 2006-07,Whole Year ,28247,50807,1.79866888519135
, 2007-08,Whole Year ,21050,51444,2.44389548693587
, 2008-09,Whole Year ,20041,38609,1.92650067361908
, 2009-10,Whole Year ,30046,63454,2.11189509418891
, 2010-11,Kharif     ,37660,83178,2.20865639936272
,,Rabi       ,671,1277,1.90312965722802
,,Total,38331,84455,2.20330802744515
, 2011-12,Kharif     ,37618,84884,2.25647296506991
,,Rabi       ,394,744,1.88832487309645
,,Total,38012,85628,2.25265705566663
, 2012-13,Kharif     ,22513,41389,1.83844889619331
,,Summer     ,162,449,2.7716049382716
,,Total,22675,41838,1.8451157662624
, 2013-14,Kharif     ,29844,83384,2.79399544297011
,,Rabi       ,1256,2316,1.84394904458599
,,Summer     ,265,955,3.60377358490566
,,Total,31365,86655,2.76279292204687
, 2014-15,Kharif     ,39811,108785,2.73253623370425
,,Rabi       ,470,749,1.5936170212766
,,Summer     ,29,55,1.89655172413793
,,Total,40310,109589,2.71865542049119
, 2015-16,Kharif     ,39429,58828,1.49199827538106
,,Rabi       ,110,132,1.2
,,Summer     ,39,83,2.12820512820513
,,Total,39578,59043,1.49181363383698
, 2016-17,Kharif     ,54634,145320,2.65988212468426
,,Rabi       ,90,29,0.322222222222222
,,Total,54724,145349,2.65603757035304
, 2017-18,Kharif     ,30997,101675,3.28015614414298
, 2018-19,Kharif     ,63580,167339,2.63194400754954
Total - Cotton(lint),,,777603,1566118,2.01403286767155
Cowpea(Lobia),,,,,
 1.BELGAUM, 2010-11,Kharif     ,1574,673,0.427573062261753
,,Rabi       ,572,151,0.263986013986014
,,Total,2146,824,0.383970177073625
, 2011-12,Kharif     ,1332,583,0.437687687687688
,,Rabi       ,485,171,0.352577319587629
,,Total,1817,754,0.414969730324711
, 2012-13,Kharif     ,628,98,0.156050955414013
,,Rabi       ,193,64,0.33160621761658
,,Summer     ,306,110,0.359477124183006
,,Total,1127,272,0.241348713398403
, 2013-14,Kharif     ,1715,365,0.212827988338192
,,Rabi       ,147,62,0.421768707482993
,,Summer     ,126,50,0.396825396825397
,,Total,1988,477,0.239939637826962
, 2014-15,Kharif     ,871,830,0.95292766934558
,,Rabi       ,166,61,0.367469879518072
,,Summer     ,210,77,0.366666666666667
,,Total,1247,968,0.77626303127506
, 2015-16,Kharif     ,509,82,0.161100196463654
,,Rabi       ,157,70,0.445859872611465
,,Summer     ,151,45,0.298013245033113
,,Total,817,197,0.241126070991432
, 2016-17,Kharif     ,499,382,0.765531062124248
,,Rabi       ,149,4,0.0268456375838926
,,Summer     ,118,22,0.186440677966102
,,Total,766,408,0.532637075718016
, 2017-18,Kharif     ,1260,286,0.226984126984127
,,Rabi       ,279,113,0.405017921146953
,,Summer     ,128,38,0.296875
,,Total,1667,437,0.262147570485903
, 2018-19,Kharif     ,98,37,0.377551020408163
,,Rabi       ,125,35,0.28
,,Summer     ,102,13,0.127450980392157
,,Total,325,85,0.261538461538462
Total - Cowpea(Lobia),,,11900,4422,0.371596638655462
Dry chillies,,,,,
 1.BELGAUM, 1997-98,Kharif     ,8266,12837,1.55298814420518
,,Rabi       ,579,324,0.559585492227979
,,Total,8845,13161,1.48795929903901
, 1998-99,Whole Year ,10884,6945,0.638092613009923
, 1999-00,Whole Year ,10210,16631,1.62889324191969
, 2000-01,Whole Year ,8341,10222,1.2255125284738
, 2001-02,Whole Year ,6918,6618,0.956634865568083
, 2002-03,Whole Year ,8543,6498,0.760622732061337
, 2003-04,Whole Year ,2487,1632,0.6562123039807
, 2004-05,Whole Year ,4945,3690,0.746208291203236
, 2005-06,Kharif     ,3596,1320,0.367074527252503
,,Rabi       ,342,399,1.16666666666667
,,Summer     ,808,1119,1.38490099009901
,,Total,4746,2838,0.597977243994943
, 2006-07,Whole Year ,4552,3845,0.844683655536028
, 2007-08,Kharif     ,4045,3493,0.86353522867738
,,Rabi       ,737,382,0.51831750339213
,,Summer     ,662,2208,3.33534743202417
,,Total,5444,6083,1.11737692872888
, 2008-09,Kharif     ,3093,1740,0.562560620756547
,,Rabi       ,1213,894,0.737015663643858
,,Summer     ,631,417,0.660855784469097
,,Total,4937,3051,0.617986631557626
, 2009-10,Rabi       ,819,2639,3.22222222222222
,,Summer     ,832,1527,1.83533653846154
,,Total,1651,4166,2.52331920048455
, 2010-11,Kharif     ,3188,5288,1.65872020075282
,,Rabi       ,630,1386,2.2
,,Summer     ,976,1111,1.13831967213115
,,Total,4794,7785,1.62390488110138
, 2011-12,Kharif     ,2479,4955,1.99878983461073
,,Rabi       ,865,1358,1.56994219653179
,,Summer     ,808,1685,2.08539603960396
,,Total,4152,7998,1.92630057803468
, 2012-13,Kharif     ,2339,5771,2.46729371526293
,,Rabi       ,47,86,1.82978723404255
,,Summer     ,820,2129,2.59634146341463
,,Total,3206,7986,2.49095446038677
, 2013-14,Kharif     ,2747,7359,2.6789224608664
,,Rabi       ,764,1448,1.89528795811518
,,Summer     ,738,2195,2.97425474254743
,,Total,4249,11002,2.58931513297246
