Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Karnataka,,,,,
Arhar/Tur,,,,,
 1.BIDAR, 1997-98,Kharif     ,48463,3499,0.0721994098590677
, 1998-99,Kharif     ,54354,41464,0.762850940133201
, 1999-00,Kharif     ,56604,44847,0.792293830824677
, 2000-01,Kharif     ,62518,23757,0.380002559262932
, 2001-02,Kharif     ,64077,24349,0.379995942381822
, 2002-03,Kharif     ,67313,40990,0.608946265951599
, 2003-04,Kharif     ,73792,31967,0.433204141370338
, 2004-05,Kharif     ,70100,44286,0.631754636233951
, 2005-06,Kharif     ,69344,56522,0.815095754499308
, 2006-07,Kharif     ,69189,34902,0.504444348090014
, 2007-08,Kharif     ,66110,48422,0.732445923460899
, 2008-09,Kharif     ,62667,50782,0.810346753474716
, 2009-10,Kharif     ,67000,49647,0.741
, 2010-11,Kharif     ,72728,65568,0.901550984490155
, 2011-12,Kharif     ,76010,44842,0.589948690961716
, 2012-13,Kharif     ,68625,82666,1.20460473588342
, 2013-14,Kharif     ,73270,59305,0.809403575815477
, 2014-15,Kharif     ,65965,44243,0.670704161297658
, 2015-16,Kharif     ,67453,29797,0.441744622181371
, 2016-17,Kharif     ,81611,101487,1.24354560047052
, 2017-18,Kharif     ,78680,129909,1.65110574478902
, 2018-19,Kharif     ,77019,34828,0.452200106467235
Total - Arhar/Tur,,,1492892,1088079,0.728839728526913
Bajra,,,,,
 1.BIDAR, 1997-98,Kharif     ,14756,9500,0.643805909460558
, 1998-99,Kharif     ,13994,6398,0.457195941117622
, 1999-00,Kharif     ,8690,6722,0.773532796317606
, 2000-01,Kharif     ,9808,7442,0.758768352365416
, 2001-02,Kharif     ,8672,5038,0.580950184501845
, 2002-03,Kharif     ,8364,6234,0.745337159253945
, 2003-04,Kharif     ,10039,9804,0.976591293953581
, 2004-05,Kharif     ,8912,7744,0.868940754039497
, 2005-06,Kharif     ,9577,6050,0.63172183355957
, 2006-07,Kharif     ,9430,7831,0.830434782608696
, 2007-08,Kharif     ,8077,8456,1.04692336263464
, 2008-09,Kharif     ,7219,7065,0.97866740545782
, 2009-10,Kharif     ,7943,4377,0.55105124008561
, 2010-11,Kharif     ,6717,5117,0.761798421914545
, 2011-12,Kharif     ,6414,5837,0.910040536326785
, 2012-13,Kharif     ,5110,5772,1.12954990215264
, 2013-14,Kharif     ,2939,3356,1.14188499489622
, 2014-15,Kharif     ,3724,3743,1.00510204081633
, 2015-16,Kharif     ,5348,3765,0.704001495886313
, 2016-17,Kharif     ,1878,1252,0.666666666666667
, 2017-18,Kharif     ,2290,3322,1.45065502183406
, 2018-19,Kharif     ,409,312,0.762836185819071
Total - Bajra,,,160310,125137,0.780593849416755
Banana,,,,,
 1.BIDAR, 1999-00,Whole Year ,411,9644,23.4647201946472
, 2000-01,Whole Year ,469,8622,18.3837953091684
, 2002-03,Whole Year ,249,2846,11.429718875502
, 2003-04,Whole Year ,189,3500,18.5185185185185
, 2004-05,Whole Year ,63,2573,40.8412698412698
, 2005-06,Whole Year ,207,2458,11.8743961352657
, 2006-07,Whole Year ,195,3893,19.9641025641026
, 2007-08,Whole Year ,114,2016,17.6842105263158
, 2008-09,Whole Year ,147,5647,38.4149659863946
, 2009-10,Whole Year ,174,3859,22.1781609195402
, 2010-11,Whole Year ,219,5144,23.4885844748858
, 2011-12,Whole Year ,92,2299,24.9891304347826
Total - Banana,,,2529,52501,20.7595887702649
Black pepper,,,,,
 1.BIDAR, 1999-00,Whole Year ,4,10,2.5
, 2008-09,Whole Year ,1,4,4
, 2015-16,Whole Year ,2,1.5,0.75
Total - Black pepper,,,7,15.5,2.21428571428571
Cashewnut,,,,,
 1.BIDAR, 2008-09,Whole Year ,39,23.97681,0.61479
, 2009-10,Whole Year ,36,27,0.75
, 2010-11,Whole Year ,66,48,0.727272727272727
, 2011-12,Whole Year ,79,63,0.79746835443038
, 2012-13,Whole Year ,61,49,0.80327868852459
, 2013-14,Whole Year ,62,55,0.887096774193548
, 2014-15,Whole Year ,97,72,0.742268041237113
, 2015-16,Whole Year ,21,14,0.666666666666667
, 2016-17,Whole Year ,16,9,0.5625
, 2018-19,Whole Year ,142,171,1.20422535211268
Total - Cashewnut,,,619,531.97681,0.859413263327948
Castor seed,,,,,
 1.BIDAR, 2013-14,Kharif     ,8,7,0.875
, 2014-15,Kharif     ,11,7,0.636363636363636
, 2016-17,Kharif     ,27,13,0.481481481481481
, 2017-18,Kharif     ,13,8,0.615384615384615
, 2018-19,Kharif     ,1,1,1
Total - Castor seed,,,60,36,0.6
Coconut ,,,,Nuts*,Nuts/Hectare
