Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Karnataka,,,,,
Arecanut,,,,,
 1.CHAMARAJANAGAR, 1998-99,Whole Year ,174,610,3.50574712643678
, 2000-01,Whole Year ,329,234,0.711246200607903
, 2001-02,Whole Year ,279,198,0.709677419354839
, 2003-04,Whole Year ,309,219,0.70873786407767
, 2004-05,Whole Year ,309,219,0.70873786407767
, 2005-06,Whole Year ,311,1091,3.508038585209
, 2006-07,Whole Year ,311,221,0.710610932475884
, 2007-08,Whole Year ,317,1112,3.50788643533123
, 2008-09,Whole Year ,317,1112,3.50788643533123
, 2009-10,Whole Year ,331,1161,3.50755287009063
, 2010-11,Whole Year ,332,3590,10.8132530120482
, 2011-12,Whole Year ,332,2689,8.09939759036145
, 2012-13,Whole Year ,332,2665,8.02710843373494
, 2013-14,Whole Year ,297,3308,11.1380471380471
, 2014-15,Whole Year ,300,2776,9.25333333333333
, 2015-16,Whole Year ,301,2950,9.80066445182724
, 2016-17,Whole Year ,347,3525,10.1585014409222
, 2017-18,Whole Year ,351,3807,10.8461538461538
, 2018-19,Whole Year ,703,6277,8.92887624466572
Total - Arecanut,,,6282,37764,6.01146131805158
Arhar/Tur,,,,,
 1.CHAMARAJANAGAR, 1998-99,Kharif     ,2487,572,0.229995979091275
, 1999-00,Kharif     ,2053,511,0.248904042864101
, 2000-01,Kharif     ,2472,592,0.239482200647249
, 2001-02,Kharif     ,2323,466,0.200602668962548
, 2002-03,Kharif     ,2068,246,0.118955512572534
, 2003-04,Kharif     ,1459,79,0.0541466758053461
, 2004-05,Kharif     ,1898,1067,0.562170706006322
, 2005-06,Kharif     ,1850,1019,0.550810810810811
, 2006-07,Kharif     ,1828,865,0.473194748358862
, 2007-08,Kharif     ,1913,1103,0.576581285938317
, 2008-09,Kharif     ,2349,1196,0.509152830991911
, 2009-10,Kharif     ,1949,1494,0.766546947152386
, 2010-11,Kharif     ,1292,676,0.523219814241486
, 2011-12,Kharif     ,1371,598,0.436177972283005
, 2012-13,Kharif     ,917,883,0.962922573609596
, 2013-14,Kharif     ,1124,366,0.325622775800712
, 2014-15,Kharif     ,1054,473,0.44876660341556
, 2015-16,Kharif     ,542,141,0.260147601476015
, 2016-17,Kharif     ,821,68,0.0828258221680877
, 2017-18,Kharif     ,786,755,0.960559796437659
, 2018-19,Kharif     ,962,442,0.45945945945946
Total - Arhar/Tur,,,33518,13612,0.406110149770273
Bajra,,,,,
 1.CHAMARAJANAGAR, 1998-99,Kharif     ,790,548,0.693670886075949
, 1999-00,Kharif     ,663,400,0.603318250377074
, 2000-01,Kharif     ,677,510,0.753323485967504
, 2001-02,Kharif     ,323,160,0.495356037151703
, 2002-03,Kharif     ,572,377,0.659090909090909
, 2003-04,Kharif     ,241,160,0.663900414937759
, 2004-05,Kharif     ,619,499,0.806138933764136
, 2005-06,Kharif     ,915,903,0.986885245901639
, 2006-07,Kharif     ,387,244,0.630490956072351
, 2007-08,Kharif     ,782,967,1.23657289002558
, 2008-09,Kharif     ,479,341,0.711899791231733
, 2009-10,Kharif     ,543,302,0.556169429097606
, 2010-11,Kharif     ,305,299,0.980327868852459
, 2011-12,Kharif     ,258,214,0.829457364341085
, 2012-13,Kharif     ,640,1260,1.96875
, 2013-14,Kharif     ,915,1409,1.53989071038251
, 2014-15,Kharif     ,370,458,1.23783783783784
, 2015-16,Kharif     ,519,659,1.26974951830443
, 2016-17,Kharif     ,53,36,0.679245283018868
, 2017-18,Kharif     ,1704,2985,1.75176056338028
, 2018-19,Kharif     ,503,1026,2.03976143141153
Total - Bajra,,,12258,13757,1.12228748572361
Banana,,,,,
 1.CHAMARAJANAGAR, 1999-00,Whole Year ,129,3513,27.2325581395349
, 2000-01,Whole Year ,1132,24597,21.7287985865724
, 2002-03,Whole Year ,1878,38490,20.4952076677316
, 2003-04,Whole Year ,3110,37818,12.1601286173633
, 2004-05,Whole Year ,1801,26037,14.4569683509162
, 2005-06,Whole Year ,3044,45599,14.9799605781866
, 2006-07,Whole Year ,2395,27514,11.4881002087683
, 2007-08,Whole Year ,7087,125334,17.6850571468887
, 2008-09,Whole Year ,8367,197277,23.577984940839
, 2009-10,Whole Year ,7976,267108,33.4889669007021
, 2010-11,Whole Year ,8305,298831,35.9820590006021
, 2011-12,Whole Year ,10261,373090,36.3600038982555
Total - Banana,,,55485,1465208,26.4072812471839
Black pepper,,,,,
 1.CHAMARAJANAGAR, 2007-08,Whole Year ,2,6,3
, 2008-09,Whole Year ,8,34,4.25
, 2009-10,Whole Year ,24,89,3.70833333333333
, 2010-11,Whole Year ,23,13.9,0.604347826086957
, 2011-12,Whole Year ,28,7.9,0.282142857142857
, 2012-13,Whole Year ,28,79,2.82142857142857
, 2013-14,Whole Year ,50,124,2.48
, 2014-15,Whole Year ,37,21.7,0.586486486486487
, 2015-16,Whole Year ,141,107.9,0.765248226950355
, 2016-17,Whole Year ,141,85.4,0.605673758865248
, 2017-18,Whole Year ,142,93.2,0.656338028169014
, 2018-19,Whole Year ,37,23.5,0.635135135135135
Total - Black pepper,,,661,685.5,1.03706505295008
Cardamom,,,,,
 1.CHAMARAJANAGAR, 1998-99,Whole Year ,16,1,0.0625
, 1999-00,Whole Year ,16,1,0.0625
, 2000-01,Whole Year ,14,1,0.0714285714285714
, 2002-03,Whole Year ,13,1,0.0769230769230769
, 2003-04,Whole Year ,14,1,0.0714285714285714
, 2004-05,Whole Year ,10,1,0.1
, 2005-06,Whole Year ,9,1,0.111111111111111
, 2006-07,Whole Year ,9,1,0.111111111111111
, 2007-08,Whole Year ,1,,0
, 2008-09,Whole Year ,1,,0
, 2010-11,Whole Year ,1,,0
, 2013-14,Whole Year ,15,1,0.0666666666666667
, 2014-15,Whole Year ,15,1,0.0666666666666667
, 2015-16,Whole Year ,15,1,0.0666666666666667
, 2016-17,Whole Year ,27,3,0.111111111111111
, 2017-18,Whole Year ,27,3,0.111111111111111
, 2018-19,Whole Year ,3,0.3,0.1
Total - Cardamom,,,206,17.3,0.0839805825242718
Cashewnut,,,,,
 1.CHAMARAJANAGAR, 2008-09,Whole Year ,56,34.42824,0.61479
, 2009-10,Whole Year ,56,42,0.75
, 2010-11,Whole Year ,56,41,0.732142857142857
, 2011-12,Whole Year ,56,45,0.803571428571429
, 2012-13,Whole Year ,56,45,0.803571428571429
, 2013-14,Whole Year ,38,34,0.894736842105263
, 2014-15,Whole Year ,31,23,0.741935483870968
, 2015-16,Whole Year ,32,21,0.65625
, 2016-17,Whole Year ,28,16,0.571428571428571
, 2017-18,Whole Year ,28,21,0.75
, 2018-19,Whole Year ,1,1,1
Total - Cashewnut,,,438,323.42824,0.738420639269406
Castor seed,,,,,
 1.CHAMARAJANAGAR, 1998-99,Kharif     ,928,429,0.462284482758621
, 1999-00,Kharif     ,580,447,0.770689655172414
, 2000-01,Kharif     ,427,547,1.28103044496487
, 2001-02,Kharif     ,778,576,0.740359897172236
, 2002-03,Kharif     ,836,772,0.923444976076555
, 2003-04,Kharif     ,540,484,0.896296296296296
, 2004-05,Kharif     ,629,546,0.868044515103339
, 2005-06,Kharif     ,854,888,1.03981264637002
, 2006-07,Kharif     ,1169,934,0.798973481608212
, 2007-08,Kharif     ,946,135,0.142706131078224
, 2008-09,Kharif     ,1272,2756,2.16666666666667
, 2009-10,Kharif     ,599,461,0.769616026711185
, 2010-11,Kharif     ,407,280,0.687960687960688
, 2011-12,Kharif     ,508,160,0.31496062992126
, 2012-13,Kharif     ,298,79,0.26510067114094
, 2013-14,Kharif     ,542,132,0.243542435424354
, 2014-15,Kharif     ,629,128,0.203497615262321
, 2015-16,Kharif     ,465,124,0.266666666666667
, 2016-17,Kharif     ,360,44,0.122222222222222
, 2017-18,Kharif     ,366,226,0.617486338797814
, 2018-19,Kharif     ,89,51,0.573033707865169
Total - Castor seed,,,13222,10199,0.771365905309333
Coconut ,,,,Nuts*,Nuts/Hectare
 1.CHAMARAJANAGAR, 1998-99,Whole Year ,7019,24995000,3561.04858241915
, 1999-00,Whole Year ,7047,25095000,3561.08982545764
, 2000-01,Whole Year ,7351,26177000,3561.0121071963
, 2001-02,Whole Year ,7369,19683000,2671.05441715294
, 2002-03,Whole Year ,7599,20297000,2671.00934333465
, 2003-04,Whole Year ,7613,20334000,2670.95757257323
, 2004-05,Whole Year ,12161,32482000,2670.99745086753
, 2005-06,Whole Year ,12192,32565000,2671.01377952756
, 2006-07,Whole Year ,11257,30068000,2671.0491249889
, 2007-08,Whole Year ,11361,57665000,5075.69756183435
, 2008-09,Whole Year ,11360,67242000,5919.19014084507
, 2009-10,Whole Year ,11365,80807000,7110.16278046634
, 2010-11,Whole Year ,11377,108409000,9528.78614749055
, 2011-12,Whole Year ,11381,89180000,7835.86679553642
, 2012-13,Whole Year ,11381,89180000,7835.86679553642
, 2013-14,Whole Year ,9299,58513000,6292.39703193892
, 2014-15,Whole Year ,9122,81403000,8923.81056785793
, 2015-16,Whole Year ,9130,76350000,8362.54107338445
, 2016-17,Whole Year ,7357,57517000,7817.9964659508
, 2017-18,Whole Year ,7409,58584000,7907.13996490755
, 2018-19,Whole Year ,10554,74748000,7082.43320068221
Total - Coconut ,,,200704,1131294000,5636.62906568878
Coriander,,,,,
 1.CHAMARAJANAGAR, 1998-99,Whole Year ,166,16,0.0963855421686747
, 1999-00,Whole Year ,140,14,0.1
, 2000-01,Whole Year ,119,12,0.100840336134454
, 2001-02,Whole Year ,18,2,0.111111111111111
, 2002-03,Whole Year ,26,3,0.115384615384615
, 2003-04,Whole Year ,137,14,0.102189781021898
, 2004-05,Whole Year ,118,12,0.101694915254237
, 2005-06,Whole Year ,583,58,0.0994854202401372
, 2006-07,Whole Year ,205,20,0.0975609756097561
, 2007-08,Whole Year ,157,50,0.318471337579618
, 2008-09,Whole Year ,238,128,0.53781512605042
, 2009-10,Whole Year ,328,161,0.490853658536585
, 2010-11,Whole Year ,248,93,0.375
, 2011-12,Whole Year ,478,194,0.405857740585774
, 2012-13,Whole Year ,134,53,0.395522388059701
, 2013-14,Whole Year ,516,160,0.310077519379845
, 2014-15,Whole Year ,468,146,0.311965811965812
, 2015-16,Whole Year ,586,266,0.453924914675768
, 2016-17,Whole Year ,24,10,0.416666666666667
, 2017-18,Whole Year ,175,65,0.371428571428571
, 2018-19,Whole Year ,117,155,1.32478632478632
Total - Coriander,,,4981,1632,0.327645051194539
Cotton(lint),,,,Bales*,Bales/Hectare
 1.CHAMARAJANAGAR, 1998-99,Kharif     ,12738,32303,2.5359554090124
, 1999-00,Kharif     ,12157,16746,1.37747799621617
, 2000-01,Kharif     ,9652,7944,0.823041856610029
, 2001-02,Kharif     ,10547,7085,0.671755001422205
, 2002-03,Kharif     ,5271,928,0.176057674065642
, 2003-04,Kharif     ,5420,1143,0.210885608856089
, 2004-05,Kharif     ,14169,3485,0.245959489025337
, 2005-06,Whole Year ,6842,3169,0.463168664133294
, 2006-07,Whole Year ,1511,731,0.483785572468564
, 2007-08,Whole Year ,2248,1772,0.788256227758007
, 2008-09,Whole Year ,443,423,0.954853273137698
, 2009-10,Whole Year ,754,683,0.905835543766578
, 2010-11,Kharif     ,2593,2531,0.976089471654454
,,Rabi       ,45,98,2.17777777777778
,,Total,2638,2629,0.996588324488249
, 2011-12,Kharif     ,6522,10277,1.57574363692119
,,Rabi       ,60,113,1.88333333333333
,,Total,6582,10390,1.57854755393497
, 2012-13,Kharif     ,7319,6298,0.860500068315344
,,Summer     ,55,152,2.76363636363636
,,Total,7374,6450,0.874694873881204
, 2013-14,Kharif     ,10166,30108,2.9616368286445
, 2014-15,Kharif     ,15063,17592,1.16789484166501
, 2015-16,Kharif     ,13584,14271,1.050574204947
, 2016-17,Kharif     ,8975,2307,0.257047353760446
, 2017-18,Kharif     ,10014,22215,2.21839424805273
, 2018-19,Kharif     ,7097,8526,1.20135268423277
Total - Cotton(lint),,,163245,190900,1.16940794511317
Cowpea(Lobia),,,,,
 1.CHAMARAJANAGAR, 2010-11,Kharif     ,2486,966,0.388576025744167
,,Rabi       ,390,103,0.264102564102564
,,Total,2876,1069,0.371696801112656
, 2011-12,Kharif     ,2879,1058,0.36748871135811
,,Rabi       ,279,98,0.351254480286738
,,Total,3158,1156,0.366054464851172
, 2012-13,Kharif     ,3614,323,0.0893746541228556
,,Rabi       ,930,310,0.333333333333333
,,Total,4544,633,0.139304577464789
, 2013-14,Kharif     ,2862,1063,0.37141858839972
,,Rabi       ,154,49,0.318181818181818
,,Total,3016,1112,0.368700265251989
, 2014-15,Kharif     ,3798,870,0.229067930489731
, 2015-16,Kharif     ,2673,780,0.291806958473625
,,Rabi       ,1321,586,0.443603330809992
,,Total,3994,1366,0.342013019529294
, 2016-17,Kharif     ,2388,1828,0.765494137353434
, 2017-18,Kharif     ,2925,1195,0.408547008547009
,,Rabi       ,53,24,0.452830188679245
,,Total,2978,1219,0.409335124244459
, 2018-19,Kharif     ,1695,662,0.390560471976401
,,Rabi       ,434,122,0.28110599078341
,,Total,2129,784,0.368248003757633
Total - Cowpea(Lobia),,,28881,10037,0.347529517675981
Dry chillies,,,,,
 1.CHAMARAJANAGAR, 1998-99,Whole Year ,511,491,0.960861056751468
, 1999-00,Whole Year ,508,527,1.03740157480315
, 2000-01,Whole Year ,512,465,0.908203125
, 2001-02,Whole Year ,539,392,0.727272727272727
, 2002-03,Whole Year ,605,421,0.695867768595041
, 2003-04,Whole Year ,498,311,0.624497991967871
, 2004-05,Whole Year ,1018,666,0.654223968565815
, 2005-06,Kharif     ,754,548,0.726790450928382
,,Rabi       ,65,52,0.8
,,Summer     ,460,1214,2.63913043478261
,,Total,1279,1814,1.41829554339328
, 2006-07,Whole Year ,1399,1147,0.819871336669049
, 2007-08,Kharif     ,1190,1072,0.900840336134454
,,Rabi       ,43,75,1.74418604651163
,,Summer     ,20,58,2.9
,,Total,1253,1205,0.961691939345571
, 2008-09,Kharif     ,643,597,0.92846034214619
,,Rabi       ,81,137,1.69135802469136
,,Summer     ,22,72,3.27272727272727
,,Total,746,806,1.08042895442359
, 2009-10,Rabi       ,83,247,2.97590361445783
,,Summer     ,56,258,4.60714285714286
,,Total,139,505,3.63309352517986
, 2010-11,Kharif     ,670,552,0.823880597014925
,,Rabi       ,35,95,2.71428571428571
,,Summer     ,25,76,3.04
