Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Karnataka,,,,,
Arecanut,,,,,
 1.KODAGU, 1997-98,Whole Year ,959,1342,1.39937434827946
, 1998-99,Whole Year ,1097,7388,6.73473108477666
, 2000-01,Whole Year ,1198,1676,1.39899833055092
, 2001-02,Whole Year ,1230,1721,1.39918699186992
, 2003-04,Whole Year ,1344,1880,1.39880952380952
, 2004-05,Whole Year ,1386,1939,1.3989898989899
, 2005-06,Whole Year ,1423,9582,6.73366127898805
, 2006-07,Whole Year ,2298,3215,1.39904264577894
, 2007-08,Whole Year ,2851,19199,6.73412837600842
, 2008-09,Whole Year ,2994,20162,6.73413493653975
, 2009-10,Whole Year ,3067,20653,6.73394196283013
, 2010-11,Whole Year ,3612,39056,10.81284606866
, 2011-12,Whole Year ,3838,31081,8.09822824387702
, 2012-13,Whole Year ,3877,31117,8.02605107041527
, 2013-14,Whole Year ,3894,43373,11.138418079096
, 2014-15,Whole Year ,4613,42682,9.2525471493605
, 2015-16,Whole Year ,4584,44932,9.80191972076789
, 2016-17,Whole Year ,4588,46607,10.1584568439407
, 2017-18,Whole Year ,4513,48946,10.8455572789719
, 2018-19,Whole Year ,7714,68877,8.92883069743324
Total - Arecanut,,,61080,485428,7.94741322855272
Arhar/Tur,,,,,
 1.KODAGU, 2005-06,Kharif     ,15,10,0.666666666666667
, 2006-07,Kharif     ,15,7,0.466666666666667
Total - Arhar/Tur,,,30,17,0.566666666666667
Banana,,,,,
 1.KODAGU, 1999-00,Whole Year ,171,4012,23.4619883040936
, 2000-01,Whole Year ,195,3585,18.3846153846154
, 2002-03,Whole Year ,613,8188,13.3572593800979
, 2003-04,Whole Year ,164,510,3.10975609756098
, 2004-05,Whole Year ,547,9767,17.8555758683729
, 2005-06,Whole Year ,563,7440,13.214920071048
, 2006-07,Whole Year ,499,2376,4.76152304609219
, 2007-08,Whole Year ,1564,8940,5.71611253196931
, 2008-09,Whole Year ,1541,9973,6.47177157689812
, 2009-10,Whole Year ,1392,4325,3.10704022988506
, 2010-11,Whole Year ,1976,10145,5.13410931174089
, 2011-12,Whole Year ,1941,13760,7.08912931478619
Total - Banana,,,11166,83021,7.43516030807809
Black pepper,,,,,
 1.KODAGU, 1997-98,Kharif     ,1385,393,0.283754512635379
, 1998-99,Whole Year ,1580,4489,2.84113924050633
, 1999-00,Whole Year ,3547,10078,2.84127431632365
, 2000-01,Whole Year ,3752,10661,2.84141791044776
, 2001-02,Whole Year ,4112,11683,2.84119649805447
, 2002-03,Whole Year ,4167,11840,2.84137269018478
, 2003-04,Whole Year ,4210,11962,2.84133016627078
, 2004-05,Whole Year ,5403,15352,2.84138441606515
, 2005-06,Whole Year ,6733,19130,2.8412297638497
, 2006-07,Whole Year ,5464,15525,2.84132503660322
, 2007-08,Whole Year ,7945,24855,3.12838263058527
, 2008-09,Whole Year ,8880,39385,4.43524774774775
, 2009-10,Whole Year ,9409,35210,3.74216176001701
, 2010-11,Whole Year ,10321,6038.7,0.585088654200174
, 2011-12,Whole Year ,10643,2497.2,0.234633092173259
, 2012-13,Whole Year ,10797,25333,2.34629989811985
, 2013-14,Whole Year ,11002,25814,2.34630067260498
, 2014-15,Whole Year ,14934,6653.1,0.445500200883889
, 2015-16,Whole Year ,15096,6635.6,0.439560148383678
, 2016-17,Whole Year ,15219,6222.6,0.408870490833826
, 2017-18,Whole Year ,15875,6915.2,0.435603149606299
, 2018-19,Whole Year ,65605,27148.7,0.413820592942611
Total - Black pepper,,,236079,323821.1,1.3716641463239
Cardamom,,,,,
 1.KODAGU, 1997-98,Whole Year ,9800,611,0.0623469387755102
, 1998-99,Whole Year ,9325,582,0.0624128686327078
, 1999-00,Whole Year ,8950,558,0.0623463687150838
, 2000-01,Whole Year ,8943,558,0.0623951694062395
, 2002-03,Whole Year ,8170,510,0.0624235006119951
, 2003-04,Whole Year ,8165,509,0.0623392529087569
, 2004-05,Whole Year ,8267,516,0.0624168380307246
, 2005-06,Whole Year ,8811,550,0.0624219725343321
, 2006-07,Whole Year ,12682,791,0.062371865636335
, 2007-08,Whole Year ,10411,1340,0.128710018249928
, 2008-09,Whole Year ,9043,1164,0.128718345681743
, 2009-10,Whole Year ,8289,443,0.05344432380263
, 2010-11,Whole Year ,8073,615,0.0761798587885544
, 2011-12,Whole Year ,8376,481,0.0574259789875836
, 2012-13,Whole Year ,8326,478,0.0574105212587077
, 2013-14,Whole Year ,8330,635,0.0762304921968787
, 2014-15,Whole Year ,7748,568,0.073309241094476
, 2015-16,Whole Year ,7647,568,0.0742774944422649
, 2016-17,Whole Year ,7647,643,0.0840852621943246
, 2017-18,Whole Year ,7065,881,0.124699221514508
, 2018-19,Whole Year ,618,37,0.0598705501618123
Total - Cardamom,,,174686,13038,0.074636776845311
Cashewnut,,,,,
 1.KODAGU, 2008-09,Whole Year ,2344,1519.9668,0.64845
, 2009-10,Whole Year ,2272,1354,0.595950704225352
, 2010-11,Whole Year ,2045,2306,1.12762836185819
, 2011-12,Whole Year ,1993,2151,1.07927747114902
, 2012-13,Whole Year ,1975,2131,1.07898734177215
, 2013-14,Whole Year ,1982,2229,1.12462159434914
, 2014-15,Whole Year ,1964,2275,1.15835030549898
, 2015-16,Whole Year ,1989,3334,1.67621920563097
, 2016-17,Whole Year ,2062,2311,1.12075654704171
, 2017-18,Whole Year ,2132,2681,1.25750469043152
, 2018-19,Whole Year ,305,410,1.34426229508197
Total - Cashewnut,,,21063,22701.9668,1.07781260029436
Castor seed,,,,,
 1.KODAGU, 2005-06,Kharif     ,125,130,1.04
, 2006-07,Kharif     ,125,100,0.8
, 2007-08,Kharif     ,108,72,0.666666666666667
, 2008-09,Kharif     ,78,74,0.948717948717949
Total - Castor seed,,,436,376,0.862385321100918
Coconut ,,,,Nuts*,Nuts/Hectare
 1.KODAGU, 1998-99,Whole Year ,776,3708000,4778.35051546392
, 1999-00,Whole Year ,1038,4959000,4777.45664739885
, 2000-01,Whole Year ,1055,5041000,4778.1990521327
, 2001-02,Whole Year ,1338,6393000,4778.0269058296
, 2002-03,Whole Year ,1285,6139000,4777.43190661479
, 2003-04,Whole Year ,1292,6173000,4777.86377708978
, 2004-05,Whole Year ,1331,6359000,4777.61081893313
, 2005-06,Whole Year ,1386,6622000,4777.77777777778
, 2006-07,Whole Year ,2076,9919000,4777.93834296724
, 2007-08,Whole Year ,1872,9531000,5091.34615384615
, 2008-09,Whole Year ,1879,12873000,6850.98456625865
, 2009-10,Whole Year ,1750,12443000,7110.28571428571
, 2010-11,Whole Year ,1544,14760000,9559.58549222798
, 2011-12,Whole Year ,1617,16076000,9941.86765615337
, 2012-13,Whole Year ,1602,15773000,9845.8177278402
, 2013-14,Whole Year ,1605,12734000,7933.95638629284
, 2014-15,Whole Year ,1586,14153000,8923.70744010088
, 2015-16,Whole Year ,1605,13422000,8362.61682242991
, 2016-17,Whole Year ,1583,12376000,7818.06696146557
, 2017-18,Whole Year ,1583,12517000,7907.13834491472
, 2018-19,Whole Year ,1082,7663000,7082.2550831793
Total - Coconut ,,,30885,209634000,6787.56677999029
Coriander,,,,,
 1.KODAGU, 2018-19,Whole Year ,1,1,1
Total - Coriander,,,1,1,1
Cotton(lint),,,,Bales*,Bales/Hectare
 1.KODAGU, 1998-99,Kharif     ,2,3,1.5
Total - Cotton(lint),,,2,3,1.5
Cowpea(Lobia),,,,,
 1.KODAGU, 2010-11,Rabi       ,280,74,0.264285714285714
, 2011-12,Rabi       ,36,13,0.361111111111111
, 2012-13,Kharif     ,6,2,0.333333333333333
,,Summer     ,35,13,0.371428571428571
,,Total,41,15,0.365853658536585
, 2013-14,Kharif     ,10,4,0.4
,,Summer     ,28,11,0.392857142857143
,,Total,38,15,0.394736842105263
, 2014-15,Summer     ,12,4,0.333333333333333
, 2015-16,Summer     ,12,4,0.333333333333333
, 2016-17,Summer     ,15,3,0.2
, 2017-18,Summer     ,8,2,0.25
, 2018-19,Kharif     ,6,2,0.333333333333333
,,Summer     ,2,,0
,,Total,8,2,0.25
Total - Cowpea(Lobia),,,450,132,0.293333333333333
Dry chillies,,,,,
 1.KODAGU, 1997-98,Rabi       ,449,777,1.73051224944321
, 1998-99,Whole Year ,256,1363,5.32421875
, 1999-00,Whole Year ,595,1164,1.9563025210084
, 2000-01,Whole Year ,334,841,2.51796407185629
, 2001-02,Whole Year ,202,235,1.16336633663366
, 2002-03,Whole Year ,423,1959,4.63120567375887
, 2003-04,Whole Year ,180,984,5.46666666666667
, 2004-05,Whole Year ,224,1121,5.00446428571429
, 2005-06,Summer     ,419,2815,6.71837708830549
, 2006-07,Whole Year ,260,1078,4.14615384615385
, 2007-08,Summer     ,300,1015,3.38333333333333
, 2008-09,Kharif     ,36,33,0.916666666666667
,,Summer     ,395,1296,3.28101265822785
,,Total,431,1329,3.08352668213457
, 2009-10,Summer     ,340,1689,4.96764705882353
, 2010-11,Kharif     ,14,12,0.857142857142857
,,Summer     ,325,1224,3.76615384615385
,,Total,339,1236,3.64601769911504
, 2011-12,Kharif     ,7,6,0.857142857142857
,,Summer     ,185,648,3.5027027027027
,,Total,192,654,3.40625
, 2012-13,Summer     ,184,520,2.82608695652174
, 2013-14,Kharif     ,5,6,1.2
,,Summer     ,149,396,2.65771812080537
,,Total,154,402,2.61038961038961
, 2014-15,Kharif     ,42,48,1.14285714285714
, 2015-16,Kharif     ,79,69,0.873417721518987
,,Summer     ,85,156,1.83529411764706
,,Total,164,225,1.3719512195122
, 2016-17,Kharif     ,81,163,2.01234567901235
,,Summer     ,85,217,2.55294117647059
,,Total,166,380,2.28915662650602
, 2017-18,Kharif     ,81,152,1.87654320987654
,,Summer     ,88,193,2.19318181818182
,,Total,169,345,2.0414201183432
Total - Dry chillies,,,5823,20180,3.46556757685042
Ginger,,,,,
 1.KODAGU, 1997-98,Kharif     ,445,575,1.29213483146067
, 1998-99,Kharif     ,651,8423,12.9385560675883
, 1999-00,Kharif     ,3672,47513,12.9392701525054
, 2000-01,Kharif     ,4200,54345,12.9392857142857
, 2001-02,Kharif     ,3560,46064,12.9393258426966
, 2002-03,Kharif     ,3665,47423,12.9394270122783
, 2003-04,Kharif     ,3332,43114,12.9393757503001
, 2004-05,Kharif     ,3643,47138,12.939335712325
, 2005-06,Whole Year ,4630,59909,12.9393088552916
, 2006-07,Whole Year ,3894,50386,12.9393939393939
, 2007-08,Whole Year ,2346,48146,20.5225916453538
, 2008-09,Whole Year ,2869,84158,29.3335657023353
, 2009-10,Whole Year ,2354,89490,38.0161427357689
, 2010-11,Whole Year ,2205,14643.2,6.64090702947846
, 2011-12,Whole Year ,2047,5990.4,2.92642892037128
, 2012-13,Whole Year ,1298,37985,29.2642526964561
, 2013-14,Whole Year ,1190,32893,27.6411764705882
, 2014-15,Whole Year ,1528,59692,39.065445026178
, 2015-16,Whole Year ,1522,50537,33.2043363994744
, 2016-17,Whole Year ,1645,54540,33.1550151975684
, 2017-18,Whole Year ,1645,48515,29.4924012158055
, 2018-19,Whole Year ,140,973.8,6.95571428571429
Total - Ginger,,,52481,932453.4,17.7674472666298
Gram,,,,,
 1.KODAGU, 2003-04,Rabi       ,80,29,0.3625
, 2004-05,Rabi       ,25,13,0.52
, 2005-06,Rabi       ,10,5,0.5
, 2006-07,Rabi       ,5,4,0.8
, 2007-08,Rabi       ,15,9,0.6
, 2009-10,Rabi       ,120,56,0.466666666666667
Total - Gram,,,255,116,0.454901960784314
Groundnut,,,,,
 1.KODAGU, 2000-01,Rabi       ,5,5,1
, 2001-02,Kharif     ,2,1,0.5
, 2002-03,Kharif     ,3,2,0.666666666666667
, 2003-04,Kharif     ,2,1,0.5
, 2004-05,Kharif     ,3,2,0.666666666666667
,,Rabi       ,40,36,0.9
,,Total,43,38,0.883720930232558
, 2005-06,Kharif     ,10,5,0.5
, 2006-07,Kharif     ,10,3,0.3
, 2007-08,Kharif     ,12,9,0.75
,,Rabi       ,5,4,0.8
,,Total,17,13,0.764705882352941
, 2008-09,Kharif     ,10,4,0.4
,,Rabi       ,28,21,0.75
,,Total,38,25,0.657894736842105
, 2009-10,Rabi       ,33,26,0.787878787878788
, 2010-11,Rabi       ,23,20,0.869565217391304
, 2012-13,Kharif     ,1,1,1
, 2013-14,Kharif     ,7,6,0.857142857142857
,,Summer     ,4,4,1
,,Total,11,10,0.909090909090909
, 2014-15,Kharif     ,60,44,0.733333333333333
,,Summer     ,11,9,0.818181818181818
,,Total,71,53,0.746478873239437
, 2015-16,Kharif     ,56,38,0.678571428571429
,,Summer     ,7,5,0.714285714285714
,,Total,63,43,0.682539682539683
, 2016-17,Kharif     ,56,28,0.5
, 2017-18,Kharif     ,56,62,1.10714285714286
,,Summer     ,7,8,1.14285714285714
,,Total,63,70,1.11111111111111
, 2018-19,Summer     ,8,7,0.875
Total - Groundnut,,,459,351,0.764705882352941
Horse-gram,,,,,
 1.KODAGU, 2003-04,Rabi       ,166,39,0.234939759036145
, 2004-05,Kharif     ,85,44,0.517647058823529
, 2005-06,Rabi       ,5,2,0.4
, 2006-07,Rabi       ,10,3,0.3
, 2007-08,Kharif     ,7,4,0.571428571428571
,,Rabi       ,12,6,0.5
,,Total,19,10,0.526315789473684
, 2008-09,Rabi       ,106,39,0.367924528301887
, 2009-10,Rabi       ,120,56,0.466666666666667
, 2010-11,Rabi       ,135,82,0.607407407407407
, 2018-19,Kharif     ,10,4,0.4
Total - Horse-gram,,,656,279,0.425304878048781
Jowar,,,,,
 1.KODAGU, 2012-13,Kharif     ,1,1,1
Total - Jowar,,,1,1,1
Maize,,,,,
 1.KODAGU, 1997-98,Kharif     ,1510,3295,2.18211920529801
,,Summer     ,40,88,2.2
,,Total,1550,3383,2.18258064516129
, 1998-99,Kharif     ,1495,5800,3.87959866220736
, 1999-00,Kharif     ,1506,3477,2.30876494023904
, 2000-01,Kharif     ,1640,5422,3.30609756097561
,,Summer     ,5,14,2.8
,,Total,1645,5436,3.30455927051672
, 2001-02,Kharif     ,2334,10018,4.29220222793488
,,Summer     ,30,79,2.63333333333333
,,Total,2364,10097,4.27115059221658
, 2002-03,Kharif     ,2430,9776,4.02304526748971
,,Summer     ,36,91,2.52777777777778
,,Total,2466,9867,4.00121654501217
, 2003-04,Kharif     ,2347,10551,4.49552620366425
,,Summer     ,35,88,2.51428571428571
