district level ndvi values for Karnataka during june month derived from modis data,,,,,,,,,,,,,,,,
state_name,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,2020_21
Karnataka,BAGALKOT,0.395,0.342,0.33,0.368,0.381,0.396,0.327,0.351,0.427,0.412,0.335,0.374,0.408,0.38,0.412
Karnataka,BANGALORE RURAL,0.432,0.389,0.429,0.471,0.456,0.469,0.38,0.334,0.407,0.512,0.439,0.46,0.517,0.472,0.459
Karnataka,BANGALORE URBAN,0.504,0.442,0.47,0.527,0.516,0.535,0.408,0.375,0.43,0.543,0.442,0.48,0.53,0.495,0.465
Karnataka,BELGAUM,0.443,0.369,0.366,0.398,0.386,0.416,0.356,0.365,0.451,0.454,0.362,0.396,0.457,0.392,0.472
Karnataka,BELLARY,0.333,0.28,0.291,0.323,0.327,0.313,0.288,0.282,0.338,0.353,0.271,0.277,0.343,0.277,0.34
Karnataka,BIDAR,0.382,0.275,0.25,0.278,0.254,0.306,0.238,0.317,0.298,0.305,0.251,0.315,0.312,0.233,0.385
Karnataka,BIJAPUR,0.284,0.247,0.243,0.261,0.272,0.276,0.23,0.253,0.292,0.284,0.254,0.276,0.292,0.256,0.284
Karnataka,CHAMARAJANAGAR,0.481,0.451,0.477,0.551,0.548,0.536,0.461,0.418,0.497,0.592,0.455,0.525,0.612,0.575,0.552
Karnataka,CHIKBALLAPUR,0.345,0.356,0.372,0.372,0.389,0.39,0.332,0.273,0.349,0.403,0.371,0.358,0.427,0.357,0.341
Karnataka,CHIKMAGALUR,0.491,0.469,0.475,0.529,0.521,0.498,0.482,0.426,0.532,0.584,0.478,0.432,0.577,0.488,0.55
Karnataka,CHITRADURGA,0.32,0.315,0.316,0.354,0.37,0.341,0.326,0.295,0.358,0.404,0.335,0.286,0.389,0.315,0.35
Karnataka,DAKSHIN KANNAD,0.594,0.613,0.582,0.646,0.626,0.591,0.573,0.483,0.645,0.649,0.555,0.588,0.634,0.576,0.573
Karnataka,DAVANGERE,0.386,0.348,0.377,0.392,0.387,0.411,0.392,0.389,0.415,0.417,0.379,0.334,0.418,0.383,0.446
Karnataka,DHARWAD,0.354,0.312,0.337,0.34,0.333,0.331,0.3,0.309,0.375,0.333,0.302,0.334,0.366,0.331,0.379
Karnataka,GADAG,0.316,0.273,0.292,0.316,0.305,0.301,0.274,0.28,0.324,0.307,0.27,0.273,0.32,0.271,0.323
Karnataka,GULBARGA,0.308,0.239,0.244,0.242,0.243,0.265,0.225,0.253,0.285,0.291,0.256,0.275,0.292,0.238,0.284
Karnataka,HASSAN,0.521,0.448,0.493,0.525,0.524,0.534,0.486,0.388,0.519,0.596,0.462,0.49,0.6,0.514,0.537
Karnataka,HAVERI,0.333,0.289,0.331,0.361,0.343,0.339,0.326,0.318,0.386,0.359,0.309,0.311,0.388,0.322,0.435
Karnataka,KODAGU,0.686,0.67,0.628,0.685,0.618,0.633,0.6,0.546,0.673,0.71,0.61,0.673,0.636,0.678,0.664
Karnataka,KOLAR,0.42,0.385,0.406,0.444,0.485,0.456,0.398,0.346,0.384,0.482,0.467,0.448,0.514,0.465,0.452
Karnataka,KOPPAL,0.317,0.264,0.28,0.324,0.329,0.292,0.258,0.278,0.332,0.328,0.293,0.287,0.346,0.271,0.355
Karnataka,MANDYA,0.548,0.48,0.522,0.565,0.563,0.583,0.546,0.462,0.573,0.661,0.493,0.59,0.64,0.602,0.61
Karnataka,MYSORE,0.516,0.449,0.473,0.545,0.553,0.522,0.49,0.432,0.523,0.591,0.48,0.568,0.616,0.583,0.564
Karnataka,RAICHUR,0.328,0.304,0.277,0.301,0.302,0.304,0.247,0.278,0.318,0.306,0.276,0.293,0.292,0.265,0.334
Karnataka,RAMANAGARA,0.522,0.434,0.482,0.553,0.534,0.578,0.462,0.415,0.481,0.633,0.497,0.55,0.608,0.559,0.548
Karnataka,SHIMOGA,0.518,0.444,0.52,0.536,0.529,0.488,0.503,0.472,0.555,0.574,0.48,0.477,0.577,0.495,0.618
Karnataka,TUMKUR,0.405,0.386,0.412,0.437,0.431,0.439,0.392,0.315,0.415,0.496,0.422,0.403,0.492,0.438,0.429
Karnataka,UDUPI,0.627,0.564,0.578,0.654,0.604,0.534,0.533,0.503,0.617,0.653,0.578,0.575,0.668,0.559,0.607
Karnataka,UTTAR KANNAD,0.593,0.5,0.529,0.582,0.537,0.49,0.516,0.483,0.62,0.582,0.481,0.528,0.596,0.536,0.596
Karnataka,YADGIR,0.353,0.286,0.273,0.283,0.28,0.294,0.241,0.257,0.297,0.294,0.275,0.299,0.297,0.255,0.279
