district level ndvi values for Karnataka during oct month derived from modis data,,,,,,,,,,,,,,,,
state_name,district,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,2020_21
Karnataka,BAGALKOT,0.49,0.519,0.5,0.525,0.541,0.525,0.529,0.57,0.568,0.549,0.545,0.59,0.521,0.62,null
Karnataka,BANGALORE RURAL,0.521,0.587,0.636,0.641,0.677,0.641,0.538,0.629,0.66,0.642,0.534,0.675,0.639,0.681,null
Karnataka,BANGALORE URBAN,0.504,0.583,0.624,0.628,0.648,0.628,0.529,0.596,0.584,0.607,0.52,0.626,0.595,0.616,null
Karnataka,BELGAUM,0.608,0.589,0.561,0.598,0.635,0.599,0.587,0.627,0.63,0.603,0.62,0.645,0.605,0.673,null
Karnataka,BELLARY,0.543,0.557,0.56,0.609,0.627,0.61,0.571,0.629,0.645,0.645,0.57,0.67,0.557,0.693,null
Karnataka,BIDAR,0.641,0.598,0.618,0.631,0.636,0.631,0.659,0.685,0.622,0.626,0.651,0.724,0.604,0.751,null
Karnataka,BIJAPUR,0.464,0.482,0.456,0.511,0.56,0.511,0.505,0.611,0.551,0.463,0.653,0.679,0.508,0.615,null
Karnataka,CHAMARAJANAGAR,0.552,0.564,0.617,0.597,0.619,0.597,0.5,0.581,0.658,0.63,0.437,0.686,0.631,0.685,null
Karnataka,CHIKBALLAPUR,0.499,0.52,0.581,0.574,0.596,0.574,0.545,0.596,0.536,0.62,0.457,0.653,0.556,0.644,null
Karnataka,CHIKMAGALUR,0.607,0.606,0.636,0.657,0.683,0.657,0.608,0.641,0.693,0.678,0.557,0.732,0.664,0.72,null
Karnataka,CHITRADURGA,0.43,0.491,0.505,0.559,0.595,0.559,0.488,0.51,0.552,0.574,0.421,0.601,0.487,0.605,null
Karnataka,DAKSHIN KANNAD,0.758,0.72,0.729,0.736,0.729,0.736,0.735,0.739,0.751,0.78,0.738,0.734,0.738,0.72,null
Karnataka,DAVANGERE,0.622,0.613,0.63,0.67,0.691,0.67,0.663,0.667,0.708,0.681,0.598,0.707,0.627,0.732,null
Karnataka,DHARWAD,0.59,0.586,0.552,0.585,0.632,0.585,0.504,0.611,0.653,0.538,0.537,0.555,0.508,0.662,null
Karnataka,GADAG,0.459,0.489,0.462,0.511,0.53,0.511,0.436,0.528,0.566,0.497,0.48,0.522,0.41,0.571,null
Karnataka,GULBARGA,0.651,0.613,0.592,0.585,0.669,0.585,0.675,0.707,0.643,0.603,0.669,0.744,0.632,0.754,null
Karnataka,HASSAN,0.621,0.628,0.655,0.681,0.699,0.681,0.629,0.625,0.733,0.707,0.561,0.719,0.681,0.71,null
Karnataka,HAVERI,0.609,0.619,0.593,0.659,0.68,0.659,0.617,0.664,0.675,0.65,0.569,0.701,0.616,0.715,null
Karnataka,KODAGU,0.781,0.764,0.765,0.78,0.776,0.78,0.772,0.712,0.804,0.791,0.762,0.785,0.769,0.697,null
Karnataka,KOLAR,0.524,0.515,0.596,0.568,0.574,0.568,0.549,0.592,0.542,0.589,0.475,0.626,0.573,0.633,null
Karnataka,KOPPAL,0.462,0.516,0.501,0.55,0.543,0.55,0.511,0.569,0.552,0.549,0.537,0.617,0.474,0.603,null
Karnataka,MANDYA,0.601,0.639,0.662,0.652,0.687,0.652,0.601,0.608,0.706,0.681,0.588,0.705,0.672,0.696,null
Karnataka,MYSORE,0.606,0.621,0.633,0.665,0.685,0.665,0.586,0.62,0.707,0.678,0.52,0.705,0.677,0.665,null
Karnataka,RAICHUR,0.527,0.556,0.582,0.576,0.663,0.576,0.598,0.684,0.662,0.618,0.649,0.686,0.544,0.669,null
Karnataka,RAMNAGARA,0.565,0.666,0.675,0.673,0.71,0.673,0.591,0.663,0.718,0.71,0.577,0.732,0.692,0.74,null
Karnataka,SHIMOGA,0.756,0.751,0.71,0.758,0.737,0.758,0.735,0.764,0.767,0.77,0.727,0.78,0.758,0.782,null
Karnataka,TUMKUR,0.501,0.567,0.591,0.622,0.646,0.622,0.546,0.566,0.623,0.643,0.496,0.666,0.58,0.662,null
Karnataka,UDUPI,0.771,0.742,0.742,0.756,0.721,0.756,0.749,0.759,0.781,0.806,0.771,0.763,0.773,0.789,null
Karnataka,UTTAR KANNAD,0.764,0.744,0.71,0.739,0.76,0.739,0.752,0.762,0.762,0.787,0.765,0.769,0.764,0.788,null
Karnataka,YADGIR,0.57,0.574,0.566,0.576,0.667,0.577,0.599,0.683,0.665,0.627,0.68,0.723,0.625,0.751,null
