,District,Crop,Year,Season,Area(Hectare),Production(Tonnes),Yield,JANUARY_NDVI,FEBRUARY_NDVI,JUNE_NDVI,JULY_NDVI,AUGUST_NDVI,SEPTEMBER_NDVI,OCTOBER_NDVI,NOVEMBER_NDVI,DECEMBER_NDVI
0,Bagalkot,Arecanut, 1998-99,Whole Year ,1.0,7.0,7.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
1,Bagalkot,Arecanut, 2000-01,Whole Year ,4.0,6.0,1.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,Bagalkot,Arecanut, 2001-02,Whole Year ,4.0,6.0,1.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
3,Bagalkot,Arecanut, 2003-04,Whole Year ,6.0,8.0,1.33333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,Bagalkot,Arecanut, 2004-05,Whole Year ,2.0,3.0,1.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,Bagalkot,Arhar/Tur, 1998-99,Kharif     ,6154.0,2602.0,0.42281442963925897,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,Bagalkot,Arhar/Tur, 1999-00,Kharif     ,5126.0,3589.0,0.700156067108857,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
7,Bagalkot,Arhar/Tur, 2000-01,Kharif     ,4984.0,3693.0,0.740971107544141,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
8,Bagalkot,Arhar/Tur, 2001-02,Kharif     ,1502.0,925.0,0.615845539280959,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
9,Bagalkot,Arhar/Tur, 2002-03,Kharif     ,2749.0,1113.0,0.4048744998181161,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
10,Bagalkot,Arhar/Tur, 2003-04,Kharif     ,736.0,40.0,0.0543478260869565,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
11,Bagalkot,Arhar/Tur, 2004-05,Kharif     ,3105.0,655.0,0.21095008051529798,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
12,Bagalkot,Arhar/Tur, 2005-06,Kharif     ,2984.0,1032.0,0.34584450402144795,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
13,Bagalkot,Arhar/Tur, 2006-07,Kharif     ,3283.0,904.0,0.275357904355772,0.399,0.35200000000000004,0.395,0.397,0.408,0.439,0.49,0.526,0.483
14,Bagalkot,Arhar/Tur, 2007-08,Kharif     ,4294.0,3402.0,0.7922682813227759,0.394,0.386,0.342,0.423,0.4970000000000001,0.524,0.519,0.515,0.486
15,Bagalkot,Arhar/Tur, 2008-09,Kharif     ,1056.0,288.0,0.272727272727273,0.418,0.362,0.33,0.28300000000000003,0.388,0.476,0.5,0.508,0.513
